instanceIndex,seedIndex,vpcGenerator,terms,lpBound,disjunctiveDualBound,lpBoundPostVpc,rootDualBound,dualBound,primalBound,vpcGenerationTime,rootDualBoundTime,bestSolutionTime,terminationTime,nodes,iterations,maxTime,actualTerms,numCuts,cutLimit,mipSolver,providePrimalBound,infeasibleTerms,feasibleToInfeasibleTerms,infeasibleToFeasibleTerms
0,3,New,16,20.570922,25.881188,25.708479,26.705907,34.000000,34.000000,0.121404,0.202473,0.221880,0.252603,254,1346,3600.000000,16,6,6,GUROBI,1,0,0,0
1,3,New,16,21.201484,26.613861,26.302309,27.333585,34.000000,34.000000,0.129394,0.224924,0.317272,0.317348,477,2377,3600.000000,16,6,6,GUROBI,1,0,0,0
10,3,New,16,20.570922,25.881188,25.682251,26.643138,34.000000,34.000000,0.111695,0.189698,0.248359,0.264145,383,1837,3600.000000,16,6,6,GUROBI,1,0,0,0
100,3,New,16,20.570922,25.881188,25.708479,26.705907,34.000000,34.000000,0.112687,0.191718,0.211220,0.242024,254,1346,3600.000000,16,6,6,GUROBI,1,0,0,0
101,3,New,16,20.570922,25.881188,25.708479,26.705907,34.000000,34.000000,0.121838,0.201119,0.220621,0.251386,254,1346,3600.000000,16,6,6,GUROBI,1,0,0,0
102,3,New,16,20.570922,25.881188,25.708479,26.705907,34.000000,34.000000,0.121529,0.208045,0.227782,0.258765,254,1346,3600.000000,16,6,6,GUROBI,1,0,0,0
103,3,New,16,20.561261,25.881188,25.542822,26.695916,34.000000,34.000000,0.117634,0.206423,0.270082,0.283971,416,2001,3600.000000,16,6,6,GUROBI,1,0,0,0
104,3,New,16,20.570922,25.881188,25.752585,26.810096,34.000000,34.000000,0.125350,0.205580,0.233758,0.255811,206,1228,3600.000000,16,6,6,GUROBI,1,0,0,0
105,3,New,16,20.570922,25.881188,25.708479,26.818192,34.000000,34.000000,0.110129,0.203323,0.208736,0.237341,158,988,3600.000000,16,6,6,GUROBI,1,0,0,0
106,3,New,16,20.570922,25.881188,25.634645,27.022630,34.000000,34.000000,0.113134,0.251678,0.290375,0.306613,268,1546,3600.000000,16,6,6,GUROBI,1,0,0,0
107,3,New,16,20.570922,25.881188,25.708040,26.791980,34.000000,34.000000,0.113549,0.206020,0.275583,0.276248,350,1861,3600.000000,16,6,6,GUROBI,1,0,0,0
108,3,New,16,20.554113,25.881188,25.772984,26.756782,34.000000,34.000000,0.116531,0.229835,0.314086,0.322687,451,2205,3600.000000,16,6,6,GUROBI,1,0,0,0
109,3,New,16,20.570922,25.881188,25.708479,26.704847,34.000000,34.000000,0.122287,0.201307,0.265437,0.281875,401,2023,3600.000000,16,6,6,GUROBI,1,0,0,0
11,3,New,16,20.570922,25.881188,25.766081,27.069385,34.000000,34.000000,0.115141,0.198402,0.273565,0.286091,403,1850,3600.000000,16,6,6,GUROBI,1,0,0,0
110,3,New,16,21.005634,27.336403,27.086784,27.459909,34.000000,34.000000,0.120206,0.196949,0.286015,0.286769,447,2102,3600.000000,16,7,7,GUROBI,1,0,0,0
111,3,New,16,20.570922,26.956415,26.566675,27.832770,34.000000,34.000000,0.111169,0.198533,0.238652,0.257246,285,1538,3600.000000,16,6,6,GUROBI,1,0,0,0
112,3,New,16,20.570922,25.881188,25.708479,26.705907,34.000000,34.000000,0.121037,0.200435,0.219900,0.250768,254,1346,3600.000000,16,6,6,GUROBI,1,0,0,0
113,3,New,16,20.570922,25.881188,25.712704,27.053263,34.000000,34.000000,0.118980,0.217321,0.286724,0.288657,358,1862,3600.000000,16,6,6,GUROBI,1,0,0,0
114,3,New,16,20.570922,25.881188,25.708479,26.705907,34.000000,34.000000,0.124328,0.201619,0.221168,0.252174,255,1351,3600.000000,16,6,6,GUROBI,1,0,0,0
115,3,New,16,20.570922,25.881188,25.633302,26.784740,34.000000,34.000000,0.126122,0.245490,0.321353,0.332715,421,2186,3600.000000,16,6,6,GUROBI,1,0,0,0
116,3,New,16,20.570922,25.881188,25.708479,26.705907,34.000000,34.000000,0.111252,0.191106,0.210628,0.241588,254,1346,3600.000000,16,6,6,GUROBI,1,0,0,0
117,3,New,16,20.570922,25.881188,25.708479,26.705907,34.000000,34.000000,0.123227,0.202463,0.232126,0.263216,254,1346,3600.000000,16,6,6,GUROBI,1,0,0,0
118,3,New,16,20.570922,25.881188,25.708479,26.705907,34.000000,34.000000,0.122422,0.211478,0.230985,0.261914,254,1346,3600.000000,16,6,6,GUROBI,1,0,0,0
119,3,New,16,20.570922,25.881188,25.708479,26.705907,34.000000,34.000000,0.113149,0.190472,0.210006,0.240896,254,1346,3600.000000,16,6,6,GUROBI,1,0,0,0
12,3,New,16,20.570922,25.881188,25.708479,26.627895,34.000000,34.000000,0.109839,0.191998,0.253206,0.254435,322,1655,3600.000000,16,6,6,GUROBI,1,0,0,0
120,3,New,16,20.570922,25.881188,25.708479,26.705907,34.000000,34.000000,0.113430,0.191515,0.211117,0.242299,254,1346,3600.000000,16,6,6,GUROBI,1,0,0,0
121,3,New,16,20.570922,25.881188,25.733543,26.843836,34.000000,34.000000,0.111111,0.206954,0.272633,0.286301,424,2069,3600.000000,16,6,6,GUROBI,1,0,0,0
122,3,New,16,20.570922,25.881188,25.721297,26.897911,34.000000,34.000000,0.113867,0.202852,0.259125,0.273388,361,1714,3600.000000,16,6,6,GUROBI,1,0,0,0
123,3,New,16,20.570922,25.881188,25.708479,27.068830,34.000000,34.000000,0.111726,0.240758,0.260002,0.273340,149,1010,3600.000000,16,6,6,GUROBI,1,0,0,0
124,3,New,16,20.570922,25.881188,25.708479,26.705907,34.000000,34.000000,0.126198,0.214031,0.233673,0.264764,254,1346,3600.000000,16,6,6,GUROBI,1,0,0,0
125,3,New,16,20.570922,25.881188,25.605849,27.109212,34.000000,34.000000,0.115297,0.209020,0.244771,0.256516,224,1292,3600.000000,16,6,6,GUROBI,1,0,0,0
126,3,New,16,20.570922,25.881188,25.708479,26.705907,34.000000,34.000000,0.110999,0.190718,0.210413,0.242205,254,1346,3600.000000,16,6,6,GUROBI,1,0,0,0
127,3,New,16,20.570922,25.881188,25.708479,26.705907,33.000000,33.000000,0.112723,0.188968,0.208563,0.228180,206,1137,3600.000000,16,6,6,GUROBI,1,0,0,0
128,3,New,16,20.570922,25.881188,25.709396,26.807059,34.000000,34.000000,0.112948,0.214192,0.260953,0.268961,281,1552,3600.000000,16,6,6,GUROBI,1,0,0,0
129,3,New,16,20.570922,25.881188,25.705777,26.588438,34.000000,34.000000,0.110140,0.197612,0.228869,0.246642,258,1274,3600.000000,16,6,6,GUROBI,1,0,0,0
13,3,New,16,20.570922,25.881188,25.708479,26.705907,34.000000,34.000000,0.112725,0.190834,0.211055,0.242099,254,1346,3600.000000,16,6,6,GUROBI,1,0,0,0
130,3,New,16,20.525204,25.817496,25.605826,26.867675,33.000000,33.000000,0.129122,0.218655,0.261801,0.265022,256,1307,3600.000000,16,7,7,GUROBI,1,0,0,0
131,3,New,16,20.570922,25.881188,25.708197,26.909656,34.000000,34.000000,0.113231,0.204304,0.264075,0.285364,360,2062,3600.000000,16,6,6,GUROBI,1,0,0,0
132,3,New,16,20.570922,25.881188,25.708479,26.704847,34.000000,34.000000,0.111359,0.188448,0.252470,0.268917,401,2023,3600.000000,16,6,6,GUROBI,1,0,0,0
133,3,New,16,20.570922,25.881188,25.714827,26.797535,34.000000,34.000000,0.114658,0.209201,0.247193,0.255069,211,1248,3600.000000,16,6,6,GUROBI,1,0,0,0
134,3,New,16,20.570922,25.881188,25.708479,27.013143,34.000000,34.000000,0.115632,0.212334,0.268628,0.273214,335,1700,3600.000000,16,6,6,GUROBI,1,0,0,0
135,3,New,16,20.356091,25.881188,25.556617,26.488438,30.000000,30.000000,0.110830,0.207498,0.249968,0.251466,187,1228,3600.000000,16,6,6,GUROBI,1,0,0,0
136,3,New,16,20.570922,25.881188,25.677506,27.003327,34.000000,34.000000,0.114323,0.222528,0.291382,0.298581,365,1927,3600.000000,16,6,6,GUROBI,1,0,0,0
137,3,New,16,20.570922,25.881188,25.549687,27.130380,34.000000,34.000000,0.112392,0.211407,0.264190,0.270504,331,1574,3600.000000,16,6,6,GUROBI,1,0,0,0
138,3,New,16,20.570922,25.881188,25.682251,26.880796,34.000000,34.000000,0.114806,0.238621,0.386119,0.391256,632,3278,3600.000000,16,6,6,GUROBI,1,0,0,0
139,3,New,16,20.570922,25.881188,25.708479,26.568466,34.000000,34.000000,0.113692,0.189517,0.276395,0.286556,479,2225,3600.000000,16,6,6,GUROBI,1,0,0,0
14,3,New,16,20.628417,26.834810,26.525284,27.287332,34.000000,34.000000,0.130918,0.238737,0.281210,0.307549,312,1684,3600.000000,16,7,7,GUROBI,1,0,0,0
140,3,New,16,20.570922,25.881188,25.708479,26.986674,34.000000,34.000000,0.113176,0.222943,0.255983,0.269322,202,1168,3600.000000,16,6,6,GUROBI,1,0,0,0
141,3,New,16,20.570922,25.881188,25.708479,26.705907,34.000000,34.000000,0.114676,0.195583,0.215766,0.247028,254,1346,3600.000000,16,6,6,GUROBI,1,0,0,0
142,3,New,16,20.570922,25.881188,25.708479,26.869595,34.000000,34.000000,0.113804,0.210864,0.263704,0.264404,252,1320,3600.000000,16,6,6,GUROBI,1,0,0,0
143,3,New,16,20.570922,25.881188,25.708479,26.705907,34.000000,34.000000,0.114740,0.192539,0.212012,0.242868,254,1346,3600.000000,16,6,6,GUROBI,1,0,0,0
144,3,New,16,20.570922,25.881188,25.835204,26.573548,34.000000,34.000000,0.114050,0.183082,0.252521,0.255983,371,1850,3600.000000,16,6,6,GUROBI,1,0,0,0
145,3,New,16,20.570922,25.881188,25.708479,26.705907,33.000000,33.000000,0.114226,0.197504,0.218061,0.238101,206,1136,3600.000000,16,6,6,GUROBI,1,0,0,0
146,3,New,16,20.570922,25.881188,25.708479,26.705907,34.000000,34.000000,0.114134,0.193078,0.212602,0.243669,254,1346,3600.000000,16,6,6,GUROBI,1,0,0,0
147,3,New,16,20.570922,25.881188,25.739817,26.835276,34.000000,34.000000,0.113581,0.195694,0.254970,0.261867,361,1819,3600.000000,16,6,6,GUROBI,1,0,0,0
148,3,New,16,20.570922,25.881188,25.709405,26.936390,34.000000,34.000000,0.123621,0.214109,0.233930,0.249632,197,973,3600.000000,16,6,6,GUROBI,1,0,0,0
149,3,New,16,20.570922,25.881188,25.774160,26.989822,34.000000,34.000000,0.111778,0.195969,0.216913,0.242318,244,1299,3600.000000,16,6,6,GUROBI,1,0,0,0
15,3,New,16,20.570922,25.881188,25.708479,26.705907,34.000000,34.000000,0.115209,0.194925,0.224706,0.249991,263,1431,3600.000000,16,6,6,GUROBI,1,0,0,0
150,3,New,16,20.570922,25.881188,25.672403,27.079484,34.000000,34.000000,0.108961,0.181112,0.244620,0.245277,332,1605,3600.000000,16,6,6,GUROBI,1,0,0,0
151,3,New,16,20.570922,25.881188,25.708479,26.705907,34.000000,34.000000,0.112342,0.193182,0.212967,0.244056,254,1346,3600.000000,16,6,6,GUROBI,1,0,0,0
152,3,New,16,20.570922,25.881188,25.708197,26.909656,34.000000,34.000000,0.111968,0.207572,0.267812,0.289609,360,2062,3600.000000,16,6,6,GUROBI,1,0,0,0
153,3,New,16,20.570922,25.881188,25.708479,26.705907,34.000000,34.000000,0.113017,0.192582,0.212207,0.243219,254,1346,3600.000000,16,6,6,GUROBI,1,0,0,0
154,3,New,16,20.570922,25.881188,25.708479,26.705907,34.000000,34.000000,0.113685,0.193935,0.213464,0.244312,254,1346,3600.000000,16,6,6,GUROBI,1,0,0,0
155,3,New,16,20.570922,25.881188,25.708479,26.705907,34.000000,34.000000,0.114835,0.196936,0.217592,0.249217,254,1346,3600.000000,16,6,6,GUROBI,1,0,0,0
156,3,New,16,20.570922,25.881188,25.708479,27.148695,34.000000,34.000000,0.117203,0.220659,0.240023,0.259688,189,1186,3600.000000,16,6,6,GUROBI,1,0,0,0
157,3,New,16,20.570922,25.881188,25.690712,26.763399,34.000000,34.000000,0.114453,0.187555,0.256948,0.257395,414,1787,3600.000000,16,6,6,GUROBI,1,0,0,0
158,3,New,16,20.570922,25.881188,25.708479,26.705907,34.000000,34.000000,0.113593,0.193193,0.212746,0.243637,254,1346,3600.000000,16,6,6,GUROBI,1,0,0,0
159,3,New,16,20.570922,25.881188,25.682285,26.679688,34.000000,34.000000,0.113066,0.191927,0.742023,0.743302,331,1611,3600.000000,16,6,6,GUROBI,1,0,0,0
16,3,New,16,20.570922,25.881188,25.708479,26.705907,34.000000,34.000000,0.113828,0.194005,0.214048,0.245690,254,1346,3600.000000,16,6,6,GUROBI,1,0,0,0
160,3,New,16,20.570922,25.881188,25.708479,26.713868,34.000000,34.000000,0.110890,0.185743,0.242036,0.264973,395,1900,3600.000000,16,6,6,GUROBI,1,0,0,0
161,3,New,16,20.531000,25.881188,25.721708,26.735548,34.000000,34.000000,0.124180,0.199743,0.271240,0.278186,426,1998,3600.000000,16,7,7,GUROBI,1,0,0,0
162,3,New,16,20.570922,25.881188,25.708479,26.715591,34.000000,34.000000,0.110656,0.209479,0.268027,0.277665,319,1667,3600.000000,16,6,6,GUROBI,1,0,0,0
163,3,New,16,20.570922,25.881188,25.708479,26.705907,34.000000,34.000000,0.113548,0.192078,0.211674,0.242627,254,1346,3600.000000,16,6,6,GUROBI,1,0,0,0
164,3,New,16,20.570922,25.881188,25.708479,26.705907,34.000000,34.000000,0.112919,0.192311,0.212512,0.238374,237,1260,3600.000000,16,6,6,GUROBI,1,0,0,0
165,3,New,16,20.570922,25.881188,25.622950,27.058006,34.000000,34.000000,0.115286,0.195004,0.266617,0.272024,376,1944,3600.000000,16,6,6,GUROBI,1,0,0,0
166,3,New,16,20.570922,25.881188,25.708479,26.705907,34.000000,34.000000,0.112909,0.190599,0.210030,0.240920,254,1346,3600.000000,16,6,6,GUROBI,1,0,0,0
167,3,New,16,20.570922,25.881188,25.549687,27.130380,34.000000,34.000000,0.111756,0.210306,0.262526,0.268536,331,1574,3600.000000,16,6,6,GUROBI,1,0,0,0
168,3,New,16,20.570922,25.881188,25.708479,26.990255,34.000000,34.000000,0.114618,0.237016,0.241751,0.268043,151,944,3600.000000,16,6,6,GUROBI,1,0,0,0
169,3,New,16,20.570922,25.881188,25.708479,26.705907,34.000000,34.000000,0.113075,0.190694,0.210284,0.241294,254,1346,3600.000000,16,6,6,GUROBI,1,0,0,0
17,3,New,16,20.570922,25.881188,25.708479,26.705907,34.000000,34.000000,0.114887,0.194440,0.214019,0.246449,254,1346,3600.000000,16,6,6,GUROBI,1,0,0,0
170,3,New,16,20.570922,25.881188,25.708479,26.705907,34.000000,34.000000,0.114490,0.195992,0.215521,0.246432,254,1346,3600.000000,16,6,6,GUROBI,1,0,0,0
171,3,New,16,20.570922,25.881188,25.708479,26.705907,34.000000,34.000000,0.111866,0.193422,0.213396,0.244757,254,1346,3600.000000,16,6,6,GUROBI,1,0,0,0
172,3,New,16,20.307934,22.905697,22.847723,25.872282,34.000000,34.000000,0.115022,0.246299,0.300419,0.308946,352,1820,3600.000000,16,6,6,GUROBI,1,0,0,0
173,3,New,16,20.570922,25.881188,25.708600,26.943705,34.000000,34.000000,0.116522,0.196368,0.257316,0.260220,364,1777,3600.000000,16,6,6,GUROBI,1,0,0,0
174,3,New,16,20.570922,25.881188,25.708479,26.705907,34.000000,34.000000,0.112867,0.193579,0.213054,0.243962,254,1346,3600.000000,16,6,6,GUROBI,1,0,0,0
175,3,New,16,20.570922,25.881188,25.708479,26.668678,34.000000,34.000000,0.114011,0.200727,0.261993,0.269165,377,1846,3600.000000,16,6,6,GUROBI,1,0,0,0
176,3,New,16,20.570922,25.881188,25.708479,26.705907,34.000000,34.000000,0.112243,0.191631,0.211637,0.243404,254,1346,3600.000000,16,6,6,GUROBI,1,0,0,0
177,3,New,16,20.570922,25.881188,25.708479,26.705907,34.000000,34.000000,0.112647,0.193379,0.212898,0.243889,254,1346,3600.000000,16,6,6,GUROBI,1,0,0,0
178,3,New,16,20.570922,25.881188,25.708479,26.705907,34.000000,34.000000,0.114659,0.195876,0.216755,0.249259,254,1346,3600.000000,16,6,6,GUROBI,1,0,0,0
179,3,New,16,20.570922,25.881188,25.708479,26.705907,34.000000,34.000000,0.114172,0.193587,0.213273,0.246071,254,1346,3600.000000,16,6,6,GUROBI,1,0,0,0
18,3,New,16,20.970211,25.586214,25.586214,27.327483,34.000000,34.000000,0.120486,0.221623,0.273828,0.288086,307,1662,3600.000000,17,6,6,GUROBI,1,1,0,0
180,3,New,16,20.586009,25.881188,25.838813,27.039561,34.000000,34.000000,0.129208,0.222922,0.293172,0.302304,400,2013,3600.000000,16,7,7,GUROBI,1,0,0,0
181,3,New,16,20.570922,25.881188,25.619016,26.939853,34.000000,34.000000,0.112841,0.209170,0.219951,0.255832,219,1237,3600.000000,16,6,6,GUROBI,1,0,0,0
182,3,New,16,20.570922,25.881188,25.721297,26.698383,34.000000,34.000000,0.113595,0.185841,0.225048,0.246417,273,1406,3600.000000,16,6,6,GUROBI,1,0,0,0
183,3,New,16,21.143215,26.792575,26.606924,27.505713,34.000000,34.000000,0.121057,0.244170,0.313880,0.317249,333,1778,3600.000000,17,6,6,GUROBI,1,1,0,0
184,3,New,16,20.570922,25.881188,25.376827,26.713350,34.000000,34.000000,0.120604,0.223494,0.283295,0.301319,431,1928,3600.000000,16,6,6,GUROBI,1,0,0,0
185,3,New,16,20.570922,25.881188,25.723180,26.818686,34.000000,34.000000,0.115182,0.199864,0.230961,0.256496,240,1434,3600.000000,16,6,6,GUROBI,1,0,0,0
186,3,New,16,20.750461,26.356667,26.173671,27.150105,34.000000,34.000000,0.119326,0.221909,0.260513,0.269430,227,1322,3600.000000,16,6,6,GUROBI,1,0,0,0
187,3,New,16,20.570922,25.881188,25.708479,26.866981,34.000000,34.000000,0.113945,0.226019,0.240174,0.268338,221,1189,3600.000000,16,6,6,GUROBI,1,0,0,0
188,3,New,16,20.570922,25.881188,25.707990,26.992161,34.000000,34.000000,0.115106,0.237887,0.246433,0.283471,184,1237,3600.000000,16,6,6,GUROBI,1,0,0,0
189,3,New,16,20.570922,25.881188,25.708479,26.705907,34.000000,34.000000,0.116411,0.195983,0.216272,0.248086,254,1346,3600.000000,16,6,6,GUROBI,1,0,0,0
19,3,New,16,20.570922,25.881188,25.711661,27.361954,34.000000,34.000000,0.116154,0.269574,0.431989,0.434367,748,3576,3600.000000,16,6,6,GUROBI,1,0,0,0
190,3,New,16,20.570922,25.881188,25.708479,26.705907,34.000000,34.000000,0.112886,0.194277,0.224132,0.249480,263,1431,3600.000000,16,6,6,GUROBI,1,0,0,0
191,3,New,16,20.077726,25.148515,25.057662,26.346447,33.000000,33.000000,0.113783,0.236112,0.278093,0.294888,250,1610,3600.000000,16,6,6,GUROBI,1,0,0,0
