instanceIndex,seedIndex,vpcGenerator,terms,lpBound,disjunctiveDualBound,lpBoundPostVpc,rootDualBound,dualBound,primalBound,vpcGenerationTime,rootDualBoundTime,bestSolutionTime,terminationTime,nodes,iterations,maxTime,actualTerms,numCuts,cutLimit,mipSolver,providePrimalBound,infeasibleTerms,feasibleToInfeasibleTerms,infeasibleToFeasibleTerms
0,0,New,16,20.570922,25.881188,25.708479,27.141080,34.000000,34.000000,0.122341,0.436928,0.539645,0.545590,279,1584,3600.000000,16,6,6,GUROBI,1,0,0,0
1,0,Old,16,21.201484,26.613861,25.765794,26.968022,34.000000,34.000000,0.051561,0.314654,0.454566,0.507539,430,2295,3600.000000,16,6,0,GUROBI,1,0,0,0
2,0,Old,16,20.570922,25.881188,25.708479,27.087209,34.000000,34.000000,0.055458,0.306054,0.405207,0.434439,359,1831,3600.000000,16,6,0,GUROBI,1,0,0,0
3,0,Old,16,20.570922,25.881188,25.708479,26.725792,34.000000,34.000000,0.057120,0.197151,0.310266,0.320538,457,2191,3600.000000,16,6,0,GUROBI,1,0,0,0
4,0,Old,16,20.570922,25.881188,25.708479,26.725792,34.000000,34.000000,0.051979,0.272336,0.459093,0.482281,457,2189,3600.000000,16,6,0,GUROBI,1,0,0,0
5,0,Old,16,20.570922,25.881188,25.708479,26.725792,34.000000,34.000000,0.056309,0.240389,0.405603,0.428306,457,2191,3600.000000,16,6,0,GUROBI,1,0,0,0
6,0,Old,16,20.561261,25.881188,25.568313,26.557192,34.000000,34.000000,0.056101,0.188075,0.246343,0.255335,312,1636,3600.000000,16,6,0,GUROBI,1,0,0,0
7,0,Old,16,20.570922,25.881188,25.752585,26.983846,34.000000,34.000000,0.055255,0.254887,0.326641,0.369712,237,1269,3600.000000,16,6,0,GUROBI,1,0,0,0
8,0,Old,16,20.570922,25.881188,25.708479,26.646472,34.000000,34.000000,0.054435,0.191415,0.216069,0.266247,191,1010,3600.000000,16,6,0,GUROBI,1,0,0,0
9,0,Old,16,20.570922,25.881188,25.634645,26.691736,34.000000,34.000000,0.055050,0.227310,0.328811,0.330297,484,2240,3600.000000,16,6,0,GUROBI,1,0,0,0
10,0,Old,16,20.570922,25.881188,25.708040,26.859246,34.000000,34.000000,0.049745,0.349976,0.508148,0.509906,391,1930,3600.000000,16,6,0,GUROBI,1,0,0,0
