instanceIndex,seedIndex,vpcGenerator,terms,lpBound,disjunctiveDualBound,lpBoundPostVpc,rootDualBound,dualBound,primalBound,vpcGenerationTime,rootDualBoundTime,bestSolutionTime,terminationTime,nodes,iterations,maxTime,actualTerms,numCuts,cutLimit,mipSolver,providePrimalBound,infeasibleTerms,feasibleToInfeasibleTerms,infeasibleToFeasibleTerms
0,1,New,4,20.570922,22.537880,22.537880,26.557393,34.000000,34.000000,0.035844,0.178346,0.199935,0.217837,177,1164,3600.000000,4,6,6,GUROBI,1,0,0,0
1,1,Farkas,4,20.570922,22.537880,22.537880,26.042901,34.000000,34.000000,0.009264,0.109231,0.139301,0.152003,275,1336,3600.000000,4,6,0,GUROBI,1,0,0,0
10,1,Farkas,4,20.570922,22.537880,22.537880,26.042901,34.000000,34.000000,0.007639,0.118518,0.148696,0.161450,275,1336,3600.000000,4,6,0,GUROBI,1,0,0,0
100,1,Farkas,4,20.570922,22.537880,22.537880,26.042901,34.000000,34.000000,0.006898,0.106981,0.137165,0.149909,275,1336,3600.000000,4,6,0,GUROBI,1,0,0,0
101,1,Farkas,4,20.570922,22.537880,22.537880,26.042901,34.000000,34.000000,0.006642,0.107535,0.137816,0.150575,275,1336,3600.000000,4,6,0,GUROBI,1,0,0,0
102,1,Farkas,4,20.570922,22.537880,22.537880,26.058628,34.000000,34.000000,0.006683,0.109949,0.142002,0.155728,256,1487,3600.000000,4,6,0,GUROBI,1,0,0,0
103,1,Farkas,4,20.570922,22.537880,22.537880,26.416792,34.000000,34.000000,0.007941,0.143893,0.195557,0.205106,354,1740,3600.000000,4,6,0,GUROBI,1,0,0,0
104,1,Farkas,4,20.570922,22.537880,22.537880,26.042901,34.000000,34.000000,0.007341,0.118482,0.148660,0.161809,276,1340,3600.000000,4,6,0,GUROBI,1,0,0,0
105,1,Farkas,4,20.570922,22.537880,22.537880,26.042901,34.000000,34.000000,0.008276,0.108683,0.138950,0.151703,275,1336,3600.000000,4,6,0,GUROBI,1,0,0,0
106,1,Farkas,4,20.570922,22.537880,22.537880,26.084900,34.000000,34.000000,0.009640,0.109813,0.162318,0.180064,408,1934,3600.000000,4,6,0,GUROBI,1,0,0,0
107,1,Farkas,4,20.570922,22.537880,22.537880,26.042901,34.000000,34.000000,0.008062,0.110948,0.141275,0.154007,275,1336,3600.000000,4,6,0,GUROBI,1,0,0,0
108,1,Farkas,4,20.570922,22.537880,22.537880,26.042901,34.000000,34.000000,0.007274,0.119355,0.149714,0.162480,275,1336,3600.000000,4,6,0,GUROBI,1,0,0,0
109,1,Farkas,4,20.570922,22.537880,22.537880,26.042901,34.000000,34.000000,0.007022,0.108006,0.138107,0.150867,275,1336,3600.000000,4,6,0,GUROBI,1,0,0,0
11,1,Farkas,4,20.570922,22.537880,22.537880,26.042901,34.000000,34.000000,0.007267,0.108447,0.138661,0.151403,275,1336,3600.000000,4,6,0,GUROBI,1,0,0,0
