instanceIndex,seedIndex,vpcGenerator,terms,lpBound,disjunctiveDualBound,lpBoundPostVpc,rootDualBound,dualBound,primalBound,vpcGenerationTime,rootDualBoundTime,bestSolutionTime,terminationTime,nodes,iterations,maxTime,actualTerms,numCuts,cutLimit,mipSolver,providePrimalBound,infeasibleTerms,feasibleToInfeasibleTerms,infeasibleToFeasibleTerms
0,0,New,16,20.570922,25.881188,25.708479,26.694612,34.000000,34.000000,0.122867,0.203333,0.224994,0.242750,203,1072,3600.000000,16,6,6,GUROBI,1,0,0,0
1,0,Old,16,20.422760,25.881188,24.595913,26.790529,34.000000,34.000000,0.058658,0.187492,0.238924,0.251823,298,1744,3600.000000,16,7,0,GUROBI,1,0,0,0
10,0,Old,16,20.119190,24.554455,24.430757,26.361755,34.000000,34.000000,0.052406,0.158196,0.259011,0.267382,520,2622,3600.000000,16,6,0,GUROBI,1,0,0,0
100,0,Old,16,20.570922,25.881188,25.684466,26.517419,34.000000,34.000000,0.055469,0.146184,0.207321,0.216532,355,1714,3600.000000,16,6,0,GUROBI,1,0,0,0
101,0,Old,16,20.570922,25.881188,25.695287,26.884466,34.000000,34.000000,0.054269,0.157832,0.231369,0.237803,386,2079,3600.000000,16,6,0,GUROBI,1,0,0,0
102,0,Old,16,20.579477,25.881188,25.772647,26.631414,34.000000,34.000000,0.059001,0.145636,0.183163,0.183231,189,1096,3600.000000,16,7,0,GUROBI,1,0,0,0
103,0,Old,16,20.570922,25.881188,25.708479,26.803878,34.000000,34.000000,0.053520,0.145675,0.208030,0.215997,366,1729,3600.000000,16,6,0,GUROBI,1,0,0,0
104,0,Old,16,20.569256,25.881188,25.643831,26.836348,34.000000,34.000000,0.054079,0.137761,0.174180,0.185904,230,1244,3600.000000,16,6,0,GUROBI,1,0,0,0
105,0,Old,16,20.657894,25.881188,25.857921,26.773090,34.000000,34.000000,0.057620,0.162448,0.170453,0.198584,140,988,3600.000000,16,6,0,GUROBI,1,0,0,0
106,0,Old,16,20.570922,25.933494,25.807290,27.191716,34.000000,34.000000,0.060510,0.192195,0.231609,0.248150,251,1614,3600.000000,16,6,0,GUROBI,1,0,0,0
107,0,Old,16,20.570922,25.881188,25.708479,26.570588,34.000000,34.000000,0.054522,0.122408,0.175583,0.183108,368,1598,3600.000000,16,6,0,GUROBI,1,0,0,0
108,0,Old,16,20.518555,25.881188,25.760061,26.887954,34.000000,34.000000,0.053495,0.161579,0.215760,0.229099,359,1812,3600.000000,16,6,0,GUROBI,1,0,0,0
109,0,Old,16,20.570922,25.881188,25.510488,26.610163,34.000000,34.000000,0.052020,0.131982,0.241101,0.241532,578,2642,3600.000000,16,6,0,GUROBI,1,0,0,0
11,0,Old,16,20.570922,25.881188,25.856025,26.860996,34.000000,34.000000,0.052717,0.143612,0.200761,0.214333,333,1638,3600.000000,16,6,0,GUROBI,1,0,0,0
110,0,Old,16,20.570922,25.881188,25.673430,26.781586,34.000000,34.000000,0.052409,0.136498,0.196214,0.213218,356,1921,3600.000000,16,6,0,GUROBI,1,0,0,0
111,0,Old,16,20.570922,25.881188,25.657004,26.768189,34.000000,34.000000,0.057561,0.149063,0.249530,0.266086,498,2598,3600.000000,16,6,0,GUROBI,1,0,0,0
112,0,Old,16,20.660868,25.881188,25.775788,26.532453,34.000000,34.000000,0.057255,0.131992,0.182050,0.191217,308,1515,3600.000000,16,6,0,GUROBI,1,0,0,0
113,0,Old,16,20.570922,25.881188,25.548936,26.831338,33.000000,33.000000,0.052783,0.163202,0.169949,0.207627,159,1071,3600.000000,16,6,0,GUROBI,1,0,0,0
114,0,Old,16,20.570922,25.881188,25.709277,26.629541,34.000000,34.000000,0.046396,0.128692,0.196770,0.197253,372,1647,3600.000000,16,6,0,GUROBI,1,0,0,0
115,0,Old,16,20.570922,25.881188,25.708479,26.879954,34.000000,34.000000,0.053396,0.158649,0.230548,0.235566,385,1973,3600.000000,16,6,0,GUROBI,1,0,0,0
116,0,Old,16,20.568915,25.881188,25.652068,26.779063,34.000000,34.000000,0.056205,0.149972,0.202720,0.204517,285,1513,3600.000000,16,6,0,GUROBI,1,0,0,0
117,0,Old,16,20.570922,25.881188,25.653936,27.047113,34.000000,34.000000,0.051221,0.215802,0.250310,0.263313,294,1490,3600.000000,16,6,0,GUROBI,1,0,0,0
118,0,Old,16,20.570922,25.881188,25.710687,26.839795,34.000000,34.000000,0.052063,0.135913,0.171255,0.185680,254,1378,3600.000000,16,6,0,GUROBI,1,0,0,0
119,0,Old,16,20.570922,25.881188,25.639740,27.010868,34.000000,34.000000,0.053366,0.158160,0.220214,0.230307,361,1621,3600.000000,16,6,0,GUROBI,1,0,0,0
12,0,Old,16,20.630456,26.019802,25.826160,26.770165,34.000000,34.000000,0.058504,0.161181,0.238078,0.240063,357,1944,3600.000000,16,7,0,GUROBI,1,0,0,0
120,0,Old,16,20.570922,25.881188,25.698593,26.935214,34.000000,34.000000,0.055829,0.153646,0.218103,0.222361,357,1835,3600.000000,16,6,0,GUROBI,1,0,0,0
121,0,Old,16,21.571238,27.997647,27.571224,28.017608,34.000000,34.000000,0.050672,0.112644,0.172079,0.172970,288,1427,3600.000000,16,6,0,GUROBI,1,0,0,0
122,0,Old,16,20.570922,25.881188,25.694657,27.028461,34.000000,34.000000,0.053209,0.151403,0.214502,0.224191,339,1880,3600.000000,16,6,0,GUROBI,1,0,0,0
123,0,Old,16,20.561261,25.881188,25.719605,26.559279,34.000000,34.000000,0.054987,0.148723,0.154484,0.183027,141,979,3600.000000,16,6,0,GUROBI,1,0,0,0
124,0,Old,16,21.224576,26.613861,26.457326,27.270642,33.000000,33.000000,0.058605,0.134385,0.194898,0.198446,314,1617,3600.000000,16,7,0,GUROBI,1,0,0,0
125,0,Old,16,20.452161,25.881188,25.628840,26.702732,34.000000,34.000000,0.051651,0.180005,0.229969,0.241897,313,1770,3600.000000,16,6,0,GUROBI,1,0,0,0
126,0,Old,16,20.570922,25.881188,25.652141,27.015356,34.000000,34.000000,0.053594,0.153066,0.221680,0.226078,384,1943,3600.000000,16,6,0,GUROBI,1,0,0,0
127,0,Old,16,20.570922,25.572046,25.301042,26.596543,34.000000,34.000000,0.051705,0.132058,0.159207,0.182568,230,1329,3600.000000,16,6,0,GUROBI,1,0,0,0
128,0,Old,16,20.570922,25.881188,25.706789,27.282632,34.000000,34.000000,0.055725,0.211052,0.281042,0.297803,386,2173,3600.000000,16,6,0,GUROBI,1,0,0,0
129,0,Old,16,20.969190,27.047359,26.543680,27.475736,34.000000,34.000000,0.056532,0.149192,0.186719,0.249513,542,2352,3600.000000,16,7,0,GUROBI,1,0,0,0
13,0,Old,16,20.570922,25.881188,25.742866,26.955156,33.000000,33.000000,0.050941,0.169274,0.226940,0.227969,291,1702,3600.000000,16,6,0,GUROBI,1,0,0,0
130,0,Old,16,20.570922,25.881188,25.496246,26.995419,34.000000,34.000000,0.054487,0.138600,0.192703,0.220312,333,1981,3600.000000,16,6,0,GUROBI,1,0,0,0
131,0,Old,16,20.570922,25.881188,25.565210,27.009890,34.000000,34.000000,0.053128,0.165005,0.224980,0.226606,279,1668,3600.000000,16,6,0,GUROBI,1,0,0,0
132,0,Old,16,20.172274,25.148515,25.036277,26.027336,33.000000,33.000000,0.055655,0.150140,0.193838,0.204822,234,1463,3600.000000,16,6,0,GUROBI,1,0,0,0
133,0,Old,16,20.282252,25.483589,25.373671,26.375083,34.000000,34.000000,0.050003,0.132027,0.185531,0.197077,281,1616,3600.000000,16,6,0,GUROBI,1,0,0,0
