instanceIndex,seedIndex,vpcGenerator,terms,lpBound,disjunctiveDualBound,lpBoundPostVpc,rootDualBound,dualBound,primalBound,vpcGenerationTime,rootDualBoundTime,bestSolutionTime,terminationTime,nodes,iterations,maxTime,actualTerms,numCuts,cutLimit,mipSolver,providePrimalBound,infeasibleTerms,feasibleToInfeasibleTerms,infeasibleToFeasibleTerms
0,3,New,16,20.570922,25.881188,25.708479,26.694612,34.000000,34.000000,0.111893,0.190569,0.212305,0.230082,203,1072,3600.000000,16,6,6,GUROBI,1,0,0,0
1,3,Farkas,16,20.639868,25.881188,23.995450,26.238223,31.000000,31.000000,0.021598,0.133457,0.149926,0.154401,117,669,3600.000000,16,6,0,GUROBI,1,0,0,0
2,3,Farkas,16,20.914649,26.429185,25.708479,26.925574,34.000000,34.000000,0.022492,0.142242,0.148677,0.178305,138,1086,3600.000000,16,6,0,GUROBI,1,0,0,0
3,3,Farkas,16,20.729600,25.637660,24.520601,26.457859,33.000000,33.000000,0.023228,0.119784,0.149117,0.163043,199,1199,3600.000000,16,6,0,GUROBI,1,0,0,0
4,3,Farkas,16,20.581116,25.881188,24.953523,26.399409,31.000000,31.000000,0.021199,0.096188,0.118636,0.127899,146,852,3600.000000,16,6,0,GUROBI,1,0,0,0
5,3,Farkas,16,20.994022,26.729614,24.534694,26.416862,34.000000,34.000000,0.021746,0.106309,0.120957,0.139760,165,926,3600.000000,16,6,0,GUROBI,1,0,0,0
6,3,Farkas,16,21.168847,25.744438,25.045156,26.445826,34.000000,34.000000,0.023649,0.109208,0.176619,0.194068,518,2042,3600.000000,16,6,0,GUROBI,1,0,0,0
7,3,Farkas,16,20.704143,25.881188,24.728670,26.227169,34.000000,34.000000,0.021925,0.126631,0.161574,0.170798,192,1221,3600.000000,16,6,0,GUROBI,1,0,0,0
8,3,Farkas,16,20.575346,25.881188,25.229682,26.553113,31.000000,31.000000,0.020717,0.120150,0.160660,0.163714,248,1293,3600.000000,16,6,0,GUROBI,1,0,0,0
9,3,Farkas,16,21.287291,26.259043,23.270781,25.357639,33.000000,33.000000,0.021508,0.108654,0.215473,0.217795,531,2467,3600.000000,16,6,0,GUROBI,1,0,0,0
10,3,Farkas,16,21.111238,26.595761,23.855905,25.635596,30.000000,30.000000,0.023089,0.118583,0.124547,0.130078,47,449,3600.000000,16,6,0,GUROBI,1,0,0,0
11,3,Farkas,16,21.317102,27.364372,24.922862,26.913907,34.000000,34.000000,0.021684,0.171338,0.176817,0.203186,143,976,3600.000000,16,6,0,GUROBI,1,0,0,0
12,3,Farkas,16,20.135456,25.652994,24.136605,25.639910,34.000000,34.000000,0.021983,0.127477,0.133648,0.160819,162,966,3600.000000,16,6,0,GUROBI,1,0,0,0
13,3,Farkas,16,20.218956,25.048904,23.387349,25.742106,34.000000,34.000000,0.025180,0.125867,0.213483,0.224024,454,2367,3600.000000,16,6,0,GUROBI,1,0,0,0
14,3,Farkas,16,21.266061,27.146056,24.149408,26.994248,34.000000,34.000000,0.021494,0.126737,0.151894,0.181166,282,1504,3600.000000,16,6,0,GUROBI,1,0,0,0
15,3,Farkas,16,20.614844,25.438680,24.630154,26.128159,31.000000,31.000000,0.022609,0.133626,0.142793,0.152607,74,653,3600.000000,16,6,0,GUROBI,1,0,0,0
16,3,Farkas,16,21.050138,26.801980,25.278600,26.776913,34.000000,34.000000,0.022241,0.102884,0.132041,0.149567,240,1308,3600.000000,16,6,0,GUROBI,1,0,0,0
17,3,Farkas,16,20.506077,25.881188,24.478737,26.311160,33.000000,33.000000,0.020917,0.186927,0.260539,0.264087,330,1998,3600.000000,16,6,0,GUROBI,1,0,0,0
18,3,Farkas,16,20.359439,25.483589,23.251832,25.918135,34.000000,34.000000,0.021689,0.139793,0.158970,0.174401,156,1066,3600.000000,16,6,0,GUROBI,1,0,0,0
19,3,Farkas,16,20.774203,26.404722,23.319449,25.721312,34.000000,34.000000,0.025160,0.162001,0.233492,0.243071,385,2148,3600.000000,16,6,0,GUROBI,1,0,0,0
20,3,Farkas,16,21.201484,26.613861,25.307330,26.970090,34.000000,34.000000,0.022913,0.110019,0.167349,0.173272,329,1682,3600.000000,16,6,0,GUROBI,1,0,0,0
21,3,Farkas,16,20.803752,25.485714,23.947963,25.918081,34.000000,34.000000,0.021510,0.088556,0.131288,0.134484,251,1265,3600.000000,16,6,0,GUROBI,1,0,0,0
22,3,Farkas,16,20.573569,25.856209,23.968621,26.347444,34.000000,34.000000,0.023195,0.147684,0.174005,0.193245,254,1383,3600.000000,16,6,0,GUROBI,1,0,0,0
23,3,Farkas,16,20.570922,26.369361,25.573398,26.965121,34.000000,34.000000,0.022683,0.128040,0.239787,0.253378,588,2695,3600.000000,16,6,0,GUROBI,1,0,0,0
24,3,Farkas,16,20.317886,25.630890,23.878956,26.220426,34.000000,34.000000,0.025273,0.088064,0.156764,0.157243,334,1695,3600.000000,16,6,0,GUROBI,1,0,0,0
25,3,Farkas,16,21.103275,25.661185,24.748636,26.990495,34.000000,34.000000,0.023100,0.117037,0.136775,0.151738,161,919,3600.000000,16,6,0,GUROBI,1,0,0,0
26,3,Farkas,16,20.570922,25.630890,24.799045,26.978400,34.000000,34.000000,0.025169,0.123898,0.131934,0.170522,228,1213,3600.000000,16,6,0,GUROBI,1,0,0,0
27,3,Farkas,16,20.855423,26.956415,24.105739,26.414659,34.000000,34.000000,0.021398,0.155203,0.201032,0.206587,313,1494,3600.000000,16,6,0,GUROBI,1,0,0,0
28,3,Farkas,16,20.741876,26.398860,24.478681,26.444580,30.000000,30.000000,0.022601,0.158039,0.194670,0.196117,214,1179,3600.000000,16,6,0,GUROBI,1,0,0,0
29,3,Farkas,16,19.971171,24.946060,22.364533,25.473919,34.000000,34.000000,0.022520,0.194721,0.244446,0.248596,239,1544,3600.000000,16,6,0,GUROBI,1,0,0,0
30,3,Farkas,16,20.487169,25.881188,25.492809,26.503834,30.000000,30.000000,0.021787,0.099941,0.153552,0.154806,345,1390,3600.000000,16,6,0,GUROBI,1,0,0,0
31,3,Farkas,16,20.670372,25.742574,24.186207,26.093952,34.000000,34.000000,0.024284,0.138363,0.184514,0.185982,236,1398,3600.000000,16,6,0,GUROBI,1,0,0,0
32,3,Farkas,16,20.570922,25.881188,24.838159,26.327865,31.000000,31.000000,0.022002,0.124183,0.150302,0.168149,210,1238,3600.000000,16,6,0,GUROBI,1,0,0,0
33,3,Farkas,16,20.670372,25.881188,24.495520,26.294919,33.000000,33.000000,0.020066,0.131728,0.158526,0.167935,192,1052,3600.000000,16,6,0,GUROBI,1,0,0,0
34,3,Farkas,16,20.641770,26.378412,23.345254,26.311417,34.000000,34.000000,0.021242,0.127800,0.152632,0.177057,223,1314,3600.000000,16,6,0,GUROBI,1,0,0,0
35,3,Farkas,16,20.661706,26.019802,24.965477,26.240324,34.000000,34.000000,0.020821,0.123414,0.166504,0.179556,249,1505,3600.000000,16,6,0,GUROBI,1,0,0,0
36,3,Farkas,16,20.527505,25.726576,22.207397,25.603924,31.000000,31.000000,0.020689,0.122767,0.168558,0.171306,288,1338,3600.000000,16,6,0,GUROBI,1,0,0,0
37,3,Farkas,16,20.310608,25.881188,23.795198,26.147101,34.000000,34.000000,0.022183,0.146276,0.180318,0.195916,267,1389,3600.000000,16,6,0,GUROBI,1,0,0,0
38,3,Farkas,16,21.201484,26.613861,25.679495,27.075517,34.000000,34.000000,0.020591,0.129122,0.237883,0.239223,504,2522,3600.000000,16,6,0,GUROBI,1,0,0,0
39,3,Farkas,16,21.080854,26.901800,24.985720,26.420874,34.000000,34.000000,0.024816,0.126052,0.143892,0.162576,166,1057,3600.000000,16,6,0,GUROBI,1,0,0,0
40,3,Farkas,16,20.570922,25.881188,25.529846,26.499763,34.000000,34.000000,0.022899,0.112318,0.184393,0.191786,365,2009,3600.000000,16,6,0,GUROBI,1,0,0,0
41,3,Farkas,16,20.792535,25.917635,25.177706,26.601281,34.000000,34.000000,0.022650,0.127356,0.148494,0.167178,170,1017,3600.000000,16,6,0,GUROBI,1,0,0,0
42,3,Farkas,16,20.146171,24.974137,22.720669,25.269363,34.000000,34.000000,0.023285,0.120259,0.152141,0.171001,245,1342,3600.000000,16,6,0,GUROBI,1,0,0,0
43,3,Farkas,16,20.715415,25.637660,24.131657,25.990051,31.000000,31.000000,0.021133,0.120468,0.162441,0.183579,288,1666,3600.000000,16,6,0,GUROBI,1,0,0,0
44,3,Farkas,16,20.595282,26.921296,25.815328,26.856434,34.000000,34.000000,0.023167,0.132881,0.159502,0.180962,221,1243,3600.000000,16,6,0,GUROBI,1,0,0,0
45,3,Farkas,16,19.851530,24.615726,22.405088,25.024034,34.000000,34.000000,0.024390,0.119583,0.170123,0.172751,303,1450,3600.000000,16,6,0,GUROBI,1,0,0,0
46,3,Farkas,16,21.028748,27.119984,25.514638,27.103991,30.000000,30.000000,0.021371,0.143753,0.161053,0.161557,78,600,3600.000000,16,6,0,GUROBI,1,0,0,0
47,3,Farkas,16,20.682770,25.990099,24.239233,25.883813,30.000000,30.000000,0.021504,0.110246,0.144346,0.145514,180,903,3600.000000,16,6,0,GUROBI,1,0,0,0
48,3,Farkas,16,20.490817,25.881188,24.003611,26.229486,34.000000,34.000000,0.022467,0.138937,0.171869,0.175915,174,1063,3600.000000,16,6,0,GUROBI,1,0,0,0
49,3,Farkas,16,20.570922,25.881188,25.497330,26.448734,34.000000,34.000000,0.021047,0.112798,0.188625,0.196284,387,2021,3600.000000,16,6,0,GUROBI,1,0,0,0
50,3,Farkas,16,20.422760,25.881188,24.165134,26.086077,33.000000,33.000000,0.025139,0.140181,0.147904,0.163697,120,816,3600.000000,16,6,0,GUROBI,1,0,0,0
51,3,Farkas,16,20.570922,25.630252,25.185686,26.823871,34.000000,34.000000,0.020456,0.120644,0.220149,0.221487,468,2112,3600.000000,16,6,0,GUROBI,1,0,0,0
52,3,Farkas,16,20.570922,25.881188,25.512878,26.699978,34.000000,34.000000,0.022418,0.119336,0.199886,0.217341,423,2254,3600.000000,16,6,0,GUROBI,1,0,0,0
53,3,Farkas,16,20.860256,26.774553,24.146719,26.382206,34.000000,34.000000,0.024745,0.155618,0.190626,0.204724,245,1418,3600.000000,16,6,0,GUROBI,1,0,0,0
54,3,Farkas,16,20.567360,25.881188,25.022005,26.607779,34.000000,34.000000,0.022578,0.097450,0.140757,0.145328,264,1288,3600.000000,16,6,0,GUROBI,1,0,0,0
55,3,Farkas,16,20.430153,25.881188,24.453449,26.243869,33.000000,33.000000,0.021310,0.151738,0.176899,0.189387,173,1217,3600.000000,16,6,0,GUROBI,1,0,0,0
56,3,Farkas,16,20.443661,24.554455,23.322541,26.038220,34.000000,34.000000,0.022624,0.119995,0.147823,0.163182,239,1271,3600.000000,16,6,0,GUROBI,1,0,0,0
57,3,Farkas,16,20.570922,25.881188,24.552661,26.552140,34.000000,34.000000,0.022347,0.114708,0.122763,0.152637,181,1027,3600.000000,16,6,0,GUROBI,1,0,0,0
58,3,Farkas,16,20.903281,26.346369,25.459217,26.260594,34.000000,34.000000,0.019262,0.090193,0.118792,0.134205,219,1072,3600.000000,16,6,0,GUROBI,1,0,0,0
59,3,Farkas,16,20.378208,24.851485,23.882341,25.348169,33.000000,33.000000,0.022891,0.136258,0.156118,0.173212,176,1096,3600.000000,16,6,0,GUROBI,1,0,0,0
60,3,Farkas,16,20.670372,25.881188,25.586898,26.820166,34.000000,34.000000,0.022280,0.102377,0.144235,0.160758,363,1641,3600.000000,16,6,0,GUROBI,1,0,0,0
61,3,Farkas,16,20.606465,25.542857,23.018814,25.959908,33.000000,33.000000,0.021950,0.159229,0.179944,0.192757,183,1109,3600.000000,16,6,0,GUROBI,1,0,0,0
