instanceIndex,seedIndex,vpcGenerator,terms,lpBound,disjunctiveDualBound,lpBoundPostVpc,rootDualBound,dualBound,primalBound,vpcGenerationTime,rootDualBoundTime,bestSolutionTime,terminationTime,nodes,iterations,maxTime,actualTerms,numCuts,cutLimit,mipSolver,providePrimalBound,infeasibleTerms,feasibleToInfeasibleTerms,infeasibleToFeasibleTerms
0,2,New,16,20.570922,25.881188,25.708479,26.991518,34.000000,34.000000,0.110214,0.208432,0.256042,0.277623,386,1731,3600.000000,16,6,6,GUROBI,1,0,0,0
1,2,New,16,20.639868,25.881188,25.772656,26.576491,31.000000,31.000000,0.117374,0.196082,0.202337,0.214567,74,587,3600.000000,16,7,7,GUROBI,1,0,0,0
2,2,New,16,20.914649,27.492537,27.483463,27.938317,34.000000,34.000000,0.112497,0.172885,0.225169,0.241906,374,1581,3600.000000,16,6,6,GUROBI,1,0,0,0
3,2,New,16,20.729600,25.984177,25.957842,26.930211,33.000000,33.000000,0.123530,0.219058,0.242516,0.253308,166,1007,3600.000000,16,7,7,GUROBI,1,0,0,0
4,2,New,16,20.581116,25.881188,25.340069,26.871680,31.000000,31.000000,0.110748,0.226654,0.260742,0.260811,172,969,3600.000000,16,6,6,GUROBI,1,0,0,0
5,2,New,16,20.994022,26.412371,26.099691,27.031064,34.000000,34.000000,0.124053,0.227224,0.247991,0.280690,283,1474,3600.000000,16,7,7,GUROBI,1,0,0,0
6,2,New,16,21.168847,25.691782,24.905634,26.958425,34.000000,34.000000,0.117480,0.232376,0.298041,0.300021,381,1820,3600.000000,16,6,6,GUROBI,1,0,0,0
7,2,New,16,20.704143,26.604405,26.064514,27.161154,34.000000,34.000000,0.111073,0.232454,0.282499,0.306148,329,1739,3600.000000,16,6,6,GUROBI,1,0,0,0
8,2,New,16,20.575346,25.881188,25.579091,26.890411,31.000000,31.000000,0.111334,0.190025,0.257575,0.259636,392,1838,3600.000000,16,6,6,GUROBI,1,0,0,0
9,2,New,16,21.287291,25.828976,25.481196,26.919128,33.000000,33.000000,0.111716,0.235331,0.260108,0.274960,172,1171,3600.000000,16,6,6,GUROBI,1,0,0,0
10,2,New,16,21.111238,25.853234,25.808937,26.748817,30.000000,30.000000,0.118102,0.221977,0.251318,0.251385,138,841,3600.000000,16,6,6,GUROBI,1,0,0,0
11,2,New,16,21.317102,24.996691,24.996691,26.638818,34.000000,34.000000,0.113281,0.226826,0.260813,0.279135,294,1402,3600.000000,16,6,6,GUROBI,1,0,0,0
12,2,New,16,20.135456,23.485569,23.485569,25.492270,34.000000,34.000000,0.120054,0.223564,0.257901,0.281506,247,1458,3600.000000,16,6,6,GUROBI,1,0,0,0
13,2,New,16,20.218956,26.014023,25.878840,26.586442,34.000000,34.000000,0.114681,0.231483,0.276572,0.292078,259,1531,3600.000000,16,6,6,GUROBI,1,0,0,0
14,2,New,16,21.266061,27.542964,26.724542,27.620687,34.000000,34.000000,0.124959,0.209069,0.267649,0.274613,344,1725,3600.000000,16,7,7,GUROBI,1,0,0,0
15,2,New,16,20.614844,25.438680,25.329556,26.928001,31.000000,31.000000,0.120323,0.273031,0.290917,0.301628,141,998,3600.000000,16,7,7,GUROBI,1,0,0,0
16,2,New,16,21.050138,26.801980,26.195720,27.145029,34.000000,34.000000,0.114012,0.214181,0.285293,0.291316,415,1979,3600.000000,16,6,6,GUROBI,1,0,0,0
17,2,New,16,20.506077,23.468437,23.452796,25.986839,33.000000,33.000000,0.120029,0.234997,0.261366,0.273383,165,1083,3600.000000,16,6,6,GUROBI,1,0,0,0
18,2,New,16,20.359439,26.481021,26.453413,26.935881,34.000000,34.000000,0.113788,0.185100,0.214762,0.225626,207,1001,3600.000000,16,6,6,GUROBI,1,0,0,0
19,2,New,16,20.774203,27.123101,26.941157,27.495347,34.000000,34.000000,0.116586,0.194635,0.260414,0.267374,373,1845,3600.000000,16,7,7,GUROBI,1,0,0,0
20,2,New,16,21.201484,27.458655,27.249478,27.680392,34.000000,34.000000,0.122640,0.201808,0.295771,0.307807,470,2473,3600.000000,16,6,6,GUROBI,1,0,0,0
21,2,New,16,20.803752,26.617506,26.037684,27.450351,34.000000,34.000000,0.117482,0.195390,0.329418,0.329612,726,2977,3600.000000,16,6,6,GUROBI,1,0,0,0
22,2,New,16,20.573569,26.617506,26.334259,27.316539,34.000000,34.000000,0.114847,0.189387,0.295415,0.304989,522,2452,3600.000000,16,6,6,GUROBI,1,0,0,0
23,2,New,16,20.570922,27.061021,26.843393,27.297396,34.000000,34.000000,0.118818,0.201481,0.228758,0.250013,224,1269,3600.000000,16,6,6,GUROBI,1,0,0,0
24,2,New,16,20.317886,25.630890,25.500201,26.352219,34.000000,34.000000,0.109155,0.189877,0.219467,0.240994,263,1314,3600.000000,16,6,6,GUROBI,1,0,0,0
25,2,New,16,21.103275,25.615961,25.330963,27.014599,34.000000,34.000000,0.108084,0.218017,0.336772,0.340626,542,2875,3600.000000,16,5,5,GUROBI,1,0,0,0
26,2,New,16,20.570922,25.630890,25.091414,26.795031,34.000000,34.000000,0.107130,0.214454,0.290590,0.290775,341,1873,3600.000000,16,6,6,GUROBI,1,0,0,0
27,2,New,16,20.855423,27.126582,26.878273,27.760233,34.000000,34.000000,0.113078,0.194302,0.248855,0.256788,305,1617,3600.000000,16,6,6,GUROBI,1,0,0,0
28,2,New,16,20.741876,26.163761,25.756486,26.624077,30.000000,30.000000,0.127077,0.227921,0.244188,0.248561,91,639,3600.000000,16,7,7,GUROBI,1,0,0,0
29,2,New,16,19.971171,26.349346,25.527362,26.456896,34.000000,34.000000,0.117526,0.210157,0.255379,0.264168,299,1504,3600.000000,16,6,6,GUROBI,1,0,0,0
30,2,New,16,20.487169,25.881188,25.560226,26.588671,30.000000,30.000000,0.118417,0.233325,0.265964,0.268283,223,1100,3600.000000,16,7,7,GUROBI,1,0,0,0
31,2,New,16,20.670372,26.956415,26.874097,27.867339,34.000000,34.000000,0.114021,0.228155,0.246930,0.270726,216,1197,3600.000000,16,6,6,GUROBI,1,0,0,0
32,2,New,16,20.570922,25.881188,25.758072,26.668448,31.000000,31.000000,0.109305,0.200751,0.242345,0.278565,381,1875,3600.000000,16,6,6,GUROBI,1,0,0,0
33,2,New,16,20.670372,25.881188,25.662906,26.752150,33.000000,33.000000,0.122386,0.238755,0.307658,0.313294,378,1907,3600.000000,16,6,6,GUROBI,1,0,0,0
34,2,New,16,20.641770,26.844930,26.826594,27.822280,34.000000,34.000000,0.111569,0.194192,0.259825,0.259891,356,1713,3600.000000,16,6,6,GUROBI,1,0,0,0
35,2,New,16,20.661706,26.019802,25.365247,26.871319,34.000000,34.000000,0.123052,0.254874,0.324878,0.336840,442,2172,3600.000000,16,6,6,GUROBI,1,0,0,0
36,2,New,16,20.527505,24.560000,24.560000,26.167967,31.000000,31.000000,0.113525,0.212611,0.232892,0.232951,102,705,3600.000000,16,6,6,GUROBI,1,0,0,0
37,2,New,16,20.310608,26.319214,25.999664,26.822202,34.000000,34.000000,0.130944,0.225288,0.256539,0.278157,240,1334,3600.000000,16,7,7,GUROBI,1,0,0,0
38,2,New,16,21.201484,27.215524,26.947708,27.500660,34.000000,34.000000,0.111370,0.193036,0.296751,0.299168,525,2412,3600.000000,16,6,6,GUROBI,1,0,0,0
39,2,New,16,21.080854,26.356667,26.253263,27.376990,34.000000,34.000000,0.137921,0.220513,0.243573,0.256929,183,1008,3600.000000,16,7,7,GUROBI,1,0,0,0
40,2,New,16,20.570922,25.881188,25.606541,26.960513,34.000000,34.000000,0.109829,0.198099,0.222039,0.246846,171,1059,3600.000000,16,6,6,GUROBI,1,0,0,0
41,2,New,16,20.792535,26.356667,26.026471,27.056494,34.000000,34.000000,0.131882,0.270670,0.314964,0.329033,276,1701,3600.000000,16,7,7,GUROBI,1,0,0,0
42,2,New,16,20.146171,25.948553,25.633492,26.520537,34.000000,34.000000,0.110318,0.247888,0.303018,0.310888,269,1723,3600.000000,16,6,6,GUROBI,1,0,0,0
43,2,New,16,20.715415,23.844506,23.843176,26.219206,31.000000,31.000000,0.134738,0.229627,0.273495,0.274766,247,1319,3600.000000,16,7,7,GUROBI,1,0,0,0
44,2,New,16,20.595282,27.166470,26.816713,27.509405,34.000000,34.000000,0.119742,0.210813,0.257269,0.258454,232,1173,3600.000000,16,6,6,GUROBI,1,0,0,0
45,2,New,16,19.851530,23.205610,23.182493,25.250826,34.000000,34.000000,0.127916,0.221598,0.279671,0.304743,353,1953,3600.000000,16,6,6,GUROBI,1,0,0,0
46,2,New,16,21.028748,25.901758,25.821604,27.090090,30.000000,30.000000,0.120068,0.246231,0.292195,0.293442,269,1387,3600.000000,17,6,6,GUROBI,1,1,0,0
47,2,New,16,20.682770,25.884488,25.862745,27.372355,30.000000,30.000000,0.121812,0.214973,0.223386,0.223443,33,368,3600.000000,16,6,6,GUROBI,1,0,0,0
48,2,New,16,20.490817,25.881188,24.554773,26.702795,34.000000,34.000000,0.111035,0.184026,0.210098,0.230908,205,1194,3600.000000,16,6,6,GUROBI,1,0,0,0
49,2,New,16,20.570922,25.881188,25.648503,26.656049,34.000000,34.000000,0.112566,0.217451,0.261234,0.275787,287,1590,3600.000000,16,6,6,GUROBI,1,0,0,0
50,2,New,16,20.422760,26.604405,26.069448,26.814103,33.000000,33.000000,0.124998,0.217164,0.223845,0.255438,147,1033,3600.000000,16,7,7,GUROBI,1,0,0,0
51,2,New,16,20.570922,25.630252,25.618025,27.186671,34.000000,34.000000,0.112645,0.239289,0.301019,0.314786,351,1842,3600.000000,16,6,6,GUROBI,1,0,0,0
52,2,New,16,20.570922,25.881188,25.063757,27.181586,34.000000,34.000000,0.127154,0.259331,0.308317,0.314233,339,1747,3600.000000,16,6,6,GUROBI,1,0,0,0
53,2,New,16,20.860256,27.327788,27.160969,27.402142,34.000000,34.000000,0.112856,0.172272,0.226699,0.235804,326,1589,3600.000000,16,6,6,GUROBI,1,0,0,0
54,2,New,16,20.567360,25.881188,25.784589,26.668979,34.000000,34.000000,0.115633,0.202760,0.261548,0.267173,318,1706,3600.000000,16,6,6,GUROBI,1,0,0,0
55,2,New,16,20.430153,23.977233,23.951903,26.157089,33.000000,33.000000,0.118128,0.253198,0.295195,0.309754,291,1595,3600.000000,16,6,6,GUROBI,1,0,0,0
56,2,New,16,20.443661,26.207738,26.191934,27.374859,34.000000,34.000000,0.115270,0.191975,0.222412,0.235018,235,1165,3600.000000,16,6,6,GUROBI,1,0,0,0
57,2,New,16,20.570922,25.881188,25.658397,26.821855,34.000000,34.000000,0.125769,0.218825,0.290014,0.290433,332,1756,3600.000000,16,6,6,GUROBI,1,0,0,0
58,2,New,16,20.903281,27.134436,26.885907,27.654391,34.000000,34.000000,0.129763,0.217327,0.299374,0.300141,428,2031,3600.000000,16,7,7,GUROBI,1,0,0,0
59,2,New,16,20.378208,26.044131,25.730113,26.487551,33.000000,33.000000,0.121583,0.195917,0.232547,0.236610,222,1142,3600.000000,16,7,7,GUROBI,1,0,0,0
60,2,New,16,20.670372,25.881188,25.175309,26.524049,34.000000,34.000000,0.109038,0.216386,0.267623,0.270671,292,1583,3600.000000,16,6,6,GUROBI,1,0,0,0
61,2,New,16,20.606465,23.650939,23.646172,25.861711,33.000000,33.000000,0.127475,0.201984,0.241507,0.244538,210,1194,3600.000000,16,7,7,GUROBI,1,0,0,0
62,2,New,16,20.582374,26.356667,25.965578,26.820873,31.000000,31.000000,0.113563,0.187412,0.496927,0.501986,221,994,3600.000000,16,6,6,GUROBI,1,0,0,0
63,2,New,16,19.039016,22.277778,21.886841,24.510981,30.000000,30.000000,0.123269,0.232798,0.286395,0.287187,324,1537,3600.000000,16,6,6,GUROBI,1,0,0,0
64,2,New,16,20.805772,26.356667,26.133462,27.339157,34.000000,34.000000,0.116846,0.230757,0.290776,0.296659,294,1815,3600.000000,16,6,6,GUROBI,1,0,0,0
65,2,New,16,20.074823,26.158342,25.812124,26.555560,34.000000,34.000000,0.119211,0.194218,0.251660,0.258364,304,1754,3600.000000,16,6,6,GUROBI,1,0,0,0
66,2,New,16,20.586009,25.881188,25.827083,26.871549,34.000000,34.000000,0.121900,0.225437,0.279225,0.285124,285,1670,3600.000000,16,7,7,GUROBI,1,0,0,0
67,2,New,16,19.918974,24.851282,24.834933,26.189665,31.000000,31.000000,0.111976,0.210231,0.227155,0.236180,106,732,3600.000000,16,6,6,GUROBI,1,0,0,0
68,2,New,16,20.393582,24.851485,24.851485,26.380791,34.000000,34.000000,0.123844,0.235257,0.280375,0.300885,310,1668,3600.000000,16,7,7,GUROBI,1,0,0,0
69,2,New,16,20.307934,22.905697,22.905697,25.507216,34.000000,34.000000,0.112855,0.227111,0.264322,0.268681,200,1233,3600.000000,16,6,6,GUROBI,1,0,0,0
70,2,New,16,19.488527,23.767131,23.738430,25.215409,30.000000,30.000000,0.125829,0.223613,0.240117,0.244724,110,719,3600.000000,16,6,6,GUROBI,1,0,0,0
71,2,New,16,20.348211,25.462329,25.410658,26.886099,34.000000,34.000000,0.122803,0.220799,0.236503,0.261164,214,1195,3600.000000,16,7,7,GUROBI,1,0,0,0
72,2,New,16,20.884287,27.685443,26.882599,27.414515,34.000000,34.000000,0.126679,0.199236,0.279786,0.282678,437,2076,3600.000000,16,7,7,GUROBI,1,0,0,0
73,2,New,16,20.570922,25.881188,25.783267,26.854485,33.000000,33.000000,0.117650,0.222216,0.302993,0.312592,495,2337,3600.000000,16,6,6,GUROBI,1,0,0,0
74,2,New,16,20.893146,27.067399,26.877833,27.661861,34.000000,34.000000,0.109622,0.188299,0.213520,0.238039,241,1259,3600.000000,16,6,6,GUROBI,1,0,0,0
75,2,New,16,20.567725,26.921316,26.727357,27.633320,34.000000,34.000000,0.125630,0.191938,0.240122,0.249442,283,1474,3600.000000,16,6,6,GUROBI,1,0,0,0
76,2,New,16,20.955033,25.957281,25.957281,26.747591,34.000000,34.000000,0.120373,0.211493,0.311514,0.315968,577,2622,3600.000000,16,7,7,GUROBI,1,0,0,0
77,2,New,16,19.949321,26.587276,26.178713,26.804724,33.000000,33.000000,0.109616,0.187755,0.249420,0.253626,316,1700,3600.000000,16,6,6,GUROBI,1,0,0,0
78,2,New,16,20.534694,25.962264,25.962264,27.003505,34.000000,34.000000,0.121573,0.237284,0.302256,0.311476,366,1833,3600.000000,16,7,7,GUROBI,1,0,0,0
