lpBound,disjunctiveDualBound,lpBoundPostVpc,rootDualBound,dualBound,heuristicPrimalBound,primalBound,vpcGenerationTime,heuristicTime,rootDualBoundTime,firstSolutionTime,bestSolutionTime,terminationTime,maxTime,vpcGenerator,terms,iterations,nodes
20.570922,22.537880,22.537880,25.012028,34.000000,34.000000,34.000000,0.162503,0.500990,0.870102,0.500992,0.880480,1.476948,300.000000,New,4,1960,140
20.570922,22.712478,22.712478,25.338940,33.000000,33.000000,33.000000,0.061276,0.206636,0.582233,0.206642,0.588127,1.075667,300.000000,Old,4,1791,126
22.057610,23.747123,23.747123,26.795065,34.000000,34.000000,34.000000,0.048633,0.196918,0.598478,0.196932,0.607454,1.087570,300.000000,Old,4,1579,100
20.287572,21.959581,21.959581,25.158662,30.000000,30.000000,30.000000,0.056607,0.199060,0.588388,0.199075,0.593767,0.777377,300.000000,Old,4,1137,54
20.482799,22.447772,22.447772,25.517970,30.000000,30.000000,30.000000,0.054848,0.187996,0.588985,0.188002,0.596646,0.854906,300.000000,Old,4,1252,54
20.670937,22.462881,22.462881,25.113289,34.000000,34.000000,34.000000,0.051024,0.293468,0.672112,0.293484,0.680041,1.346410,300.000000,Old,4,1960,138
20.762581,22.483252,22.483252,25.448840,30.000000,30.000000,30.000000,0.050031,0.227859,0.620856,0.227873,0.626688,0.801659,300.000000,Old,4,1076,38
21.187989,23.146907,23.146907,25.573041,34.000000,34.000000,34.000000,0.058518,0.336725,0.736538,0.336739,0.745178,1.316088,300.000000,Old,4,1961,124
20.570922,22.169197,22.169197,25.703038,34.000000,34.000000,34.000000,0.047874,0.575778,0.949045,0.575793,0.957593,1.768449,300.000000,Old,4,2448,182
20.856953,22.824286,22.275899,24.983969,34.000000,34.000000,34.000000,0.050178,0.443391,0.817016,0.443404,0.822577,1.552325,300.000000,Old,4,2406,180
20.777192,22.545914,22.545914,25.158370,34.000000,34.000000,34.000000,0.055501,0.373597,0.768155,0.373601,0.774203,1.439412,300.000000,Old,4,2292,160
