instanceIndex,seedIndex,vpcGenerator,terms,lpBound,disjunctiveDualBound,lpBoundPostVpc,rootDualBound,dualBound,primalBound,vpcGenerationTime,rootDualBoundTime,bestSolutionTime,terminationTime,nodes,iterations,maxTime,actualTerms,numCuts,cutLimit,mipSolver,providePrimalBound,infeasibleTerms,feasibleToInfeasibleTerms,infeasibleToFeasibleTerms
0,1,New,4,20.570922,22.537880,22.537880,26.557393,34.000000,34.000000,0.036452,0.179695,0.201443,0.219487,177,1171,3600.000000,4,6,6,GUROBI,1,0,0,0
1,1,Farkas,4,20.611585,22.537880,22.537880,26.272893,34.000000,34.000000,0.009401,0.112615,0.166202,0.188234,410,2067,3600.000000,4,6,0,GUROBI,1,0,0,0
2,1,Farkas,4,20.495737,22.431715,22.431715,26.330599,33.875000,33.875000,0.006879,0.160801,0.195863,0.210567,245,1456,3600.000000,4,6,0,GUROBI,1,0,0,0
3,1,Farkas,4,20.695922,22.628261,22.628261,26.495919,34.125000,34.125000,0.007778,0.132795,0.160680,0.187085,257,1473,3600.000000,4,6,0,GUROBI,1,0,0,0
4,1,Farkas,4,20.570922,22.537880,22.537880,26.042901,34.000000,34.000000,0.005253,0.107611,0.169876,0.173826,362,1800,3600.000000,4,6,0,GUROBI,1,0,0,0
5,1,Farkas,4,20.471297,22.412880,22.412880,26.373770,33.875000,33.875000,0.006852,0.140941,0.185029,0.188413,220,1381,3600.000000,4,6,0,GUROBI,1,0,0,0
6,1,Farkas,4,20.570922,22.479020,22.479020,25.542961,33.875000,33.875000,0.006563,0.121455,0.174996,0.178076,284,1517,3600.000000,4,6,0,GUROBI,1,0,0,0
7,1,Farkas,4,20.570922,22.537880,22.537880,26.160506,34.000000,34.000000,0.006518,0.118746,0.204474,0.204890,430,2198,3600.000000,4,6,0,GUROBI,1,0,0,0
8,1,Farkas,4,20.495737,22.419840,22.419840,25.838545,33.875000,33.875000,0.007803,0.107865,0.188739,0.209800,501,2410,3600.000000,4,6,0,GUROBI,1,0,0,0
9,1,Farkas,4,20.715660,22.662880,22.662880,26.301441,34.125000,34.125000,0.006730,0.105109,0.213826,0.228695,550,2784,3600.000000,4,6,0,GUROBI,1,0,0,0
10,1,Farkas,4,20.775762,22.776792,22.776792,26.497240,34.250000,34.250000,0.008088,0.130786,0.199570,0.203743,345,2003,3600.000000,4,6,0,GUROBI,1,0,0,0
