instanceIndex,vpcGenerator,terms,lpBound,disjunctiveDualBound,lpBoundPostVpc,rootDualBound,dualBound,primalBound,vpcGenerationTime,rootDualBoundTime,bestSolutionTime,terminationTime,nodes,iterations,maxTime,actualTerms,numCuts,cutLimit,mipSolver,providePrimalBound,infeasibleTerms,feasibleToInfeasibleTerms,infeasibleToFeasibleTerms
0,New,4,20.570922,22.537880,22.537880,26.557393,34.000000,34.000000,0.036756,0.298552,0.320359,0.338423,177,1171,3600.000000,4,6,6,GUROBI,1,0,0,0
1,New,4,20.570922,22.580296,22.580296,26.845012,34.125000,34.125000,0.035270,0.194550,0.204905,0.241379,210,1468,3600.000000,4,6,6,GUROBI,1,0,0,0
2,New,4,20.570922,22.453777,22.453777,25.904539,33.750000,33.750000,0.034160,0.121215,0.201361,0.206354,447,2235,3600.000000,4,6,6,GUROBI,1,0,0,0
3,New,4,20.675202,22.638852,22.638852,26.169464,34.125000,34.125000,0.049169,0.141155,0.209953,0.231502,438,2167,3600.000000,4,6,6,GUROBI,1,0,0,0
4,New,4,20.736380,22.662880,22.662880,26.554013,34.125000,34.125000,0.038661,0.228145,0.299233,0.309373,377,2195,3600.000000,4,6,6,GUROBI,1,0,0,0
5,New,4,20.570922,22.587739,22.587739,25.934805,34.125000,34.125000,0.073458,0.200403,0.250288,0.263019,301,1732,3600.000000,4,6,6,GUROBI,1,0,0,0
6,New,4,20.570922,22.501377,22.501377,25.728613,34.000000,34.000000,0.036372,0.148081,0.269639,0.271493,608,2975,3600.000000,4,6,6,GUROBI,1,0,0,0
7,New,4,20.570922,22.537880,22.537880,26.227234,34.000000,34.000000,0.034028,0.146263,0.212902,0.294947,453,2244,3600.000000,4,6,6,GUROBI,1,0,0,0
8,New,4,20.495737,22.420989,22.420989,25.532834,34.000000,34.000000,0.036684,0.120868,0.136776,0.176072,284,1404,3600.000000,4,6,6,GUROBI,1,0,0,0
9,New,4,20.494299,22.419840,22.419840,26.221327,33.875000,33.875000,0.034347,0.166407,0.206703,0.218289,296,1518,3600.000000,4,6,6,GUROBI,1,0,0,0
10,New,4,20.570922,22.511646,22.511646,25.723382,33.875000,33.875000,0.033583,0.124972,0.182537,0.190077,345,1630,3600.000000,4,6,6,GUROBI,1,0,0,0
11,New,4,20.695922,22.662880,22.662880,26.152422,34.125000,34.125000,0.042441,0.177544,0.214774,0.222588,218,1239,3600.000000,4,6,6,GUROBI,1,0,0,0
12,New,4,20.670546,22.636646,22.636646,26.278637,34.000000,34.000000,0.036276,0.152910,0.218230,0.221202,335,1828,3600.000000,4,6,6,GUROBI,1,0,0,0
13,New,4,20.445922,22.412880,22.412880,25.641834,33.875000,33.875000,0.035122,0.127201,0.153981,0.174954,232,1237,3600.000000,4,6,6,GUROBI,1,0,0,0
14,New,4,20.445922,22.412880,22.412880,25.863407,33.875000,33.875000,0.034214,0.204033,0.262460,0.275979,341,1858,3600.000000,4,6,6,GUROBI,1,0,0,0
15,New,4,20.695922,22.638852,22.638852,25.932982,34.125000,34.125000,0.036297,0.124408,0.156148,0.205199,402,2140,3600.000000,4,6,6,GUROBI,1,0,0,0
16,New,4,20.570922,22.537880,22.537880,26.557393,34.000000,34.000000,0.033972,0.175331,0.206960,0.230832,260,1563,3600.000000,4,6,6,GUROBI,1,0,0,0
17,New,4,20.566266,22.513852,22.513852,26.043673,34.000000,34.000000,0.034626,0.118990,0.203373,0.206371,413,2143,3600.000000,4,6,6,GUROBI,1,0,0,0
18,New,4,20.655259,22.683930,22.683930,25.586415,34.250000,34.250000,0.036109,0.121270,0.142662,0.178574,290,1574,3600.000000,4,6,6,GUROBI,1,0,0,0
19,New,4,20.611380,22.537880,22.537880,26.063472,34.000000,34.000000,0.035664,0.135919,0.161991,0.179985,210,1226,3600.000000,4,6,6,GUROBI,1,0,0,0
20,New,4,20.670546,22.662880,22.662880,26.403495,34.125000,34.125000,0.046773,0.696662,0.713987,0.745921,252,1397,3600.000000,4,6,6,GUROBI,1,0,0,0
21,New,4,20.609942,22.537880,22.537880,25.499672,34.000000,34.000000,0.039399,0.396745,0.410824,0.437336,216,1230,3600.000000,4,6,6,GUROBI,1,0,0,0
22,New,4,20.695922,22.616385,22.616385,25.895589,34.125000,34.125000,0.039427,0.485052,0.563389,0.579096,481,2374,3600.000000,4,6,6,GUROBI,1,0,0,0
23,New,4,20.569484,22.537880,22.537880,25.404718,34.000000,34.000000,0.037381,0.184805,0.189980,0.218810,164,910,3600.000000,4,6,6,GUROBI,1,0,0,0
24,New,4,20.611585,22.537880,22.537880,25.889025,34.000000,34.000000,0.046005,0.194952,0.276551,0.296744,445,2555,3600.000000,4,6,6,GUROBI,1,0,0,0
25,New,4,20.820922,22.787880,22.787880,26.111850,34.250000,34.250000,0.035695,0.232835,0.323673,0.330401,475,2389,3600.000000,4,6,6,GUROBI,1,0,0,0
26,New,4,20.653821,22.662880,22.662880,26.021545,34.125000,34.125000,0.037144,0.163886,0.170684,0.209342,207,1328,3600.000000,4,6,6,GUROBI,1,0,0,0
