instanceIndex,vpcGenerator,terms,lpBound,disjunctiveDualBound,lpBoundPostVpc,rootDualBound,dualBound,primalBound,vpcGenerationTime,rootDualBoundTime,bestSolutionTime,terminationTime,nodes,iterations,maxTime,actualTerms,numCuts,cutLimit,mipSolver,providePrimalBound
0,New,16,20.570922,25.881188,25.708479,26.660266,34.000000,34.000000,0.121090,0.188996,0.302713,0.303096,182,1751,3600.000000,16,6,6,CBC,1
1,New,16,20.561115,25.881188,25.708122,26.687205,33.968750,33.968750,0.120698,0.195744,0.404840,0.405292,402,2946,3600.000000,16,6,6,CBC,1
2,New,16,20.570922,25.885962,25.712020,26.571468,34.000000,34.000000,0.121353,0.191454,0.332253,0.332684,328,2323,3600.000000,16,6,6,CBC,1
3,New,16,20.552125,25.845695,25.512696,26.565901,33.968750,33.968750,0.120470,0.176025,0.315228,0.315632,232,1892,3600.000000,16,6,6,CBC,1
4,New,16,20.560756,25.881188,25.678446,26.592855,34.000000,34.000000,0.121372,0.192396,0.361000,0.361377,348,2671,3600.000000,16,6,6,CBC,1
5,New,16,20.570922,25.864878,25.658781,26.607186,34.000000,34.000000,0.121565,0.177692,0.342215,0.342564,326,2431,3600.000000,16,6,6,CBC,1
6,New,16,20.570922,25.881188,25.708479,26.660266,34.000000,34.000000,0.121316,0.188476,0.319209,0.319605,210,1975,3600.000000,16,6,6,CBC,1
7,New,16,20.595828,25.912438,25.707656,26.608113,34.031250,34.031250,0.121795,0.198529,0.350066,0.350538,272,2342,3600.000000,16,6,6,CBC,1
8,New,16,20.573210,25.893255,25.549070,26.631178,34.000000,34.000000,0.120649,0.177097,0.339812,0.340140,292,2121,3600.000000,16,6,6,CBC,1
9,New,16,20.570922,25.870889,25.675989,26.573358,33.968750,33.968750,0.122013,0.158002,0.312069,0.312378,286,2012,3600.000000,16,6,6,CBC,1
10,New,16,20.595828,25.912438,25.739729,26.725416,34.031250,34.031250,0.121241,0.175255,0.344338,0.344711,304,2253,3600.000000,16,6,6,CBC,1
