instanceIndex,seedIndex,vpcGenerator,terms,lpBound,disjunctiveDualBound,lpBoundPostVpc,rootDualBound,dualBound,primalBound,vpcGenerationTime,rootDualBoundTime,bestSolutionTime,terminationTime,nodes,iterations,maxTime,actualTerms,numCuts,cutLimit,mipSolver,providePrimalBound,infeasibleTerms,feasibleToInfeasibleTerms,infeasibleToFeasibleTerms
0,3,None,4,20.570922,20.570922,20.570922,26.427088,34.000000,34.000000,0.000003,0.142466,0.183465,0.195257,269,1505,3600.000000,0,0,0,GUROBI,1,0,0,0
1,3,None,4,20.984434,20.984434,20.984434,26.095197,34.500000,34.500000,0.000003,0.113257,0.170092,0.186501,291,1688,3600.000000,0,0,0,GUROBI,1,0,0,0
2,3,None,4,20.859355,20.859355,20.859355,26.113880,35.000000,35.000000,0.000003,0.155451,0.202400,0.208718,247,1550,3600.000000,0,0,0,GUROBI,1,0,0,0
3,3,None,4,20.670372,20.670372,20.670372,25.396728,34.000000,34.000000,0.000002,0.103554,0.175904,0.200401,484,2486,3600.000000,0,0,0,GUROBI,1,0,0,0
4,3,None,4,20.570922,20.570922,20.570922,25.833209,34.000000,34.000000,0.000002,0.111257,0.173467,0.173530,358,1711,3600.000000,0,0,0,GUROBI,1,0,0,0
5,3,None,4,20.570922,20.570922,20.570922,25.888789,34.000000,34.000000,0.000003,0.096019,0.108030,0.137817,213,1199,3600.000000,0,0,0,GUROBI,1,0,0,0
6,3,None,4,21.034315,21.034315,21.034315,25.867509,34.500000,34.500000,0.000001,0.084488,0.125020,0.131910,233,1312,3600.000000,0,0,0,GUROBI,1,0,0,0
7,3,None,4,20.589544,20.589544,20.589544,26.583061,33.500000,33.500000,0.000003,0.109144,0.136521,0.136586,128,920,3600.000000,0,0,0,GUROBI,1,0,0,0
8,3,None,4,21.570922,21.570922,21.570922,26.855553,35.000000,35.000000,0.000003,0.099493,0.119788,0.140286,216,1162,3600.000000,0,0,0,GUROBI,1,0,0,0
9,3,None,4,20.570922,20.570922,20.570922,27.016622,34.000000,34.000000,0.000003,0.205565,0.279100,0.289057,404,2255,3600.000000,0,0,0,GUROBI,1,0,0,0
10,3,None,4,21.070922,21.070922,21.070922,26.193461,34.500000,34.500000,0.000004,0.089311,0.104229,0.132185,234,1232,3600.000000,0,0,0,GUROBI,1,0,0,0
11,3,None,4,19.570922,19.570922,19.570922,25.007690,33.000000,33.000000,0.000003,0.120478,0.206748,0.214502,472,2309,3600.000000,0,0,0,GUROBI,1,0,0,0
12,3,None,4,21.070922,21.070922,21.070922,26.124811,34.500000,34.500000,0.000003,0.113944,0.173008,0.193607,443,2107,3600.000000,0,0,0,GUROBI,1,0,0,0
13,3,None,4,20.408269,20.408269,20.408269,25.823861,34.000000,34.000000,0.000004,0.094730,0.155798,0.161497,359,1834,3600.000000,0,0,0,GUROBI,1,0,0,0
14,3,None,4,20.670372,20.670372,20.670372,25.266665,34.000000,34.000000,0.000002,0.091204,0.155359,0.169339,416,1994,3600.000000,0,0,0,GUROBI,1,0,0,0
15,3,None,4,19.763965,19.763965,19.763965,24.638330,33.000000,33.000000,0.000003,0.105924,0.121093,0.142416,192,1078,3600.000000,0,0,0,GUROBI,1,0,0,0
16,3,None,4,20.409089,20.409089,20.409089,25.442967,34.000000,34.000000,0.000002,0.154592,0.213785,0.241869,372,2037,3600.000000,0,0,0,GUROBI,1,0,0,0
17,3,None,4,21.070922,21.070922,21.070922,26.319827,34.500000,34.500000,0.000002,0.117419,0.206591,0.222098,512,2613,3600.000000,0,0,0,GUROBI,1,0,0,0
18,3,None,4,20.524059,20.524059,20.524059,25.231806,34.000000,34.000000,0.000001,0.089791,0.187268,0.205987,566,2592,3600.000000,0,0,0,GUROBI,1,0,0,0
19,3,None,4,20.589544,20.589544,20.589544,26.629991,34.000000,34.000000,0.000003,0.131899,0.181587,0.182105,284,1478,3600.000000,0,0,0,GUROBI,1,0,0,0
20,3,None,4,21.070922,21.070922,21.070922,26.488831,34.500000,34.500000,0.000003,0.083905,0.211751,0.213961,629,2933,3600.000000,0,0,0,GUROBI,1,0,0,0
21,3,None,4,20.559083,20.559083,20.559083,25.414724,34.000000,34.000000,0.000002,0.103560,0.137878,0.163960,295,1598,3600.000000,0,0,0,GUROBI,1,0,0,0
22,3,None,4,20.070922,20.070922,20.070922,25.093413,34.000000,34.000000,0.000003,0.100675,0.152630,0.160431,293,1585,3600.000000,0,0,0,GUROBI,1,0,0,0
23,3,None,4,20.722160,20.722160,20.722160,25.907400,34.000000,34.000000,0.000003,0.152791,0.176582,0.199179,244,1438,3600.000000,0,0,0,GUROBI,1,0,0,0
24,3,None,4,20.172424,20.172424,20.172424,25.167312,33.500000,33.500000,0.000003,0.108820,0.124653,0.152726,226,1285,3600.000000,0,0,0,GUROBI,1,0,0,0
25,3,None,4,20.853041,20.853041,20.853041,27.200349,34.500000,34.500000,0.000002,0.206929,0.248026,0.248754,178,1388,3600.000000,0,0,0,GUROBI,1,0,0,0
26,3,None,4,20.559083,20.559083,20.559083,25.315719,34.000000,34.000000,0.000003,0.102389,0.114332,0.139218,198,1114,3600.000000,0,0,0,GUROBI,1,0,0,0
27,3,None,4,20.559083,20.559083,20.559083,25.167534,34.000000,34.000000,0.000003,0.088737,0.154269,0.170908,431,2090,3600.000000,0,0,0,GUROBI,1,0,0,0
28,3,None,4,20.070922,20.070922,20.070922,25.315377,33.500000,33.500000,0.000001,0.112041,0.131516,0.155591,241,1318,3600.000000,0,0,0,GUROBI,1,0,0,0
29,3,None,4,20.722160,20.722160,20.722160,25.972738,34.000000,34.000000,0.000002,0.132907,0.214389,0.232313,465,2483,3600.000000,0,0,0,GUROBI,1,0,0,0
30,3,None,4,20.689603,20.689603,20.689603,25.318203,34.000000,34.000000,0.000003,0.096613,0.155475,0.158645,352,1678,3600.000000,0,0,0,GUROBI,1,0,0,0
31,3,None,4,20.570922,20.570922,20.570922,25.472051,34.500000,34.500000,0.000003,0.095555,0.199645,0.206467,536,2626,3600.000000,0,0,0,GUROBI,1,0,0,0
32,3,None,4,20.551632,20.551632,20.551632,26.103968,34.000000,34.000000,0.000001,0.106852,0.135500,0.163253,275,1591,3600.000000,0,0,0,GUROBI,1,0,0,0
33,3,None,4,20.559083,20.559083,20.559083,25.315719,34.000000,34.000000,0.000003,0.092278,0.155994,0.158876,334,1717,3600.000000,0,0,0,GUROBI,1,0,0,0
34,3,None,4,20.570922,20.570922,20.570922,26.144525,34.000000,34.000000,0.000002,0.126749,0.183196,0.191362,360,1831,3600.000000,0,0,0,GUROBI,1,0,0,0
35,3,None,4,20.686354,20.686354,20.686354,25.752905,34.000000,34.000000,0.000003,0.115474,0.169580,0.175214,334,1689,3600.000000,0,0,0,GUROBI,1,0,0,0
36,3,None,4,20.263965,20.263965,20.263965,26.145298,33.500000,33.500000,0.000003,0.203368,0.309262,0.313963,551,2909,3600.000000,0,0,0,GUROBI,1,0,0,0
37,3,None,4,20.070922,20.070922,20.070922,25.875231,33.500000,33.500000,0.000002,0.121973,0.140034,0.163857,223,1208,3600.000000,0,0,0,GUROBI,1,0,0,0
38,3,None,4,21.570922,21.570922,21.570922,26.883867,35.000000,35.000000,0.000004,0.144856,0.156965,0.184588,204,1313,3600.000000,0,0,0,GUROBI,1,0,0,0
39,3,None,4,20.222160,20.222160,20.222160,25.715268,33.500000,33.500000,0.000001,0.169766,0.185242,0.202199,160,1185,3600.000000,0,0,0,GUROBI,1,0,0,0
40,3,None,4,20.570922,20.570922,20.570922,26.014149,34.500000,34.500000,0.000001,0.087887,0.198615,0.200551,554,2771,3600.000000,0,0,0,GUROBI,1,0,0,0
41,3,None,4,20.589544,20.589544,20.589544,26.904664,34.000000,34.000000,0.000002,0.145898,0.254742,0.257301,490,2726,3600.000000,0,0,0,GUROBI,1,0,0,0
