instanceIndex,seedIndex,vpcGenerator,terms,lpBound,disjunctiveDualBound,lpBoundPostVpc,rootDualBound,dualBound,primalBound,vpcGenerationTime,rootDualBoundTime,bestSolutionTime,terminationTime,nodes,iterations,maxTime,actualTerms,numCuts,cutLimit,mipSolver,providePrimalBound,infeasibleTerms,feasibleToInfeasibleTerms,infeasibleToFeasibleTerms,termRemainsFeasibleBasisInfeasible,cutsChangedCoefficients,feasibleTermsPrunedByBound,tighten_disjunction,tighten_matrix_perturbation,tighten_infeasible_to_feasible_term,tighten_feasible_to_infeasible_basis
0,0,New,4,20.570922,22.537880,22.537880,26.557393,34.000000,34.000000,0.579383,0.716010,0.737879,0.755886,177,1171,60.000000,4,6,6,GUROBI,1,0,0,0,0,0,0,0,0,0,0
1,0,NoTerm,4,20.247257,22.158076,22.157945,26.333450,34.000000,34.000000,0.006516,0.164071,0.183778,0.214735,258,1587,60.000000,4,6,0,GUROBI,1,0,0,0,0,0,0,1,1,0,1
10,0,NoTerm,4,19.773927,21.537880,21.537880,24.807692,33.000000,33.000000,0.002591,0.091500,0.174578,0.177127,485,2216,60.000000,4,6,0,GUROBI,1,0,0,0,0,0,0,1,1,0,1
11,0,NoTerm,4,20.773935,22.407052,22.407052,25.804362,34.000000,34.000000,0.002851,0.098603,0.147659,0.150779,283,1367,60.000000,4,6,0,GUROBI,1,0,0,0,0,0,0,1,1,0,1
12,0,NoTerm,4,19.696750,21.449315,21.449315,25.123110,33.000000,33.000000,0.003095,0.125214,0.156314,0.165952,157,1144,60.000000,4,6,0,GUROBI,1,0,0,0,0,0,0,1,1,0,1
13,0,NoTerm,4,21.172404,23.249445,23.249445,26.450828,35.000000,35.000000,0.004836,0.109158,0.150386,0.163514,312,1552,60.000000,4,6,0,GUROBI,1,0,0,0,0,0,0,1,1,0,1
14,0,NoTerm,4,21.209647,23.117367,23.117367,26.675084,35.000000,35.000000,0.006912,0.114349,0.188812,0.207787,433,2153,60.000000,4,6,0,GUROBI,1,0,0,0,0,0,0,1,1,0,1
15,0,NoTerm,4,20.365151,22.074925,22.074925,25.565435,33.000000,33.000000,0.004559,0.103653,0.109864,0.132009,129,884,60.000000,4,6,0,GUROBI,1,0,0,0,0,0,0,1,1,0,1
16,0,NoTerm,4,20.365171,22.169930,22.169930,25.304416,33.000000,33.000000,0.007269,0.136357,0.190715,0.208840,314,1868,60.000000,4,6,0,GUROBI,1,0,0,0,0,0,0,1,1,0,1
17,0,NoTerm,4,20.522178,22.537880,22.537880,25.625913,34.000000,34.000000,0.004218,0.090583,0.182825,0.186928,494,2287,60.000000,4,6,0,GUROBI,1,0,0,0,0,0,0,1,1,0,1
18,0,NoTerm,4,20.552679,22.537880,22.537880,25.334937,33.000000,33.000000,0.006939,0.160826,0.180443,0.196946,175,1218,60.000000,4,6,0,GUROBI,1,0,0,0,0,0,0,1,1,0,1
19,0,NoTerm,4,21.310371,23.537880,23.537880,26.807068,36.000000,36.000000,0.006886,0.144525,0.174416,0.202895,260,1507,60.000000,4,6,0,GUROBI,1,0,0,0,0,0,0,1,1,0,1
2,0,NoTerm,4,20.014606,21.537880,21.537880,26.011789,33.000000,33.000000,0.004983,0.127236,0.155944,0.175333,299,1507,60.000000,4,6,0,GUROBI,1,0,0,0,0,0,0,1,1,0,1
20,0,NoTerm,4,20.595282,22.537880,22.537880,25.552787,34.000000,34.000000,0.006459,0.130303,0.147075,0.164412,191,1035,60.000000,4,6,0,GUROBI,1,0,0,0,0,0,0,1,1,0,1
3,0,NoTerm,4,20.773927,22.413363,22.413363,26.162024,34.000000,34.000000,0.006936,0.122945,0.183630,0.196005,403,1941,60.000000,4,6,0,GUROBI,1,0,0,0,0,0,0,1,1,0,1
4,0,NoTerm,4,20.670372,22.537880,22.537880,25.976984,34.000000,34.000000,0.005716,0.141442,0.173744,0.192013,236,1344,60.000000,4,6,0,GUROBI,1,0,0,0,0,0,0,1,1,0,1
5,0,NoTerm,4,19.570922,21.537880,21.537880,24.608818,33.000000,33.000000,0.002918,0.093857,0.111594,0.143896,248,1325,60.000000,4,6,0,GUROBI,1,0,0,0,0,0,0,1,1,0,1
6,0,NoTerm,4,20.051744,21.451545,21.451545,25.096016,34.000000,34.000000,0.004856,0.106300,0.176757,0.190529,421,2233,60.000000,4,6,0,GUROBI,1,0,0,0,0,0,0,1,1,0,1
7,0,NoTerm,4,21.661906,23.125917,23.125917,26.226293,35.000000,35.000000,0.007430,0.129465,0.234031,0.248099,612,2924,60.000000,4,6,0,GUROBI,1,0,0,0,0,0,0,1,1,0,1
8,0,NoTerm,4,20.570922,22.694117,22.582963,26.611544,35.000000,35.000000,0.006140,0.110453,0.154390,0.179013,422,1927,60.000000,4,6,0,GUROBI,1,0,0,0,0,0,0,1,1,0,1
9,0,NoTerm,4,20.377766,22.279034,22.279034,25.489078,34.000000,34.000000,0.005859,0.107980,0.129694,0.153691,197,1244,60.000000,4,6,0,GUROBI,1,0,0,0,0,0,0,1,1,0,1
