instanceIndex,seedIndex,vpcGenerator,terms,lpBound,disjunctiveDualBound,lpBoundPostVpc,rootDualBound,dualBound,primalBound,vpcGenerationTime,rootDualBoundTime,bestSolutionTime,terminationTime,nodes,iterations,maxTime,actualTerms,numCuts,cutLimit,mipSolver,providePrimalBound,infeasibleTerms,feasibleToInfeasibleTerms,infeasibleToFeasibleTerms,termRemainsFeasibleBasisInfeasible,cutsChangedCoefficients,feasibleTermsPrunedByBound,tighten_disjunction,tighten_matrix_perturbation,tighten_infeasible_to_feasible_term,tighten_feasible_to_infeasible_basis
0,0,None,64,20.570922,20.570922,20.570922,26.469830,34.000000,34.000000,0.000052,0.167912,0.277515,0.278065,538,2754,60.000000,0,0,0,GUROBI,1,0,0,0,0,0,0,0,0,0,0
1,0,None,64,20.247257,20.247257,20.247257,24.624249,34.000000,34.000000,0.000001,0.084436,0.140875,0.143405,330,1640,60.000000,0,0,0,GUROBI,1,0,0,0,0,0,0,0,0,0,0
10,0,None,64,19.773927,19.773927,19.773927,24.340742,33.000000,33.000000,0.000002,0.062960,0.128263,0.140374,461,1901,60.000000,0,0,0,GUROBI,1,0,0,0,0,0,0,0,0,0,0
11,0,None,64,20.773935,20.773935,20.773935,26.214085,34.000000,34.000000,0.000002,0.144978,0.170612,0.186399,245,1404,60.000000,0,0,0,GUROBI,1,0,0,0,0,0,0,0,0,0,0
12,0,None,64,19.696750,19.696750,19.696750,24.850873,33.000000,33.000000,0.000002,0.092840,0.146656,0.151690,363,1642,60.000000,0,0,0,GUROBI,1,0,0,0,0,0,0,0,0,0,0
13,0,None,64,21.172404,21.172404,21.172404,26.476936,35.000000,35.000000,0.000001,0.087338,0.221799,0.223153,642,3004,60.000000,0,0,0,GUROBI,1,0,0,0,0,0,0,0,0,0,0
14,0,None,64,21.209647,21.209647,21.209647,26.259356,35.000000,35.000000,0.000001,0.080915,0.101334,0.121311,225,1192,60.000000,0,0,0,GUROBI,1,0,0,0,0,0,0,0,0,0,0
15,0,None,64,20.365151,20.365151,20.365151,25.078122,33.000000,33.000000,0.000003,0.109121,0.152525,0.155805,245,1321,60.000000,0,0,0,GUROBI,1,0,0,0,0,0,0,0,0,0,0
16,0,None,64,20.365171,20.365171,20.365171,25.415251,33.000000,33.000000,0.000001,0.108222,0.161504,0.172684,330,1666,60.000000,0,0,0,GUROBI,1,0,0,0,0,0,0,0,0,0,0
17,0,None,64,20.522178,20.522178,20.522178,26.038596,34.000000,34.000000,0.000001,0.111388,0.181026,0.200849,513,2263,60.000000,0,0,0,GUROBI,1,0,0,0,0,0,0,0,0,0,0
18,0,None,64,20.552679,20.552679,20.552679,25.332808,33.000000,33.000000,0.000002,0.132558,0.159233,0.178576,223,1356,60.000000,0,0,0,GUROBI,1,0,0,0,0,0,0,0,0,0,0
19,0,None,64,21.310371,21.310371,21.310371,26.754404,36.000000,36.000000,0.000001,0.115378,0.155584,0.178501,313,1704,60.000000,0,0,0,GUROBI,1,0,0,0,0,0,0,0,0,0,0
2,0,None,64,20.014606,20.014606,20.014606,25.177959,33.000000,33.000000,0.000002,0.139081,0.199105,0.211110,364,2014,60.000000,0,0,0,GUROBI,1,0,0,0,0,0,0,0,0,0,0
20,0,None,64,20.595282,20.595282,20.595282,25.862527,34.000000,34.000000,0.000002,0.121928,0.151224,0.171363,278,1472,60.000000,0,0,0,GUROBI,1,0,0,0,0,0,0,0,0,0,0
3,0,None,64,20.773927,20.773927,20.773927,25.895953,34.000000,34.000000,0.000002,0.119512,0.141351,0.159365,191,1181,60.000000,0,0,0,GUROBI,1,0,0,0,0,0,0,0,0,0,0
4,0,None,64,20.670372,20.670372,20.670372,25.725242,34.000000,34.000000,0.000002,0.107028,0.135669,0.154233,243,1299,60.000000,0,0,0,GUROBI,1,0,0,0,0,0,0,0,0,0,0
5,0,None,64,19.570922,19.570922,19.570922,25.632940,33.000000,33.000000,0.000001,0.130916,0.143120,0.164789,169,1101,60.000000,0,0,0,GUROBI,1,0,0,0,0,0,0,0,0,0,0
6,0,None,64,20.051744,20.051744,20.051744,25.348058,34.000000,34.000000,0.000002,0.117191,0.192979,0.205124,423,2267,60.000000,0,0,0,GUROBI,1,0,0,0,0,0,0,0,0,0,0
7,0,None,64,21.661906,21.661906,21.661906,27.478216,35.000000,35.000000,0.000001,0.153981,0.243121,0.254804,479,2564,60.000000,0,0,0,GUROBI,1,0,0,0,0,0,0,0,0,0,0
8,0,None,64,20.570922,20.570922,20.570922,26.263447,35.000000,35.000000,0.000002,0.099147,0.152605,0.198596,536,2590,60.000000,0,0,0,GUROBI,1,0,0,0,0,0,0,0,0,0,0
9,0,None,64,20.377766,20.377766,20.377766,25.439198,34.000000,34.000000,0.000002,0.122925,0.156243,0.169480,241,1424,60.000000,0,0,0,GUROBI,1,0,0,0,0,0,0,0,0,0,0
