instanceIndex,seedIndex,vpcGenerator,terms,lpBound,disjunctiveDualBound,lpBoundPostVpc,rootDualBound,dualBound,primalBound,vpcGenerationTime,rootDualBoundTime,bestSolutionTime,terminationTime,nodes,iterations,maxTime,actualTerms,numCuts,cutLimit,mipSolver,providePrimalBound,infeasibleTerms,feasibleToInfeasibleTerms,infeasibleToFeasibleTerms
0,2,New,16,20.570922,25.881188,25.708479,26.705907,34.000000,34.000000,0.109969,0.198640,0.218389,0.249432,254,1346,3600.000000,16,6,6,GUROBI,1,0,0,0
1,2,Old,16,21.201484,26.613861,26.107318,27.388535,34.000000,34.000000,0.049877,0.163431,0.172953,0.195548,146,999,3600.000000,16,6,0,GUROBI,1,0,0,0
2,2,Old,16,20.570922,25.881188,25.708479,27.032841,34.000000,34.000000,0.052140,0.149210,0.213175,0.214096,303,1727,3600.000000,16,6,0,GUROBI,1,0,0,0
3,2,Old,16,20.661706,26.019802,25.814502,26.737555,34.000000,34.000000,0.050307,0.145745,0.227656,0.233722,481,2275,3600.000000,16,6,0,GUROBI,1,0,0,0
4,2,Old,16,20.661706,26.019802,25.825684,26.918889,34.000000,34.000000,0.052176,0.127188,0.174874,0.176891,231,1302,3600.000000,16,6,0,GUROBI,1,0,0,0
5,2,Old,16,20.570922,25.881188,25.708479,27.032841,34.000000,34.000000,0.051989,0.156193,0.219265,0.220183,303,1727,3600.000000,16,6,0,GUROBI,1,0,0,0
6,2,Old,16,21.143215,27.207921,26.616564,27.531287,34.000000,34.000000,0.059292,0.144735,0.182168,0.200041,268,1457,3600.000000,16,6,0,GUROBI,1,0,0,0
7,2,Old,16,20.786773,25.881188,25.806397,26.914307,34.000000,34.000000,0.051662,0.152845,0.199784,0.205742,338,1449,3600.000000,16,6,0,GUROBI,1,0,0,0
8,2,Old,16,21.478005,27.336403,27.265113,27.760685,34.000000,34.000000,0.049810,0.128503,0.185608,0.190373,300,1486,3600.000000,16,5,0,GUROBI,1,0,0,0
9,2,Old,16,21.143215,27.207921,26.673674,28.020446,34.000000,34.000000,0.051580,0.142798,0.198120,0.203583,288,1533,3600.000000,16,6,0,GUROBI,1,0,0,0
10,2,Old,16,20.867510,25.881188,25.881188,27.139403,34.000000,34.000000,0.054394,0.140814,0.170573,0.225018,421,2193,3600.000000,16,7,0,GUROBI,1,0,0,0
11,2,Old,16,20.570922,25.881188,25.708479,27.032841,34.000000,34.000000,0.063976,0.160059,0.223000,0.223911,303,1727,3600.000000,16,6,0,GUROBI,1,0,0,0
12,2,Old,16,20.570922,25.881188,25.689716,26.871826,34.000000,34.000000,0.055431,0.167974,0.203713,0.224228,263,1457,3600.000000,16,6,0,GUROBI,1,0,0,0
13,2,Old,16,21.201484,26.613861,26.477792,27.697174,34.000000,34.000000,0.054662,0.148966,0.194730,0.209504,334,1604,3600.000000,16,6,0,GUROBI,1,0,0,0
14,2,Old,16,20.570922,25.881188,25.708479,27.032841,34.000000,34.000000,0.053931,0.160930,0.223858,0.224756,303,1727,3600.000000,16,6,0,GUROBI,1,0,0,0
15,2,Old,16,21.201484,26.613861,26.240402,27.415584,34.000000,34.000000,0.049714,0.150942,0.184775,0.199505,212,1274,3600.000000,16,6,0,GUROBI,1,0,0,0
16,2,Old,16,20.661706,26.019802,25.877922,26.893136,34.000000,34.000000,0.053820,0.151509,0.178248,0.195015,193,1190,3600.000000,16,6,0,GUROBI,1,0,0,0
17,2,Old,16,20.570922,25.881188,25.708479,27.032841,34.000000,34.000000,0.065033,0.175030,0.237931,0.238825,303,1727,3600.000000,16,6,0,GUROBI,1,0,0,0
18,2,Old,16,20.570922,25.881188,25.689716,26.871826,34.000000,34.000000,0.054173,0.166600,0.262321,0.267997,475,2392,3600.000000,16,6,0,GUROBI,1,0,0,0
19,2,Old,16,21.073498,26.801980,26.421791,27.371344,34.000000,34.000000,0.051027,0.132005,0.178452,0.192714,297,1577,3600.000000,16,6,0,GUROBI,1,0,0,0
20,2,Old,16,21.478005,27.336403,27.265113,27.760685,34.000000,34.000000,0.048053,0.131594,0.188608,0.193399,300,1485,3600.000000,16,5,0,GUROBI,1,0,0,0
21,2,Old,16,20.570922,25.881188,25.689716,26.871826,34.000000,34.000000,0.053025,0.165897,0.261628,0.267326,475,2392,3600.000000,16,6,0,GUROBI,1,0,0,0
22,2,Old,16,21.201484,26.613861,26.240402,27.415584,34.000000,34.000000,0.050156,0.149352,0.183160,0.197859,212,1274,3600.000000,16,6,0,GUROBI,1,0,0,0
23,2,Old,16,20.570922,25.881188,25.721297,26.925416,34.000000,34.000000,0.050547,0.157669,0.183281,0.200997,203,1267,3600.000000,16,6,0,GUROBI,1,0,0,0
24,2,Old,16,21.201484,26.613861,26.240402,27.415584,34.000000,34.000000,0.049958,0.151004,0.181818,0.196706,195,1213,3600.000000,16,6,0,GUROBI,1,0,0,0
25,2,Old,16,20.570922,25.881188,25.721297,26.925416,34.000000,34.000000,0.050292,0.155469,0.181103,0.198773,203,1267,3600.000000,16,6,0,GUROBI,1,0,0,0
26,2,Old,16,20.661706,26.019802,25.825684,26.918889,34.000000,34.000000,0.052965,0.128152,0.175120,0.177091,231,1302,3600.000000,16,6,0,GUROBI,1,0,0,0
27,2,Old,16,20.570922,25.881188,25.708479,27.032841,34.000000,34.000000,0.047737,0.147297,0.204330,0.207620,341,1744,3600.000000,16,6,0,GUROBI,1,0,0,0
28,2,Old,16,20.570922,25.881188,25.710327,26.923290,34.000000,34.000000,0.051308,0.135182,0.177007,0.191294,283,1471,3600.000000,16,6,0,GUROBI,1,0,0,0
29,2,Old,16,21.201484,26.613861,26.240402,27.415584,34.000000,34.000000,0.051213,0.160187,0.205151,0.214938,250,1489,3600.000000,16,6,0,GUROBI,1,0,0,0
30,2,Old,16,21.621435,26.752475,26.427184,27.755610,34.000000,34.000000,0.055392,0.163102,0.213682,0.242423,381,1832,3600.000000,16,6,0,GUROBI,1,0,0,0
31,2,Old,16,20.570922,25.881188,25.708479,27.032841,34.000000,34.000000,0.055952,0.160440,0.223256,0.224160,303,1727,3600.000000,16,6,0,GUROBI,1,0,0,0
32,2,Old,16,20.570922,25.881188,25.708479,27.032841,34.000000,34.000000,0.053081,0.152393,0.219011,0.222331,341,1744,3600.000000,16,6,0,GUROBI,1,0,0,0
33,2,Old,16,20.867510,25.881188,25.879648,27.200401,34.000000,34.000000,0.050781,0.155033,0.190042,0.205486,211,1327,3600.000000,16,7,0,GUROBI,1,0,0,0
34,2,Old,16,20.570922,25.881188,25.708479,27.032841,34.000000,34.000000,0.052102,0.160870,0.179198,0.199666,190,1188,3600.000000,16,6,0,GUROBI,1,0,0,0
35,2,Old,16,20.570922,25.881188,25.708479,27.032841,34.000000,34.000000,0.054892,0.158566,0.176889,0.197411,190,1188,3600.000000,16,6,0,GUROBI,1,0,0,0
36,2,Old,16,20.570922,25.881188,25.708479,26.858686,34.000000,34.000000,0.054112,0.157879,0.247439,0.271774,546,2439,3600.000000,16,6,0,GUROBI,1,0,0,0
37,2,Old,16,20.786773,25.881188,25.806397,26.914307,34.000000,34.000000,0.052869,0.153993,0.200682,0.206628,338,1449,3600.000000,16,6,0,GUROBI,1,0,0,0
38,2,Old,16,21.201484,26.613861,26.240402,27.415584,34.000000,34.000000,0.053701,0.152305,0.185977,0.200708,212,1274,3600.000000,16,6,0,GUROBI,1,0,0,0
39,2,Old,16,20.570922,25.881188,25.708479,27.032841,34.000000,34.000000,0.051740,0.152794,0.215733,0.216665,303,1727,3600.000000,16,6,0,GUROBI,1,0,0,0
40,2,Old,16,21.073498,26.801980,26.421791,27.371344,34.000000,34.000000,0.052072,0.135228,0.181961,0.196789,297,1575,3600.000000,16,6,0,GUROBI,1,0,0,0
41,2,Old,16,20.786773,25.881188,25.806397,26.914307,34.000000,34.000000,0.052921,0.145696,0.192710,0.197648,343,1437,3600.000000,16,6,0,GUROBI,1,0,0,0
42,2,Old,16,20.570922,25.881188,25.708479,27.032841,34.000000,34.000000,0.060553,0.155746,0.218700,0.219592,303,1727,3600.000000,16,6,0,GUROBI,1,0,0,0
43,2,Old,16,20.786773,25.881188,25.786357,27.049001,34.000000,34.000000,0.052495,0.148389,0.176577,0.188037,203,1123,3600.000000,16,6,0,GUROBI,1,0,0,0
44,2,Old,16,20.786773,25.881188,25.729607,27.209450,34.000000,34.000000,0.050541,0.159041,0.173271,0.192028,137,998,3600.000000,16,6,0,GUROBI,1,0,0,0
45,2,Old,16,20.570922,25.881188,25.710327,26.923290,34.000000,34.000000,0.050417,0.134161,0.175967,0.190217,283,1471,3600.000000,16,6,0,GUROBI,1,0,0,0
46,2,Old,16,21.047707,26.910891,26.586356,27.337953,34.000000,34.000000,0.055770,0.141925,0.187507,0.198448,264,1495,3600.000000,16,6,0,GUROBI,1,0,0,0
47,2,Old,16,20.661706,26.019802,25.921785,27.009334,34.000000,34.000000,0.051432,0.164281,0.227464,0.231306,328,1815,3600.000000,16,6,0,GUROBI,1,0,0,0
48,2,Old,16,20.786773,25.881188,25.786357,27.049001,34.000000,34.000000,0.053316,0.154125,0.182519,0.194024,203,1123,3600.000000,16,6,0,GUROBI,1,0,0,0
49,2,Old,16,20.570922,25.881188,25.675206,26.810381,34.000000,34.000000,0.061029,0.179336,0.224384,0.244875,278,1700,3600.000000,16,6,0,GUROBI,1,0,0,0
50,2,Old,16,20.570922,25.881188,25.708479,27.032841,34.000000,34.000000,0.053094,0.159666,0.222383,0.223285,303,1727,3600.000000,16,6,0,GUROBI,1,0,0,0
51,2,Old,16,20.877963,26.910891,26.779464,27.416469,34.000000,34.000000,0.053844,0.138715,0.187094,0.187282,268,1276,3600.000000,16,6,0,GUROBI,1,0,0,0
52,2,Old,16,20.570922,25.881188,25.675206,26.810381,34.000000,34.000000,0.052439,0.164417,0.209366,0.229812,278,1700,3600.000000,16,6,0,GUROBI,1,0,0,0
53,2,Old,16,20.570922,25.881188,25.721297,26.925416,34.000000,34.000000,0.050137,0.152408,0.178040,0.195708,203,1267,3600.000000,16,6,0,GUROBI,1,0,0,0
54,2,Old,16,21.201484,26.613861,26.240402,27.415584,34.000000,34.000000,0.047749,0.157202,0.187850,0.202732,195,1213,3600.000000,16,6,0,GUROBI,1,0,0,0
55,2,Old,16,20.570922,25.881188,25.708479,27.032841,34.000000,34.000000,0.065207,0.163962,0.227036,0.227949,303,1727,3600.000000,16,6,0,GUROBI,1,0,0,0
56,2,Old,16,20.570922,25.881188,25.708479,27.032841,34.000000,34.000000,0.052708,0.151009,0.213925,0.214830,303,1727,3600.000000,16,6,0,GUROBI,1,0,0,0
57,2,Old,16,20.570922,25.881188,25.708479,27.032841,34.000000,34.000000,0.052469,0.148962,0.213030,0.213926,303,1727,3600.000000,16,6,0,GUROBI,1,0,0,0
58,2,Old,16,20.570922,25.881188,25.755076,27.021564,34.000000,34.000000,0.052628,0.168661,0.220806,0.226969,324,1565,3600.000000,16,6,0,GUROBI,1,0,0,0
59,2,Old,16,21.156312,26.940594,26.690089,27.525120,34.000000,34.000000,0.056274,0.148786,0.174651,0.197888,213,1329,3600.000000,16,7,0,GUROBI,1,0,0,0
60,2,Old,16,21.143215,27.207921,26.704341,27.643926,34.000000,34.000000,0.052158,0.156863,0.197016,0.201141,180,1246,3600.000000,16,6,0,GUROBI,1,0,0,0
