instanceIndex,seedIndex,vpcGenerator,terms,lpBound,disjunctiveDualBound,lpBoundPostVpc,rootDualBound,dualBound,primalBound,vpcGenerationTime,rootDualBoundTime,bestSolutionTime,terminationTime,nodes,iterations,maxTime,actualTerms,numCuts,cutLimit,mipSolver,providePrimalBound,infeasibleTerms,feasibleToInfeasibleTerms,infeasibleToFeasibleTerms
0,1,New,4,20.570922,22.537880,22.537880,26.557393,34.000000,34.000000,0.036261,0.179768,0.201640,0.219689,177,1171,3600.000000,4,6,6,GUROBI,1,0,0,0
1,1,New,4,21.201484,23.428749,23.428749,27.174703,34.000000,34.000000,0.037860,0.215881,0.248735,0.264961,298,1552,3600.000000,4,6,6,GUROBI,1,0,0,0
2,1,New,4,20.570922,22.537880,22.537880,26.557393,34.000000,34.000000,0.043821,0.193665,0.215484,0.233500,177,1171,3600.000000,4,6,6,GUROBI,1,0,0,0
3,1,New,4,20.661706,22.537880,22.537880,25.111863,34.000000,34.000000,0.037646,0.124757,0.151444,0.165899,225,1159,3600.000000,4,6,6,GUROBI,1,0,0,0
4,1,New,4,20.661706,22.537880,22.537880,25.111863,34.000000,34.000000,0.035981,0.113039,0.180359,0.198220,440,2032,3600.000000,4,6,6,GUROBI,1,0,0,0
5,1,New,4,20.570922,22.537880,22.537880,26.557393,34.000000,34.000000,0.036258,0.179054,0.200953,0.219006,177,1171,3600.000000,4,6,6,GUROBI,1,0,0,0
6,1,New,4,21.143215,22.057847,22.057847,26.684840,34.000000,34.000000,0.044103,0.196236,0.259855,0.267726,371,1971,3600.000000,4,6,6,GUROBI,1,0,0,0
7,1,New,4,20.786773,22.537880,22.537880,25.859858,34.000000,34.000000,0.036572,0.122254,0.220900,0.222217,509,2312,3600.000000,4,6,6,GUROBI,1,0,0,0
8,1,New,4,21.478005,23.791009,23.791009,26.559601,34.000000,34.000000,0.033984,0.168725,0.245414,0.263801,464,2356,3600.000000,4,5,5,GUROBI,1,0,0,0
9,1,New,4,21.143215,22.057847,22.057847,26.382897,34.000000,34.000000,0.036696,0.166439,0.195263,0.205197,199,1106,3600.000000,4,6,6,GUROBI,1,0,0,0
10,1,New,4,20.867510,22.677383,22.677383,26.656438,34.000000,34.000000,0.040167,0.164143,0.190873,0.203024,186,1135,3600.000000,4,7,7,GUROBI,1,0,0,0
11,1,New,4,20.570922,22.537880,22.537880,26.557393,34.000000,34.000000,0.036627,0.190400,0.212292,0.230346,177,1171,3600.000000,4,6,6,GUROBI,1,0,0,0
12,1,New,4,20.570922,22.537880,22.537880,26.444683,34.000000,34.000000,0.030781,0.164502,0.239074,0.240160,414,1997,3600.000000,4,6,6,GUROBI,1,0,0,0
13,1,New,4,21.201484,23.428749,23.428749,26.444701,34.000000,34.000000,0.038392,0.123253,0.187888,0.207412,453,2052,3600.000000,4,6,6,GUROBI,1,0,0,0
14,1,New,4,20.570922,22.537880,22.537880,26.557393,34.000000,34.000000,0.037716,0.178857,0.200571,0.218624,177,1171,3600.000000,4,6,6,GUROBI,1,0,0,0
15,1,New,4,21.201484,23.428749,23.428749,26.638024,34.000000,34.000000,0.035058,0.170117,0.296866,0.299269,663,3085,3600.000000,4,6,6,GUROBI,1,0,0,0
16,1,New,4,20.661706,22.537880,22.537880,26.009706,34.000000,34.000000,0.035001,0.157536,0.230670,0.230736,343,1943,3600.000000,4,6,6,GUROBI,1,0,0,0
17,1,New,4,20.570922,22.537880,22.537880,26.557393,34.000000,34.000000,0.036827,0.188960,0.210828,0.228852,177,1171,3600.000000,4,6,6,GUROBI,1,0,0,0
18,1,New,4,20.570922,22.537880,22.537880,26.444683,34.000000,34.000000,0.048526,0.176634,0.240122,0.241262,343,1772,3600.000000,4,6,6,GUROBI,1,0,0,0
19,1,New,4,21.073498,21.793106,21.793106,26.372837,34.000000,34.000000,0.034448,0.185301,0.311525,0.312253,640,3154,3600.000000,4,6,6,GUROBI,1,0,0,0
20,1,New,4,21.478005,23.791009,23.791009,26.559601,34.000000,34.000000,0.034107,0.160883,0.250906,0.268238,471,2405,3600.000000,4,5,5,GUROBI,1,0,0,0
21,1,New,4,20.570922,22.537880,22.537880,26.444683,34.000000,34.000000,0.033973,0.175630,0.239138,0.240294,343,1772,3600.000000,4,6,6,GUROBI,1,0,0,0
22,1,New,4,21.201484,23.428749,23.428749,26.638024,34.000000,34.000000,0.038029,0.184730,0.311821,0.314249,662,3113,3600.000000,4,6,6,GUROBI,1,0,0,0
23,1,New,4,20.570922,22.538113,22.538113,25.443030,34.000000,34.000000,0.037868,0.122433,0.141915,0.170847,234,1317,3600.000000,4,6,6,GUROBI,1,0,0,0
24,1,New,4,21.201484,23.428749,23.428749,26.638024,34.000000,34.000000,0.039813,0.175082,0.230469,0.243225,301,1716,3600.000000,4,6,6,GUROBI,1,0,0,0
25,1,New,4,20.570922,22.538113,22.538113,25.443030,34.000000,34.000000,0.035370,0.120007,0.139340,0.168108,234,1317,3600.000000,4,6,6,GUROBI,1,0,0,0
26,1,New,4,20.661706,22.537880,22.537880,25.111863,34.000000,34.000000,0.031110,0.110454,0.177012,0.194959,440,2032,3600.000000,4,6,6,GUROBI,1,0,0,0
27,1,New,4,20.570922,22.537880,22.537880,26.557393,34.000000,34.000000,0.037539,0.183114,0.204899,0.222365,173,1170,3600.000000,4,6,6,GUROBI,1,0,0,0
28,1,New,4,20.570922,22.537880,22.537880,25.892597,34.000000,34.000000,0.035789,0.154782,0.160640,0.201223,223,1321,3600.000000,4,6,6,GUROBI,1,0,0,0
29,1,New,4,21.201484,23.428749,23.428749,26.638024,34.000000,34.000000,0.038113,0.175901,0.219393,0.230105,327,1707,3600.000000,4,6,6,GUROBI,1,0,0,0
30,1,New,4,21.621435,23.428749,23.428749,26.561824,34.000000,34.000000,0.037148,0.176875,0.206035,0.224439,214,1412,3600.000000,4,6,6,GUROBI,1,0,0,0
31,1,New,4,20.570922,22.537880,22.537880,26.557393,34.000000,34.000000,0.035815,0.186050,0.207832,0.225806,177,1171,3600.000000,4,6,6,GUROBI,1,0,0,0
32,1,New,4,20.570922,22.537880,22.537880,26.557393,34.000000,34.000000,0.039039,0.179928,0.201626,0.218953,173,1170,3600.000000,4,6,6,GUROBI,1,0,0,0
33,1,New,4,20.867510,22.677383,22.677383,27.121996,34.000000,34.000000,0.040385,0.244250,0.304883,0.347530,437,2659,3600.000000,4,7,7,GUROBI,1,0,0,0
34,1,New,4,20.570922,22.537880,22.537880,26.557393,34.000000,34.000000,0.034539,0.176171,0.197911,0.215423,175,1153,3600.000000,4,6,6,GUROBI,1,0,0,0
35,1,New,4,20.570922,22.537880,22.537880,26.557393,34.000000,34.000000,0.034592,0.176678,0.198550,0.216108,175,1153,3600.000000,4,6,6,GUROBI,1,0,0,0
36,1,New,4,20.570922,22.537880,22.537880,26.557393,34.000000,34.000000,0.030401,0.167992,0.212797,0.215623,210,1354,3600.000000,4,6,6,GUROBI,1,0,0,0
37,1,New,4,20.786773,22.537880,22.537880,25.859858,34.000000,34.000000,0.041532,0.125752,0.224461,0.225732,509,2312,3600.000000,4,6,6,GUROBI,1,0,0,0
38,1,New,4,21.201484,23.428749,23.428749,26.638024,34.000000,34.000000,0.036554,0.180141,0.307650,0.310087,662,3113,3600.000000,4,6,6,GUROBI,1,0,0,0
39,1,New,4,20.570922,22.537880,22.537880,26.557393,34.000000,34.000000,0.037855,0.189715,0.211521,0.229501,177,1171,3600.000000,4,6,6,GUROBI,1,0,0,0
40,1,New,4,21.073498,21.793106,21.793106,26.372837,34.000000,34.000000,0.038619,0.190781,0.316927,0.317629,640,3155,3600.000000,4,6,6,GUROBI,1,0,0,0
41,1,New,4,20.786773,22.537880,22.537880,25.859858,34.000000,34.000000,0.033030,0.120053,0.212370,0.213882,471,2252,3600.000000,4,6,6,GUROBI,1,0,0,0
42,1,New,4,20.570922,22.537880,22.537880,26.557393,34.000000,34.000000,0.036143,0.188398,0.210412,0.228547,177,1171,3600.000000,4,6,6,GUROBI,1,0,0,0
43,1,New,4,20.786773,22.537880,22.537880,26.182964,34.000000,34.000000,0.038291,0.156914,0.233259,0.240582,396,2104,3600.000000,4,6,6,GUROBI,1,0,0,0
44,1,New,4,20.786773,22.537880,22.537880,25.859858,34.000000,34.000000,0.039545,0.127003,0.223239,0.229584,549,2413,3600.000000,4,6,6,GUROBI,1,0,0,0
