lpBound,disjunctiveDualBound,lpBoundPostVpc,rootDualBound,dualBound,heuristicPrimalBound,primalBound,vpcGenerationTime,heuristicTime,rootDualBoundTime,firstSolutionTime,bestSolutionTime,terminationTime,maxTime,vpcGenerator,terms,iterations,nodes
20.570922,22.537880,22.537880,25.012028,34.000000,34.000000,34.000000,0.624911,0.959962,1.321059,0.959873,1.331126,1.908058,300.000000,New,4,1960,140
20.376648,21.030241,21.030241,25.922545,31.000000,31.000000,31.000000,0.165783,0.253840,0.642659,0.253843,0.649673,0.836424,300.000000,New,4,1067,38
19.679410,21.390144,21.390144,24.322934,33.000000,34.000000,33.000000,0.158511,0.505024,0.884005,0.505038,0.893728,1.769322,300.000000,New,4,2646,246
21.458054,22.472274,22.472274,25.882314,34.000000,34.000000,34.000000,0.182506,0.380164,0.742825,0.380178,0.749384,1.401365,300.000000,New,4,2071,156
20.873985,23.287785,23.287785,25.996386,30.000000,30.000000,30.000000,0.178405,0.394418,0.795570,0.394432,0.802521,0.941005,300.000000,New,4,1000,28
22.005354,22.907681,22.907681,26.604686,30.000000,30.000000,30.000000,0.191557,0.322779,0.655995,0.322793,0.662705,0.758952,300.000000,New,4,748,18
20.797545,22.900434,22.900434,25.668503,34.000000,34.000000,34.000000,0.159509,0.362215,0.721248,0.362230,0.727481,1.315116,300.000000,New,4,2024,120
20.015650,21.862355,21.862355,24.716580,33.000000,33.000000,33.000000,0.166130,0.473182,0.853340,0.473194,0.858864,1.422335,300.000000,New,4,2157,142
20.035259,22.036741,22.032687,24.666658,30.000000,30.000000,30.000000,0.156467,0.390672,0.813444,0.390683,0.819698,1.129621,300.000000,New,4,1396,40
20.375376,22.537880,22.537880,24.933363,31.000000,31.000000,31.000000,0.160464,0.251798,0.682780,0.251810,0.690227,0.993983,300.000000,New,4,1333,58
22.437676,24.761316,24.761316,26.914048,34.000000,34.000000,34.000000,0.174979,0.342366,0.819425,0.342381,0.826540,1.303332,300.000000,New,4,1823,94
