instanceIndex,vpcGenerator,terms,lpBound,disjunctiveDualBound,lpBoundPostVpc,rootDualBound,dualBound,primalBound,vpcGenerationTime,rootDualBoundTime,bestSolutionTime,terminationTime,nodes,iterations,maxTime,actualTerms,numCuts,mipSolver,providePrimalBound
0,None,16,338864.250000,338864.250000,338864.250000,340160.000000,340160.000000,340160.000000,0.672116,42.152116,42.272116,42.292116,0,2,300.000000,0,0,CBC,1
1,None,16,338860.750000,338860.750000,338860.750000,340158.000000,340158.000000,340158.000000,0.569561,42.445561,42.553561,42.577561,0,13,300.000000,0,0,CBC,1
2,None,16,338855.500000,338855.500000,338855.500000,340150.000000,340150.000000,340150.000000,0.624396,42.528396,42.640396,42.660396,0,10,300.000000,0,0,CBC,1
3,None,16,338849.000000,338849.000000,338849.000000,340141.000000,340141.000000,340141.000000,0.576586,42.476586,42.588586,42.608586,0,26,300.000000,0,0,CBC,1
4,None,16,338855.750000,338855.750000,338855.750000,340149.000000,340149.000000,340149.000000,0.547928,42.447928,42.559928,42.579928,0,8,300.000000,0,0,CBC,1
5,None,16,338866.500000,338866.500000,338866.500000,340162.000000,340162.000000,340162.000000,0.518056,42.442056,42.550056,42.574056,0,13,300.000000,0,0,CBC,1
6,None,16,338847.250000,338847.250000,338847.250000,340141.000000,340141.000000,340141.000000,0.559041,42.543041,42.655041,42.675041,0,5,300.000000,0,0,CBC,1
7,None,16,338873.500000,338873.500000,338873.500000,340166.000000,340166.000000,340166.000000,0.669928,42.497928,42.609928,42.629928,0,16,300.000000,0,0,CBC,1
8,None,16,338885.375000,338885.375000,338885.375000,340183.000000,340183.000000,340183.000000,0.570725,42.462725,42.574725,42.594725,0,5,300.000000,0,0,CBC,1
9,None,16,338872.250000,338872.250000,338872.250000,340180.000000,340180.000000,340180.000000,0.546131,42.618131,42.730131,42.754131,0,1,300.000000,0,0,CBC,1
10,None,16,338864.625000,338864.625000,338864.625000,340170.000000,340170.000000,340170.000000,0.722653,42.610653,42.718653,42.738653,0,4,300.000000,0,0,CBC,1
