instanceIndex,vpcGenerator,terms,lpBound,disjunctiveDualBound,lpBoundPostVpc,rootDualBound,dualBound,primalBound,vpcGenerationTime,rootDualBoundTime,bestSolutionTime,terminationTime,nodes,iterations,maxTime,actualTerms,numCuts,cutLimit,mipSolver,providePrimalBound,infeasibleTerms,feasibleToInfeasibleTerms,infeasibleToFeasibleTerms
0,New,4,55535.436388,55612.408889,55598.777952,55679.726318,56133.000000,56137.000000,5448.607972,5454.747645,5476.491766,5479.853443,341,44929,3600.000000,4,290,290,GUROBI,1,0,0,0
1,New,4,55538.720844,55615.032694,55583.908148,55715.649739,56137.000000,56137.000000,5386.692341,5392.779102,5402.797632,5404.440295,186,27019,3600.000000,4,254,290,GUROBI,1,0,0,0
2,New,4,55524.112154,55600.533077,55564.556803,55715.585032,56126.000000,56126.000000,4949.782046,4955.339136,4969.335667,4972.111188,189,28595,3600.000000,4,246,285,GUROBI,1,0,0,0
3,New,4,55529.033684,55606.966741,55561.920992,55704.446532,56119.000000,56119.000000,5263.518749,5269.354104,5272.950265,5277.562433,125,18362,3600.000000,4,248,287,GUROBI,1,0,0,0
4,New,4,55532.401723,55611.893616,55577.697877,55717.474233,56136.000000,56136.000000,5490.474811,5496.486459,5502.739743,5509.247626,218,29064,3600.000000,4,288,288,GUROBI,1,0,0,0
5,New,4,55534.184372,55614.327820,55587.125293,55711.825333,56135.000000,56135.000000,5083.961513,5089.440969,5097.635077,5097.910457,133,20600,3600.000000,4,218,290,GUROBI,1,0,0,0
6,New,4,55534.693213,55593.099900,55562.424605,55728.618531,56133.000000,56133.000000,4823.003740,4828.646172,4842.981534,4842.982593,212,28224,3600.000000,4,289,289,GUROBI,1,0,0,0
7,New,4,55548.597297,55655.753731,55596.457826,55726.365188,56146.000000,56151.000000,5123.050643,5128.521379,5154.777870,5154.880763,480,56169,3600.000000,4,230,291,GUROBI,1,0,0,0
8,New,4,55538.895964,55593.045718,55577.496313,55718.259148,56141.000000,56141.000000,4984.060476,4989.912965,5003.534210,5007.516923,253,36241,3600.000000,4,291,291,GUROBI,1,0,0,0
9,New,4,55537.308590,55607.735300,55593.755099,55728.491246,56142.000000,56142.000000,5090.137070,5095.870517,5110.326200,5110.327266,274,32179,3600.000000,4,263,290,GUROBI,1,0,0,0
10,New,4,55530.792860,55579.359600,55564.736126,55708.556843,56128.000000,56128.000000,3866.870189,3872.119409,3883.376115,3886.555020,246,29961,3600.000000,4,290,290,GUROBI,1,0,0,0
