instanceIndex,vpcGenerator,terms,lpBound,disjunctiveDualBound,lpBoundPostVpc,rootDualBound,dualBound,primalBound,vpcGenerationTime,rootDualBoundTime,bestSolutionTime,terminationTime,nodes,iterations,maxTime,actualTerms,numCuts,cutLimit,mipSolver,providePrimalBound
0,None,64,55535.436388,55535.436388,55535.436388,55690.657237,56136.000000,56137.000000,0.000004,4.068156,13.903700,16.784862,168,25911,3600.000000,0,0,0,GUROBI,1
1,None,64,55495.064295,55495.064295,55495.064295,55667.432662,56080.000000,56080.000000,0.000003,4.202366,22.469722,22.956680,354,37975,3600.000000,0,0,0,GUROBI,1
2,None,64,55533.048294,55533.048294,55533.048294,55736.477196,56144.000000,56144.000000,0.000003,3.977581,29.219514,31.775174,374,49374,3600.000000,0,0,0,GUROBI,1
3,None,64,55577.243991,55577.243991,55577.243991,55783.151237,56204.000000,56204.000000,0.000003,3.895647,22.289522,22.290586,372,39513,3600.000000,0,0,0,GUROBI,1
4,None,64,55527.836977,55527.836977,55527.836977,55713.285858,56119.000000,56122.000000,0.000003,4.427179,37.442939,40.332937,524,67817,3600.000000,0,0,0,GUROBI,1
5,None,64,55513.559961,55513.559961,55513.559961,55658.140194,56095.000000,56095.000000,0.000003,4.757425,12.602244,16.225365,147,21116,3600.000000,0,0,0,GUROBI,1
6,None,64,55513.853183,55513.853183,55513.853183,55682.975256,56100.000000,56100.000000,0.000004,4.511648,25.612497,26.316334,318,40231,3600.000000,0,0,0,GUROBI,1
7,None,64,55513.584135,55513.584135,55513.584135,55671.825977,56113.000000,56113.000000,0.000003,4.416885,29.316680,33.715440,334,41602,3600.000000,0,0,0,GUROBI,1
8,None,64,55560.405347,55560.405347,55560.405347,55753.674850,56163.000000,56168.000000,0.000003,4.538210,36.288372,36.982408,326,50073,3600.000000,0,0,0,GUROBI,1
9,None,64,55530.366354,55530.366354,55530.366354,55724.240650,56132.000000,56136.000000,0.000003,4.481818,22.492282,22.493392,225,31694,3600.000000,0,0,0,GUROBI,1
10,None,64,55544.908255,55544.908255,55544.908255,55768.533123,56138.000000,56142.000000,0.000003,4.147790,9.832262,12.579607,108,17515,3600.000000,0,0,0,GUROBI,1
