instanceIndex,vpcGenerator,terms,lpBound,disjunctiveDualBound,lpBoundPostVpc,rootDualBound,dualBound,primalBound,vpcGenerationTime,rootDualBoundTime,bestSolutionTime,terminationTime,nodes,iterations,maxTime,actualTerms,numCuts,cutLimit,mipSolver,providePrimalBound
0,New,4,25877.609268,25960.674911,25928.812644,25974.047759,26373.000000,26374.000000,3710.732285,3713.122531,3722.891547,3735.622814,1243,73832,3600.000000,4,224,224,GUROBI,1
1,Farkas,4,25877.609268,25960.674911,25928.812644,25974.047759,26372.000000,26374.000000,0.951208,3.405647,25.241141,25.241994,1125,72482,3600.000000,4,224,0,GUROBI,1
2,Farkas,4,25877.609268,25960.674911,25928.812644,25974.047759,26374.000000,26374.000000,0.952210,3.310545,36.571922,37.559061,890,72271,3600.000000,4,224,0,GUROBI,1
3,Farkas,4,27868.714862,27936.163676,27868.714862,28040.003693,28713.000000,28714.000000,1.900106,4.495017,42.400387,42.401239,1210,89210,3600.000000,4,224,0,GUROBI,1
4,Farkas,4,25877.609268,25960.674911,25928.812644,25974.047759,26372.000000,26374.000000,0.953896,3.306379,16.540343,19.784493,678,53947,3600.000000,4,224,0,GUROBI,1
5,Farkas,4,25877.609268,25960.674911,25928.812644,25974.047759,26372.000000,26374.000000,0.952945,3.314503,17.954616,18.565557,620,43271,3600.000000,4,224,0,GUROBI,1
6,Farkas,4,25877.609268,25960.674911,25928.812644,25974.047759,26372.000000,26374.000000,0.971400,3.432126,19.055561,19.056417,720,45464,3600.000000,4,224,0,GUROBI,1
7,Farkas,4,25877.609268,25960.674911,25928.812644,25974.047759,26373.000000,26374.000000,0.964326,3.491649,52.201422,52.202270,1588,107719,3600.000000,4,224,0,GUROBI,1
8,Farkas,4,25877.609268,25960.674911,25928.812644,25974.047759,26373.000000,26374.000000,0.962638,3.313638,20.535304,20.729753,767,51894,3600.000000,4,224,0,GUROBI,1
9,Farkas,4,25877.609268,25960.674911,25928.812644,25974.047759,26374.000000,26374.000000,0.961603,3.377174,16.150961,16.151785,467,31163,3600.000000,4,224,0,GUROBI,1
10,Farkas,4,25877.609268,25960.674911,25928.812644,25974.047759,26373.000000,26374.000000,0.956333,3.327889,17.936997,18.638602,734,50710,3600.000000,4,224,0,GUROBI,1
