instanceIndex,vpcGenerator,terms,lpBound,disjunctiveDualBound,lpBoundPostVpc,rootDualBound,dualBound,primalBound,vpcGenerationTime,rootDualBoundTime,bestSolutionTime,terminationTime,nodes,iterations,maxTime,actualTerms,numCuts,mipSolver,providePrimalBound
0,New,16,869515.130911,873369.092911,871181.797578,873792.058578,878430.316000,878430.316000,0.629714,0.641714,67.393714,67.393714,58504,72822,300.000000,16,1,CBC,1
1,Old,16,862150.716400,865787.761733,863817.549733,866624.054896,870814.316000,870814.316000,0.118424,0.174424,98.222424,98.222424,67678,88828,300.000000,16,1,CBC,1
2,Old,16,886802.174244,890125.219578,888468.340911,891105.099105,895219.316000,895219.316000,0.115064,0.163064,42.027064,42.031064,35814,49627,300.000000,16,1,CBC,1
3,Old,16,869295.606467,873046.068467,870962.273133,873596.855188,878061.316000,878061.316000,0.120544,0.152544,71.536544,71.536544,63174,81852,300.000000,16,1,CBC,1
4,Old,16,859594.530322,863170.242322,861261.030322,863920.235096,868097.653952,868097.653952,0.119479,0.203479,44.311479,44.311479,37648,51782,300.000000,16,1,CBC,1
5,Old,16,885842.208689,889695.504022,887508.875356,890428.830814,894790.316000,894790.316000,0.123080,0.179080,44.719080,44.719080,36137,56956,300.000000,16,1,CBC,1
6,Old,16,868427.306433,872034.018433,870094.473100,872870.313869,877190.826843,877190.826843,0.120233,0.172233,77.756233,77.756233,55549,78888,300.000000,16,1,CBC,1
7,Old,16,872371.246467,876242.208467,874037.913133,876644.507467,881250.316000,881250.316000,0.114227,0.126227,63.930227,63.930227,55156,72519,300.000000,16,1,CBC,1
8,Old,16,871197.788656,874932.500656,872864.621989,875520.666272,879995.316000,879995.316000,0.116769,0.160769,84.940769,84.944769,62132,85347,300.000000,16,1,CBC,1
9,Old,16,871090.987578,874891.199578,872757.654244,875493.038776,879944.316000,879944.316000,0.116092,0.168092,64.832092,64.832092,55572,73670,300.000000,16,1,CBC,1
10,Old,16,855466.349767,859387.645100,857133.516433,859933.112322,864607.316000,864607.316000,0.120429,0.156429,94.196429,94.196429,70476,97751,300.000000,16,1,CBC,1
