instanceIndex,vpcGenerator,terms,lpBound,disjunctiveDualBound,lpBoundPostVpc,rootDualBound,dualBound,primalBound,vpcGenerationTime,rootDualBoundTime,bestSolutionTime,terminationTime,nodes,iterations,maxTime,actualTerms,numCuts,cutLimit,mipSolver,providePrimalBound
0,None,4,-2451537.325024,-2451537.325024,-2451537.325024,-2451467.097651,-2451430.278972,-2451297.000000,0.000002,1.245726,18.443106,18.445411,4487,14269,3600.000000,0,0,0,GUROBI,1
1,None,4,-2449314.466624,-2449314.466624,-2449314.466624,-2449281.663770,-2449271.574909,-2449068.000000,0.000003,1.635278,98.524096,98.536989,9842,198825,3600.000000,0,0,0,GUROBI,1
2,None,4,-2451537.325024,-2451537.325024,-2451537.325024,-2451467.097651,-2451430.278972,-2451279.000000,0.000003,1.131591,18.800624,18.802978,4491,14287,3600.000000,0,0,0,GUROBI,1
3,None,4,-2451537.325024,-2451537.325024,-2451537.325024,-2451467.097651,-2451429.373678,-2451279.000000,0.000004,1.132813,18.209187,18.211671,4485,14125,3600.000000,0,0,0,GUROBI,1
4,None,4,-2445144.387026,-2445144.387026,-2445144.387026,-2445064.233264,-2445040.678083,-2444800.000000,0.000003,1.061476,41.962983,41.965250,4950,23821,3600.000000,0,0,0,GUROBI,1
5,None,4,-2448935.015471,-2448935.015471,-2448935.015471,-2448856.963037,-2448830.577636,-2448660.000000,0.000003,1.514347,5.915888,5.920947,492,2455,3600.000000,0,0,0,GUROBI,1
6,None,4,-2451537.325024,-2451537.325024,-2451537.325024,-2451467.097651,-2451430.278972,-2451279.000000,0.000003,1.091673,18.369464,18.371892,4487,14273,3600.000000,0,0,0,GUROBI,1
7,None,4,-2449140.878168,-2449140.878168,-2449140.878168,-2449075.626955,-2449033.824133,-2448821.000000,0.000003,1.504288,78.281492,78.293917,9682,77288,3600.000000,0,0,0,GUROBI,1
8,None,4,-2451537.325024,-2451537.325024,-2451537.325024,-2451467.097651,-2451430.278972,-2451279.000000,0.000003,1.424696,19.068681,19.070897,4488,14310,3600.000000,0,0,0,GUROBI,1
9,None,4,-2417943.653103,-2417943.653103,-2417943.653103,-2417931.601011,-2417922.984684,-2417854.000000,0.000003,1.545632,14.056381,14.058609,3307,7310,3600.000000,0,0,0,GUROBI,1
10,None,4,-2449718.386430,-2449718.386430,-2449718.386430,-2449649.701486,-2449615.195713,-2449548.000000,0.000003,1.102974,111.267469,111.282519,10179,244331,3600.000000,0,0,0,GUROBI,1
