instanceIndex,vpcGenerator,terms,lpBound,disjunctiveDualBound,lpBoundPostVpc,rootDualBound,dualBound,primalBound,vpcGenerationTime,rootDualBoundTime,bestSolutionTime,terminationTime,nodes,iterations,maxTime,actualTerms,numCuts,cutLimit,mipSolver,providePrimalBound
0,New,4,-2451537.325024,-2451451.740777,-2451453.736606,-2451451.906380,-2451431.671897,-2451297.000000,6.995400,8.567594,30.990247,30.991924,5563,21123,3600.000000,4,2,2,GUROBI,1
1,New,4,-2451530.325024,-2451445.740777,-2451447.736606,-2451445.906380,-2451427.000000,-2451319.000000,7.097977,8.322255,28.825863,28.830748,4919,20329,3600.000000,4,2,2,GUROBI,1
2,New,4,-2451552.325024,-2451466.740777,-2451468.736606,-2451467.044010,-2451443.604466,-2451205.000000,6.888130,8.092215,23.242461,23.244353,2825,15639,3600.000000,4,2,2,GUROBI,1
3,New,4,-2451534.325024,-2451445.150195,-2451447.254444,-2451446.021687,-2451425.000000,-2451275.000000,6.642497,7.870185,57.636875,57.638829,5896,31198,3600.000000,4,2,2,GUROBI,1
4,New,4,-2451532.325024,-2451446.740777,-2451448.736606,-2451446.906380,-2451427.349434,-2451341.000000,7.012197,8.213319,17.287030,17.288953,2710,14045,3600.000000,4,2,2,GUROBI,1
5,New,4,-2451523.325024,-2451437.740777,-2451439.736606,-2451437.944200,-2451420.030278,-2451261.000000,6.723685,7.953344,29.986378,29.993264,4068,24476,3600.000000,4,2,2,GUROBI,1
6,New,4,-2451506.325024,-2451422.331359,-2451424.218767,-2451422.428805,-2451403.000000,-2451316.000000,9.050814,10.264766,18.849060,18.853651,2350,11073,3600.000000,4,2,2,GUROBI,1
7,New,4,-2451542.325024,-2451456.740777,-2451458.736606,-2451456.906380,-2451439.000000,-2451330.000000,6.859146,8.064696,28.135382,28.140713,4922,21007,3600.000000,4,2,2,GUROBI,1
8,New,4,-2451520.325024,-2451434.740777,-2451436.736606,-2451434.906380,-2451410.527300,-2451240.000000,6.741038,7.949247,24.067017,24.069633,2701,17798,3600.000000,4,2,2,GUROBI,1
9,New,4,-2451531.470604,-2451447.317933,-2451449.492835,-2451447.613509,-2451425.810131,-2451264.000000,6.404619,7.641815,24.727354,24.729502,2566,20036,3600.000000,4,2,2,GUROBI,1
10,New,4,-2451531.179445,-2451446.754203,-2451448.462538,-2451446.895027,-2451426.349434,-2451319.000000,6.973118,8.704890,90.174151,90.183378,9676,113791,3600.000000,4,2,2,GUROBI,1
