instanceIndex,vpcGenerator,terms,lpBound,disjunctiveDualBound,lpBoundPostVpc,rootDualBound,dualBound,primalBound,vpcGenerationTime,rootDualBoundTime,bestSolutionTime,terminationTime,nodes,iterations,maxTime,actualTerms,numCuts,cutLimit,mipSolver,providePrimalBound,infeasibleTerms,feasibleToInfeasibleTerms,infeasibleToFeasibleTerms
0,None,16,-2451537.325024,-2451537.325024,-2451537.325024,-2451467.097651,-2451430.278972,-2451297.000000,0.000002,1.120991,18.738040,18.740368,4487,14269,3600.000000,0,0,0,GUROBI,1,0,0,0
1,None,16,-2451549.616183,-2451549.616183,-2451549.616183,-2451475.278341,-2451445.513358,-2451353.000000,0.000003,1.156768,44.224525,44.228329,4405,24549,3600.000000,0,0,0,GUROBI,1,0,0,0
2,None,16,-2451559.926047,-2451559.926047,-2451559.926047,-2451487.408822,-2451456.567458,-2451369.000000,0.000003,1.135704,37.065978,37.069640,6968,24527,3600.000000,0,0,0,GUROBI,1,0,0,0
3,None,16,-2451536.077856,-2451536.077856,-2451536.077856,-2451468.070347,-2451432.904226,-2451328.000000,0.000004,1.143141,36.889249,36.897873,5327,67902,3600.000000,0,0,0,GUROBI,1,0,0,0
4,None,16,-2451559.597302,-2451559.597302,-2451559.597302,-2451488.776030,-2451455.530653,-2451368.000000,0.000004,1.112112,19.338913,19.343593,4993,16169,3600.000000,0,0,0,GUROBI,1,0,0,0
5,None,16,-2451538.931767,-2451538.931767,-2451538.931767,-2451472.284246,-2451433.000000,-2451200.000000,0.000004,1.299420,17.350830,17.352796,4194,10330,3600.000000,0,0,0,GUROBI,1,0,0,0
6,None,16,-2451485.084538,-2451485.084538,-2451485.084538,-2451416.514286,-2451380.969382,-2451268.000000,0.000004,1.130545,37.089066,37.099393,6035,77512,3600.000000,0,0,0,GUROBI,1,0,0,0
7,None,16,-2451540.325024,-2451540.325024,-2451540.325024,-2451470.097651,-2451437.030278,-2451256.000000,0.000003,1.110684,103.500788,103.515783,10177,241006,3600.000000,0,0,0,GUROBI,1,0,0,0
8,None,16,-2451530.470604,-2451530.470604,-2451530.470604,-2451460.514926,-2451427.030278,-2451319.000000,0.000004,1.109422,34.993976,35.002968,5347,66561,3600.000000,0,0,0,GUROBI,1,0,0,0
9,None,16,-2451529.325024,-2451529.325024,-2451529.325024,-2451459.800975,-2451424.539346,-2451339.000000,0.000004,1.140442,8.022404,8.024418,1966,9031,3600.000000,0,0,0,GUROBI,1,0,0,0
10,None,16,-2451584.179445,-2451584.179445,-2451584.179445,-2451513.460299,-2451481.678285,-2451327.000000,0.000004,1.131726,16.734371,16.736774,3809,9933,3600.000000,0,0,0,GUROBI,1,0,0,0
