instanceIndex,vpcGenerator,terms,lpBound,disjunctiveDualBound,lpBoundPostVpc,rootDualBound,dualBound,primalBound,vpcGenerationTime,rootDualBoundTime,bestSolutionTime,terminationTime,nodes,iterations,maxTime,actualTerms,numCuts,cutLimit,mipSolver,providePrimalBound
0,New,64,185321.356786,186029.682440,185550.503507,187580.070481,188166.906373,188182.000000,9.103880,9.346567,9.420838,9.451041,56,1705,3600.000000,64,22,46,GUROBI,1
1,Farkas,64,12776.781283,12776.781283,12776.781283,12776.781283,12776.781283,12776.781283,1.136614,1.136614,1.144456,1.144810,1,107,3600.000000,64,22,0,GUROBI,1
2,Farkas,64,21116.859026,21116.859026,21116.859026,22346.852083,22346.852083,22346.852083,1.238037,1.253753,1.256284,1.256806,1,143,3600.000000,64,22,0,GUROBI,1
3,Farkas,64,15562.941323,15562.941323,15562.941323,24342.629514,24342.629514,24342.629514,1.082569,1.082569,1.082569,1.092178,1,103,3600.000000,64,22,0,GUROBI,1
4,Farkas,64,12591.653333,12591.653333,12591.653333,14263.386667,14263.386667,14263.386667,1.387753,1.387753,1.399040,1.399401,1,104,3600.000000,64,22,0,GUROBI,1
5,Farkas,64,13936.219436,13936.219436,13936.219436,19279.730200,19700.447870,19700.447870,1.197282,1.229002,1.229678,1.230257,1,148,3600.000000,64,22,0,GUROBI,1
6,Farkas,64,11488.687759,11488.687759,11488.687759,11488.687759,11488.687759,11488.687759,1.023125,1.023125,1.023125,1.034156,1,101,3600.000000,64,22,0,GUROBI,1
7,Farkas,64,14674.571622,14674.571622,14674.571622,15834.372372,15834.372372,15834.372372,1.179375,1.195253,1.197982,1.198384,1,121,3600.000000,64,22,0,GUROBI,1
8,Farkas,64,21395.027324,21395.027324,21395.027324,24077.067778,24077.067778,24077.067778,1.356441,1.373527,1.375876,1.376297,1,140,3600.000000,64,22,0,GUROBI,1
9,Farkas,64,13021.371403,13021.371403,13021.371403,13021.371403,13021.371403,13021.371403,1.154072,1.154072,1.166032,1.166446,1,108,3600.000000,64,22,0,GUROBI,1
