instanceIndex,vpcGenerator,terms,lpBound,disjunctiveDualBound,lpBoundPostVpc,rootDualBound,dualBound,primalBound,vpcGenerationTime,rootDualBoundTime,bestSolutionTime,terminationTime,nodes,iterations,maxTime,actualTerms,numCuts,cutLimit,mipSolver,providePrimalBound
0,New,16,197818.254988,206517.793148,202615.012398,389667.778066,405935.180000,405935.180000,1.416513,1.673163,2.185580,2.185737,325,2306,3600.000000,17,3,38,GUROBI,1
1,New,16,201703.515638,221355.389850,207547.109777,397462.565931,407941.580000,407941.580000,2.290778,2.485599,2.774693,2.774841,156,1556,3600.000000,18,24,53,GUROBI,1
2,New,16,199298.948957,211612.498148,211571.060408,388047.200595,405935.180000,405935.180000,5.034029,5.233970,5.671434,5.688262,268,2330,3600.000000,16,37,37,GUROBI,1
3,New,16,191000.063312,217956.487083,206798.156350,411623.611057,419580.470000,419580.470000,1.439174,1.721894,2.186011,2.186160,274,1815,3600.000000,17,13,44,GUROBI,1
4,New,16,196893.419530,200272.268660,199612.268660,368050.524739,395768.550000,395788.790000,1.179277,1.363848,1.819849,1.939766,339,2841,3600.000000,16,9,37,GUROBI,1
5,New,16,199593.681125,208101.935637,203379.571997,389685.442817,407941.580000,407941.580000,5.762007,6.035490,6.171956,6.193495,106,1277,3600.000000,16,40,40,GUROBI,1
6,New,16,215313.318984,223570.615446,219758.400977,458380.555000,471133.510000,471133.510000,0.847750,1.128137,1.750907,1.752294,232,2039,3600.000000,17,3,54,GUROBI,1
7,New,16,199363.535637,211601.882870,211580.301947,392917.171583,405929.020000,405935.180000,2.476770,2.696125,3.039340,3.044264,167,1943,3600.000000,17,35,35,GUROBI,1
8,New,16,201439.395422,211857.220550,208394.825852,389795.101067,405935.180000,405935.180000,4.844372,5.131478,5.265832,5.275456,100,1223,3600.000000,16,36,36,GUROBI,1
9,New,16,205462.582549,220789.535259,209087.916503,448332.881418,461554.710000,461554.710000,1.078401,1.285299,1.719531,1.720188,292,2443,3600.000000,21,5,47,GUROBI,1
10,New,16,198114.594988,210375.082055,206655.743313,379486.686307,405935.180000,405935.180000,3.656857,3.820177,4.210760,4.252641,278,2265,3600.000000,16,29,42,GUROBI,1
