instanceIndex,vpcGenerator,terms,lpBound,disjunctiveDualBound,lpBoundPostVpc,rootDualBound,dualBound,primalBound,vpcGenerationTime,rootDualBoundTime,bestSolutionTime,terminationTime,nodes,iterations,maxTime,actualTerms,numCuts,mipSolver,providePrimalBound
0,New,16,197818.254988,206554.650456,203776.019985,384404.169176,405935.180000,405935.180000,21.491573,21.923573,104.667573,104.671573,5502,54947,300.000000,20,15,CBC,1
1,Old,16,197801.979144,206542.014983,203883.968540,388471.694812,388494.252065,410967.060000,4.342197,10.386197,300.026197,300.122197,11168,192078,300.000000,20,10,CBC,1
2,Old,16,197823.184590,206567.442177,204595.284931,395664.984133,395665.249900,593261.200000,6.170934,13.570934,300.058934,300.134934,7864,97039,300.000000,20,31,CBC,1
3,Old,16,197818.758829,206552.258286,203425.015375,391389.935289,391389.935289,422767.750000,4.649209,5.613209,300.057209,300.069209,10990,200424,300.000000,20,11,CBC,1
4,Old,16,197816.041962,206553.555441,203015.956543,388893.089182,388895.625755,686267.630000,9.378919,16.606919,300.054919,300.134919,10539,78595,300.000000,20,38,CBC,1
5,Old,16,197812.984651,206552.014511,204870.830649,390710.523562,390723.472621,409606.390000,5.156839,12.988839,300.104839,300.196839,8754,147718,300.000000,20,18,CBC,1
6,Old,16,197808.610108,206538.828983,203455.419179,395884.628583,395884.631483,414158.460000,4.440290,10.056290,300.016290,300.092290,9435,181873,300.000000,20,12,CBC,1
7,Old,16,197794.637369,206534.040966,203446.375279,394932.089768,405933.180000,405933.180000,3.977132,7.373132,90.661132,90.701132,4778,56340,300.000000,20,6,CBC,1
8,Old,16,197811.142792,206555.697373,204234.734700,395246.680326,395265.493261,446127.340000,5.045897,11.725897,300.025897,300.105897,11411,142085,300.000000,20,17,CBC,1
9,Old,16,197814.701413,206548.492738,205084.447103,395693.777022,395698.720661,430208.620000,7.601802,14.537802,300.013802,300.085802,11061,81014,300.000000,20,39,CBC,1
10,Old,16,197817.710871,206553.283776,204032.974715,398494.740502,405945.180000,405945.180000,4.540512,10.708512,55.460512,55.556512,2518,24771,300.000000,20,13,CBC,1
