instanceIndex,vpcGenerator,terms,lpBound,disjunctiveDualBound,lpBoundPostVpc,rootDualBound,dualBound,primalBound,vpcGenerationTime,rootDualBoundTime,bestSolutionTime,terminationTime,nodes,iterations,maxTime,actualTerms,numCuts,cutLimit,mipSolver,providePrimalBound
0,New,16,3192.042000,3547.122000,3458.802022,3805.293528,3983.000000,3983.000000,2.165256,2.531806,2.648232,2.651495,45,1660,3600.000000,16,12,12,GUROBI,1
1,Old,16,2972.470000,3191.738000,3120.782813,3546.859268,3602.000000,3602.000000,1.207161,1.569822,1.635923,1.654567,24,1532,3600.000000,16,11,0,GUROBI,1
2,Old,16,3159.598000,3505.794000,3263.356955,3777.971926,3981.000000,3981.000000,1.281614,1.571753,1.682715,1.696523,67,1771,3600.000000,16,12,0,GUROBI,1
4,Old,16,2722.572000,2839.612000,2810.055789,3164.380600,3332.000000,3332.000000,1.262158,1.641751,1.899310,1.919394,84,2830,3600.000000,16,13,0,GUROBI,1
5,Old,16,2976.652000,3305.260000,3205.766734,3622.030151,3693.000000,3693.000000,1.333774,1.779892,1.910286,1.910419,35,2063,3600.000000,16,13,0,GUROBI,1
6,Old,16,2938.472000,3060.372000,3057.820610,3461.392834,3466.000000,3466.000000,1.282438,1.503204,1.510819,1.511922,5,808,3600.000000,16,14,0,GUROBI,1
7,Old,16,3379.976000,3598.428000,3494.960884,3936.218393,4002.000000,4002.000000,1.280618,1.584482,1.624000,1.624126,11,1133,3600.000000,16,12,0,GUROBI,1
8,Old,16,2559.474000,2621.382000,2613.043118,3274.544295,3325.000000,3325.000000,1.168125,1.505469,1.532844,1.538349,15,1142,3600.000000,16,13,0,GUROBI,1
9,Old,16,2708.162000,3008.868000,2860.619361,3310.280879,3395.000000,3395.000000,1.354125,2.031942,2.084867,2.089247,14,1776,3600.000000,16,15,0,GUROBI,1
10,Old,16,3130.646000,3391.006000,3241.786887,3750.651247,3851.000000,3851.000000,1.231865,1.691120,1.825285,1.827125,58,2258,3600.000000,16,12,0,GUROBI,1
