instanceIndex,vpcGenerator,terms,lpBound,disjunctiveDualBound,lpBoundPostVpc,rootDualBound,dualBound,primalBound,vpcGenerationTime,rootDualBoundTime,bestSolutionTime,terminationTime,nodes,iterations,maxTime,actualTerms,numCuts,cutLimit,mipSolver,providePrimalBound,infeasibleTerms,feasibleToInfeasibleTerms,infeasibleToFeasibleTerms
0,New,64,3192.042000,3729.570000,3381.961718,3842.927612,3983.000000,3983.000000,8.807837,9.407546,9.513910,9.514039,25,2306,3600.000000,64,12,12,GUROBI,1,1,0,0
1,Farkas,64,2365.602000,2455.438000,2389.370804,2827.419982,2954.000000,2954.000000,0.451407,0.836665,0.919577,0.921254,19,1403,3600.000000,64,12,0,GUROBI,1,1,0,0
2,Farkas,64,2646.054000,2931.182000,2686.362073,3332.457052,3340.000000,3340.000000,0.429207,0.789471,0.795247,0.795391,3,1109,3600.000000,64,12,0,GUROBI,1,1,0,0
3,Farkas,64,2850.534000,3430.956000,2948.642157,3618.030438,3764.000000,3764.000000,0.438558,0.770731,0.835777,0.839776,35,1460,3600.000000,64,12,0,GUROBI,1,1,0,0
4,Farkas,64,3426.952000,3878.784000,3567.652837,4106.889984,4212.000000,4212.000000,0.464145,0.870951,0.942070,0.947762,34,1637,3600.000000,64,12,0,GUROBI,1,1,0,0
5,Farkas,64,2768.324000,3010.678000,2768.324000,3575.037788,3739.000000,3739.000000,0.440729,0.906641,1.181969,1.200129,82,3095,3600.000000,64,12,0,GUROBI,1,1,0,0
6,Farkas,64,3364.874000,3791.004000,3432.512714,4104.725120,4245.000000,4245.000000,0.443653,1.078697,1.153916,1.159788,21,2456,3600.000000,64,12,0,GUROBI,1,1,0,0
7,Farkas,64,666.598000,754.154000,666.598000,1064.857263,1139.000000,1139.000000,0.435180,0.646603,0.668479,0.675876,16,707,3600.000000,64,12,0,GUROBI,1,1,0,0
8,Farkas,64,399.844000,593.190000,409.199218,1023.318115,1081.976126,1082.000000,0.444131,0.843455,0.904887,0.905665,22,1307,3600.000000,64,12,0,GUROBI,1,1,0,0
9,Farkas,64,1754.750000,1922.394000,1754.750000,2376.840844,2479.000000,2479.000000,0.418136,0.961161,1.089445,1.090014,43,2285,3600.000000,64,12,0,GUROBI,1,1,0,0
10,Farkas,64,2426.898000,2530.322000,2426.898000,2936.942537,3002.000000,3002.000000,0.425757,0.851060,0.900420,0.904006,16,1266,3600.000000,64,12,0,GUROBI,1,1,0,0
