instanceIndex,vpcGenerator,terms,lpBound,disjunctiveDualBound,lpBoundPostVpc,rootDualBound,dualBound,primalBound,vpcGenerationTime,rootDualBoundTime,bestSolutionTime,terminationTime,nodes,iterations,maxTime,actualTerms,numCuts,cutLimit,mipSolver,providePrimalBound
0,None,64,3192.042000,3192.042000,3192.042000,3791.650512,3983.000000,3983.000000,0.000002,0.349154,0.444388,0.444537,47,1688,3600.000000,0,0,0,GUROBI,1
1,None,64,2365.602000,2365.602000,2365.602000,2832.522963,2954.000000,2954.000000,0.000004,0.411374,0.490526,0.492084,18,1447,3600.000000,0,0,0,GUROBI,1
2,None,64,2646.054000,2646.054000,2646.054000,3328.025635,3340.000000,3340.000000,0.000002,0.279608,0.291522,0.291650,10,915,3600.000000,0,0,0,GUROBI,1
3,None,64,2850.534000,2850.534000,2850.534000,3629.433616,3764.000000,3764.000000,0.000004,0.386643,0.447112,0.454633,25,1624,3600.000000,0,0,0,GUROBI,1
4,None,64,3426.952000,3426.952000,3426.952000,4014.655077,4212.000000,4212.000000,0.000004,0.368748,0.443464,0.455660,45,1750,3600.000000,0,0,0,GUROBI,1
5,None,64,2768.324000,2768.324000,2768.324000,3582.676727,3739.000000,3739.000000,0.000003,0.512349,0.738272,0.756209,96,2985,3600.000000,0,0,0,GUROBI,1
6,None,64,3364.874000,3364.874000,3364.874000,4023.465423,4245.000000,4245.000000,0.000004,0.482371,0.588748,0.614064,53,2253,3600.000000,0,0,0,GUROBI,1
7,None,64,666.598000,666.598000,666.598000,1061.033826,1139.000000,1139.000000,0.000003,0.237977,0.260631,0.260758,16,753,3600.000000,0,0,0,GUROBI,1
8,None,64,399.844000,399.844000,399.844000,1020.040497,1082.000000,1082.000000,0.000003,0.394833,0.450190,0.450319,21,1240,3600.000000,0,0,0,GUROBI,1
9,None,64,1754.750000,1754.750000,1754.750000,2389.204781,2479.000000,2479.000000,0.000003,0.506940,0.588897,0.589029,37,1902,3600.000000,0,0,0,GUROBI,1
10,None,64,2426.898000,2426.898000,2426.898000,2937.462690,3002.000000,3002.000000,0.000002,0.472896,0.619188,0.621058,35,1506,3600.000000,0,0,0,GUROBI,1
