instanceIndex,vpcGenerator,terms,lpBound,disjunctiveDualBound,lpBoundPostVpc,rootDualBound,dualBound,primalBound,vpcGenerationTime,rootDualBoundTime,bestSolutionTime,terminationTime,nodes,iterations,maxTime,actualTerms,numCuts,cutLimit,mipSolver,providePrimalBound,infeasibleTerms,feasibleToInfeasibleTerms,infeasibleToFeasibleTerms
0,None,64,3192.042000,3192.042000,3192.042000,3791.650512,3983.000000,3983.000000,0.000022,0.339436,0.434941,0.435086,47,1688,3600.000000,0,0,0,GUROBI,1,0,0,0
1,None,64,-17519.598000,-17519.598000,-17519.598000,-17031.409261,-16996.000000,-16996.000000,0.000003,0.238460,0.248360,0.250437,11,599,3600.000000,0,0,0,GUROBI,1,0,0,0
2,None,64,-11913.008000,-11913.008000,-11913.008000,-11424.041584,-11330.000000,-11330.000000,0.000003,0.332657,0.370465,0.382177,21,974,3600.000000,0,0,0,GUROBI,1,0,0,0
3,None,64,-9365.182000,-9365.182000,-9365.182000,-8848.566389,-8726.000000,-8726.000000,0.000003,0.305376,0.341068,0.341618,21,850,3600.000000,0,0,0,GUROBI,1,0,0,0
4,None,64,-432.850000,-432.850000,-432.850000,-42.268923,27.000000,27.000000,0.000001,0.385767,0.436339,0.440358,21,1217,3600.000000,0,0,0,GUROBI,1,0,0,0
5,None,64,-15721.010000,-15721.010000,-15721.010000,-15273.723104,-15189.000000,-15189.000000,0.000002,0.341233,0.363213,0.370804,13,862,3600.000000,0,0,0,GUROBI,1,0,0,0
6,None,64,855.288000,855.288000,855.288000,1395.514443,1551.000000,1551.000000,0.000003,0.359193,0.435831,0.435960,26,1295,3600.000000,0,0,0,GUROBI,1,0,0,0
7,None,64,1099.902000,1099.902000,1099.902000,1577.680595,1600.000000,1600.000000,0.000003,0.366104,0.397648,0.398182,14,1138,3600.000000,0,0,0,GUROBI,1,0,0,0
8,None,64,-6124.214000,-6124.214000,-6124.214000,-5630.645443,-5519.000000,-5519.000000,0.000003,0.343802,0.370588,0.375665,15,934,3600.000000,0,0,0,GUROBI,1,0,0,0
9,None,64,-17316.572000,-17316.572000,-17316.572000,-16838.248360,-16824.000000,-16824.000000,0.000002,0.213277,0.230888,0.233893,10,598,3600.000000,0,0,0,GUROBI,1,0,0,0
10,None,64,-8587.568000,-8587.568000,-8587.568000,-8087.873058,-8063.000000,-8063.000000,0.000003,0.218036,0.236806,0.240072,15,593,3600.000000,0,0,0,GUROBI,1,0,0,0
