instanceIndex,vpcGenerator,terms,lpBound,disjunctiveDualBound,lpBoundPostVpc,rootDualBound,dualBound,primalBound,vpcGenerationTime,rootDualBoundTime,bestSolutionTime,terminationTime,nodes,iterations,maxTime,actualTerms,numCuts,mipSolver,providePrimalBound
0,None,16,25476489.678123,25476489.678123,25476489.678123,25740457.640873,25740563.094852,100000000000000007629769841091887003294964970946560.000000,0.006798,5.218798,0.006798,300.030798,7406,80773,300.000000,0,0,CBC,1
1,None,16,25474921.810836,25474921.810836,25474921.810836,25747475.542446,25747475.542446,25926410.754375,0.006823,3.470823,300.070823,300.102823,5722,41170,300.000000,0,0,CBC,1
2,None,16,25476462.305054,25476462.305054,25476462.305054,25756266.996581,25756266.996595,25793054.213334,0.006769,6.210769,300.062769,300.106769,5603,63322,300.000000,0,0,CBC,1
3,None,16,25475635.216414,25475635.216414,25475635.216414,25739094.921606,25739094.921606,25813632.929959,0.006755,2.966755,300.054755,300.074755,4369,60529,300.000000,0,0,CBC,1
4,None,16,25475452.893220,25475452.893220,25475452.893220,25737450.959771,25737450.959771,25812653.090003,0.006954,5.014954,300.094954,300.130954,4258,58504,300.000000,0,0,CBC,1
5,None,16,25475072.361141,25475072.361141,25475072.361141,25739969.011871,25739969.011871,25798849.445521,0.006704,6.922704,300.054704,300.114704,5968,69901,300.000000,0,0,CBC,1
6,None,16,25476331.012777,25476331.012777,25476331.012777,25736646.668452,25736646.668452,25800150.487814,0.006726,3.678726,300.074726,300.110726,6286,58721,300.000000,0,0,CBC,1
7,None,16,25476752.481885,25476752.481885,25476752.481885,25752149.698565,25752149.698565,26030134.904829,0.006979,4.574979,300.070979,300.106979,7047,56487,300.000000,0,0,CBC,1
8,None,16,25476010.467198,25476010.467198,25476010.467198,25736202.285317,25736270.123170,25795385.309155,0.006735,4.614735,300.066735,300.098735,6613,74167,300.000000,0,0,CBC,1
9,None,16,25476436.740743,25476436.740743,25476436.740743,25739754.187518,25739754.298862,25801397.044314,0.006711,5.926711,300.062711,300.110711,5648,61964,300.000000,0,0,CBC,1
10,None,16,25475578.444767,25475578.444767,25475578.444767,25743281.449737,25743281.449737,25789728.542069,0.006738,4.418738,300.070738,300.102738,7106,75329,300.000000,0,0,CBC,1
