instanceIndex,vpcGenerator,terms,lpBound,disjunctiveDualBound,lpBoundPostVpc,rootDualBound,dualBound,primalBound,vpcGenerationTime,rootDualBoundTime,bestSolutionTime,terminationTime,nodes,iterations,maxTime,actualTerms,numCuts,mipSolver,providePrimalBound
0,New,4,25490184.451460,25510711.100193,25503137.932751,25685717.768900,25691323.055767,100000000000000007629769841091887003294964970946560.000000,2.915116,4.891116,2.915116,300.023116,11523,69175,300.000000,4,4,CBC,1
1,New,4,25490167.354023,25510722.022556,25503122.345772,25689336.704730,25689336.704730,25902563.794113,2.891090,4.535090,300.059090,300.079090,8184,58983,300.000000,4,4,CBC,1
2,New,4,25494048.268599,25514539.887712,25506975.503262,25690886.660417,25690886.660417,25808554.125694,2.877433,5.613433,300.045433,300.069433,8722,62189,300.000000,4,4,CBC,1
3,New,4,25489541.753136,25510071.376703,25502496.853124,25687235.334370,25687235.334370,25810857.168652,2.905119,6.029119,300.073119,300.097119,9320,53458,300.000000,4,4,CBC,1
4,New,4,25488243.760845,25508699.552938,25501176.011323,25688773.035790,25688773.035790,25883061.966851,2.885420,5.441420,300.077420,300.101420,7901,64399,300.000000,4,4,CBC,1
5,New,4,25490653.838379,25511203.773341,25503644.597776,25710375.557593,25710382.718490,25860043.901191,2.893819,8.033819,300.065819,300.105819,9003,66391,300.000000,4,4,CBC,1
6,New,4,25491184.650180,25511779.883897,25504166.223868,25677355.922476,25677355.922476,25825949.717880,2.893056,5.757056,300.069056,300.089056,8199,46595,300.000000,4,4,CBC,1
7,New,4,25488470.656461,25509012.494170,25501435.176869,25684917.522507,25684917.522507,25843880.438980,2.889877,5.909877,300.065877,300.089877,8157,54025,300.000000,4,4,CBC,1
8,New,4,25488698.190397,25509258.295016,25501640.937525,25699736.874396,25699736.874396,25814111.358822,2.915063,4.091063,300.063063,300.079063,8219,54938,300.000000,4,4,CBC,1
9,New,4,25488149.016469,25508675.860469,25501108.886847,25686518.412709,25686518.412709,25809597.415029,2.903816,6.067816,300.047816,300.071816,9336,60023,300.000000,4,4,CBC,1
10,New,4,25490328.984510,25510855.975429,25503280.063495,25690700.981667,25690700.981667,25830613.054624,2.891647,7.959647,300.063647,300.103647,8836,59068,300.000000,4,4,CBC,1
