instanceIndex,vpcGenerator,terms,lpBound,disjunctiveDualBound,lpBoundPostVpc,rootDualBound,dualBound,primalBound,vpcGenerationTime,rootDualBoundTime,bestSolutionTime,terminationTime,nodes,iterations,maxTime,actualTerms,numCuts,cutLimit,mipSolver,providePrimalBound
0,None,64,25501658.708008,25501658.708008,25501658.708008,25776709.665710,25778409.397007,25779856.371698,0.000002,0.467060,0.571788,0.571969,51,1275,3600.000000,0,0,0,GUROBI,1
1,None,64,25502245.571310,25502245.571310,25502245.571310,25778062.895486,25780166.587795,25780490.447652,0.000002,0.476471,0.533828,0.536094,14,1129,3600.000000,0,0,0,GUROBI,1
2,None,64,25501582.180289,25501582.180289,25501582.180289,25774891.283307,25778550.735271,25780139.818705,0.000003,0.483115,0.681484,0.688248,93,1658,3600.000000,0,0,0,GUROBI,1
3,None,64,25501482.535586,25501482.535586,25501482.535586,25775705.034317,25777701.006951,25779676.692973,0.000002,0.393191,0.573736,0.574735,92,1438,3600.000000,0,0,0,GUROBI,1
4,None,64,25502417.395488,25502417.395488,25502417.395488,25775723.501390,25778144.276599,25780628.727023,0.000002,0.391512,0.445858,0.557003,88,1558,3600.000000,0,0,0,GUROBI,1
5,None,64,25501884.375555,25501884.375555,25501884.375555,25779066.927722,25779909.586012,25780229.074855,0.000002,0.425927,0.475836,0.476016,14,1133,3600.000000,0,0,0,GUROBI,1
6,None,64,25500548.302791,25500548.302791,25500548.302791,25778265.761704,25778399.432435,25778742.199332,0.000002,0.600082,0.658989,0.659170,17,1239,3600.000000,0,0,0,GUROBI,1
7,None,64,25502192.678839,25502192.678839,25502192.678839,25777634.975611,25777835.664290,25780405.683796,0.000002,0.563532,0.635033,0.637066,25,1177,3600.000000,0,0,0,GUROBI,1
8,None,64,25502736.664176,25502736.664176,25502736.664176,25777772.271553,25779665.269024,25781603.864138,0.000003,0.435263,0.543194,0.543382,59,1315,3600.000000,0,0,0,GUROBI,1
9,None,64,25501639.097151,25501639.097151,25501639.097151,25778128.680013,25779346.088051,25780025.533732,0.000003,0.391561,0.426592,0.426793,14,1106,3600.000000,0,0,0,GUROBI,1
10,None,64,25501782.730943,25501782.730943,25501782.730943,25776037.054938,25777876.147225,25780001.657570,0.000002,0.396886,0.535144,0.536853,57,1344,3600.000000,0,0,0,GUROBI,1
