instanceIndex,vpcGenerator,terms,lpBound,disjunctiveDualBound,lpBoundPostVpc,rootDualBound,dualBound,primalBound,vpcGenerationTime,rootDualBoundTime,bestSolutionTime,terminationTime,nodes,iterations,maxTime,actualTerms,numCuts,cutLimit,mipSolver,providePrimalBound,infeasibleTerms,feasibleToInfeasibleTerms,infeasibleToFeasibleTerms
0,New,16,25501658.708008,25536412.003671,25520296.546738,25777851.963299,25779493.854905,25779856.371548,2.204001,2.683609,2.806690,2.807933,47,1394,3600.000000,17,7,44,GUROBI,1,7,0,0
1,Farkas,16,25498710.275361,25533447.687705,25517349.540094,25772008.639504,25774702.363077,25777276.618884,0.230162,0.631898,0.874501,0.874725,122,1614,3600.000000,17,7,0,GUROBI,1,7,0,0
2,Farkas,16,25506237.200267,25541135.365052,25524893.628295,25782350.060022,25783981.636102,25784533.271056,0.229360,0.671154,0.749752,0.749933,34,1183,3600.000000,17,7,0,GUROBI,1,7,0,0
3,Farkas,16,25500913.821113,25535648.631552,25519522.767868,25776995.448234,25778543.139759,25779177.302286,0.233417,0.682477,0.740017,0.742132,14,1109,3600.000000,17,7,0,GUROBI,1,7,0,0
4,Farkas,16,25503837.297394,25538625.177402,25522458.615048,25778156.986731,25779363.545185,25781829.183808,0.229312,0.654094,0.716206,0.755252,39,1303,3600.000000,17,7,0,GUROBI,1,7,0,0
5,Farkas,16,25505664.825542,25540485.093376,25524293.904073,25780013.306968,25781653.617730,25784227.917232,0.230892,0.706317,0.963050,0.968677,107,1593,3600.000000,17,7,0,GUROBI,1,7,0,0
6,Farkas,16,25503946.160774,25538687.307810,25522614.246988,25779770.720402,25780212.167696,25782070.571945,0.231805,0.666795,0.728522,0.730799,14,1106,3600.000000,17,7,0,GUROBI,1,7,0,0
7,Farkas,16,25497835.446940,25532554.591474,25516495.772839,25771919.940699,25773641.726914,25775898.961584,0.228888,0.626367,0.776386,0.777552,74,1357,3600.000000,17,7,0,GUROBI,1,7,0,0
8,Farkas,16,25502658.513076,25537587.340426,25521290.933308,25779072.468617,25779286.424125,25780998.852742,0.237941,0.632483,0.672082,0.672264,13,1069,3600.000000,17,7,0,GUROBI,1,7,0,0
9,Farkas,16,25501007.663510,25535812.612256,25519660.828112,25774928.975826,25776716.071468,25779204.672603,0.233970,0.655502,0.793794,0.793993,54,1371,3600.000000,17,7,0,GUROBI,1,7,0,0
10,Farkas,16,25501426.564115,25536079.840135,25520078.451090,25775596.001708,25776983.082099,25779499.495055,0.242040,0.636383,0.678504,0.678682,13,1072,3600.000000,17,7,0,GUROBI,1,7,0,0
