instanceIndex,vpcGenerator,terms,lpBound,disjunctiveDualBound,lpBoundPostVpc,rootDualBound,dualBound,primalBound,vpcGenerationTime,rootDualBoundTime,bestSolutionTime,terminationTime,nodes,iterations,maxTime,actualTerms,numCuts,mipSolver,providePrimalBound
0,New,4,27844619.173496,27855114.785852,27851593.565839,27937220.370583,27991042.648383,27991042.648383,2.791338,3.387338,87.715338,87.731338,2322,42930,300.000000,4,4,CBC,1
1,New,4,27844617.107005,27855119.284678,27852199.446331,27948521.293909,27948521.293909,28000513.721501,3.119239,4.747239,300.091239,300.111239,6426,157687,300.000000,4,5,CBC,1
2,New,4,27845018.707994,27855467.763169,27851992.861497,27939903.619922,27991445.594006,27991445.594006,2.779762,4.039762,259.695762,259.715762,5062,153638,300.000000,4,4,CBC,1
3,New,4,27844164.020438,27854763.352250,27851753.193492,27937319.653922,27990495.542837,27990495.542837,3.082432,4.022432,262.450432,262.470432,6083,142939,300.000000,4,5,CBC,1
4,New,4,27842657.806927,27853068.177651,27849624.110719,27938119.189821,27989137.705979,27989137.705979,2.775300,4.075300,167.743300,167.763300,3475,83687,300.000000,4,4,CBC,1
5,New,4,27844176.588857,27854658.503877,27851153.525127,27937147.535556,27990615.790937,27990615.790937,2.794084,3.466084,116.258084,116.278084,2685,69862,300.000000,4,4,CBC,1
6,New,4,27846003.717114,27856561.443272,27853579.476761,27953464.333788,27992319.100376,27992319.100376,3.087626,4.155626,106.511626,106.531626,2247,60184,300.000000,4,5,CBC,1
7,New,4,27845355.965645,27855848.787933,27852331.537913,27938307.450897,27991691.840369,27991691.840369,2.805251,3.717251,219.949251,219.969251,4828,116998,300.000000,4,4,CBC,1
8,New,4,27844412.134539,27854968.593597,27851387.683252,27942609.598283,27990797.572078,27990797.572078,2.786640,4.826640,89.122640,89.146640,2030,52614,300.000000,4,4,CBC,1
9,New,4,27843806.732316,27854341.041900,27851393.904930,27938610.429101,27938610.429101,27990638.443781,3.101789,5.981789,300.033789,300.065789,6395,172806,300.000000,4,5,CBC,1
10,New,4,27844966.543423,27855539.754365,27851939.692084,27937837.997137,27937837.997137,27991286.080212,2.776173,3.844173,300.028173,300.048173,6619,178102,300.000000,4,4,CBC,1
