instanceIndex,vpcGenerator,terms,lpBound,disjunctiveDualBound,lpBoundPostVpc,rootDualBound,dualBound,primalBound,vpcGenerationTime,rootDualBoundTime,bestSolutionTime,terminationTime,nodes,iterations,maxTime,actualTerms,numCuts,cutLimit,mipSolver,providePrimalBound,infeasibleTerms,feasibleToInfeasibleTerms,infeasibleToFeasibleTerms
0,None,64,27844619.173496,27844619.173496,27844619.173496,27964463.679497,27988509.028156,27991042.647207,0.000001,0.595969,0.685759,0.717474,60,1338,3600.000000,0,0,0,GUROBI,1,0,0,0
1,None,64,27844266.294408,27844266.294408,27844266.294408,27964285.224238,27990778.752301,27990778.752301,0.000002,0.573150,0.660135,0.677918,50,1361,3600.000000,0,0,0,GUROBI,1,0,0,0
2,None,64,27843848.820014,27843848.820014,27843848.820014,27950111.469060,27988838.410115,27990523.745014,0.000002,0.449691,0.527941,0.551161,50,1226,3600.000000,0,0,0,GUROBI,1,0,0,0
3,None,64,27844270.232724,27844270.232724,27844270.232724,27962750.787544,27988747.118427,27991254.751293,0.000003,0.533375,0.636717,0.668093,48,1190,3600.000000,0,0,0,GUROBI,1,0,0,0
4,None,64,27845077.909698,27845077.909698,27845077.909698,27965160.200839,27989057.705526,27991531.152856,0.000002,0.728685,0.811312,0.830999,37,1364,3600.000000,0,0,0,GUROBI,1,0,0,0
5,None,64,27844934.819538,27844934.819538,27844934.819538,27953260.104888,27991241.083762,27991241.083762,0.000003,0.573859,0.680579,0.707524,69,1378,3600.000000,0,0,0,GUROBI,1,0,0,0
6,None,64,27843482.134163,27843482.134163,27843482.134163,27948879.321013,27987955.870824,27989908.932170,0.000003,0.484514,0.563697,0.591736,60,1317,3600.000000,0,0,0,GUROBI,1,0,0,0
7,None,64,27842403.288020,27842403.288020,27842403.288020,27963392.540984,27987427.696452,27989003.634745,0.000002,0.582957,0.660894,0.692167,49,1325,3600.000000,0,0,0,GUROBI,1,0,0,0
8,None,64,27846569.943415,27846569.943415,27846569.943415,27962903.620760,27990070.101206,27992843.671139,0.000002,0.523247,0.660323,0.694155,73,1405,3600.000000,0,0,0,GUROBI,1,0,0,0
9,None,64,27844279.736585,27844279.736585,27844279.736585,27964288.832996,27988924.117053,27990688.119255,0.000001,0.742437,0.911494,0.957217,45,1316,3600.000000,0,0,0,GUROBI,1,0,0,0
10,None,64,27845609.412113,27845609.412113,27845609.412113,27962758.191181,27989737.122246,27992025.046642,0.000002,0.694399,0.861762,0.893675,79,1569,3600.000000,0,0,0,GUROBI,1,0,0,0
