instanceIndex,vpcGenerator,terms,lpBound,disjunctiveDualBound,lpBoundPostVpc,rootDualBound,dualBound,primalBound,vpcGenerationTime,rootDualBoundTime,bestSolutionTime,terminationTime,nodes,iterations,maxTime,actualTerms,numCuts,mipSolver,providePrimalBound
0,New,4,27900674.901759,27914954.615809,27906283.448495,27935016.632022,27991042.648383,27991042.648383,15.628251,17.360251,73.440251,73.468251,958,21122,300.000000,4,42,CBC,1
1,New,4,27899461.592694,27913833.947281,27906043.120263,27939818.072510,27989723.713319,27989723.713319,8.317924,9.709924,166.477924,166.501924,2880,84515,300.000000,4,19,CBC,1
2,New,4,27900825.675445,27915083.705829,27911645.967641,27938651.548552,27991208.569547,27991208.569547,14.634581,15.966581,140.342581,140.366581,2359,63253,300.000000,4,39,CBC,1
3,New,4,27900273.682402,27914612.737910,27907988.777776,27934181.824733,27990555.702179,27990555.702179,9.076552,9.764552,119.844552,119.868552,2239,61025,300.000000,4,22,CBC,1
4,New,4,27900990.712222,27915235.547972,27910766.501872,27937857.631943,27991358.413227,27991358.413227,12.173523,13.137523,260.181523,260.201523,4079,110825,300.000000,4,32,CBC,1
5,New,4,27900124.220927,27914327.773431,27906440.253664,27932914.425618,27990564.052058,27990564.052058,9.590032,10.014032,156.386032,156.402032,2966,79132,300.000000,4,23,CBC,1
6,New,4,27900613.341305,27914984.159854,27909516.738745,27943963.716139,27943963.716139,27997095.744067,12.210476,17.954476,300.074476,300.142476,4774,133160,300.000000,4,31,CBC,1
7,New,4,27900749.655253,27915132.398328,27909016.678718,27933219.251148,27991135.770073,27991135.770073,12.810762,13.390762,200.690762,200.710762,3402,97358,300.000000,4,34,CBC,1
8,New,4,27899859.160966,27914131.899126,27905733.325389,27935850.813325,27990276.792892,27990276.792892,8.892452,11.036452,146.752452,146.788452,2527,70797,300.000000,4,22,CBC,1
9,New,4,27900827.247172,27915107.643685,27907558.391832,27938312.801418,27991158.901073,27991158.901073,8.290695,9.110695,180.102695,180.122695,2968,83542,300.000000,4,20,CBC,1
10,New,4,27902617.214573,27916842.517580,27907311.158690,27942920.983157,27993033.789874,27993033.789874,8.621824,10.117824,156.021824,156.049824,2364,67660,300.000000,4,21,CBC,1
