instanceIndex,vpcGenerator,terms,lpBound,disjunctiveDualBound,lpBoundPostVpc,rootDualBound,dualBound,primalBound,vpcGenerationTime,rootDualBoundTime,bestSolutionTime,terminationTime,nodes,iterations,maxTime,actualTerms,numCuts,mipSolver,providePrimalBound
0,None,16,27900674.901759,27900674.901759,27900674.901759,27932559.450901,27991042.648383,27991042.648383,0.007649,2.131649,30.971649,30.995649,676,15215,300.000000,0,0,CBC,1
1,None,16,27900268.775831,27900268.775831,27900268.775831,27933215.871950,27990641.708823,27990641.708823,0.008032,2.172032,176.080032,176.112032,2837,97286,300.000000,0,0,CBC,1
2,None,16,27899954.337785,27899954.337785,27899954.337785,27947215.085304,27990317.079200,27990317.079200,0.007475,3.219475,53.143475,53.187475,681,21689,300.000000,0,0,CBC,1
3,None,16,27902270.763534,27902270.763534,27902270.763534,27935705.485066,27992527.988253,27992527.988253,0.007565,2.139565,64.295565,64.331565,1058,30549,300.000000,0,0,CBC,1
4,None,16,27899995.484380,27899995.484380,27899995.484380,27956030.901413,27990389.043497,27990389.043497,0.007679,2.087679,20.819679,20.851679,389,8719,300.000000,0,0,CBC,1
5,None,16,27901895.093132,27901895.093132,27901895.093132,27955200.047828,27992157.645635,27992157.645635,0.007728,2.155728,60.779728,60.811728,669,20345,300.000000,0,0,CBC,1
6,None,16,27902090.210284,27902090.210284,27902090.210284,27945391.507544,27992388.472160,27992388.472160,0.007763,1.547763,47.359763,47.391763,816,23094,300.000000,0,0,CBC,1
7,None,16,27900893.485666,27900893.485666,27900893.485666,27942587.986193,27991329.426645,27991329.426645,0.007761,3.599761,81.503761,81.543761,1306,36516,300.000000,0,0,CBC,1
8,None,16,27900107.019415,27900107.019415,27900107.019415,27934789.774356,27990537.898162,27990537.898162,0.007730,1.175730,79.863730,79.891730,1450,43750,300.000000,0,0,CBC,1
9,None,16,27900569.396061,27900569.396061,27900569.396061,27942455.641427,27990768.429021,27990768.429021,0.007725,2.103725,66.699725,66.731725,1073,32123,300.000000,0,0,CBC,1
10,None,16,27901396.871293,27901396.871293,27901396.871293,27934674.962137,27991770.586496,27991770.586496,0.007781,1.139781,84.983781,85.011781,1531,44802,300.000000,0,0,CBC,1
