instanceIndex,vpcGenerator,terms,lpBound,disjunctiveDualBound,lpBoundPostVpc,rootDualBound,dualBound,primalBound,vpcGenerationTime,rootDualBoundTime,bestSolutionTime,terminationTime,nodes,iterations,maxTime,actualTerms,numCuts,cutLimit,mipSolver,providePrimalBound,infeasibleTerms,feasibleToInfeasibleTerms,infeasibleToFeasibleTerms
0,New,16,20146.761297,20163.840931,20158.170836,20872.310928,21166.000000,21166.000000,0.644903,0.737832,0.644903,0.739557,2,185,3600.000000,17,3,14,GUROBI,1,10,0,0
1,Farkas,16,12876.762621,12876.762621,12876.762621,17862.000000,17862.000000,17862.000000,0.031982,0.125103,0.125698,0.125960,3,104,3600.000000,17,3,0,GUROBI,1,0,0,10
2,Farkas,16,12128.733659,12128.733659,12128.733659,17862.000000,17862.000000,17862.000000,0.030760,0.039169,0.039744,0.040000,1,65,3600.000000,17,3,0,GUROBI,1,3,0,7
3,Farkas,16,12258.463089,12258.463089,12258.463089,19514.000000,19514.000000,19514.000000,0.035931,0.046726,0.046972,0.047215,1,62,3600.000000,17,3,0,GUROBI,1,10,0,0
4,Farkas,16,11908.000000,11908.000000,11908.000000,11908.000000,11908.000000,11908.000000,0.031730,0.069838,0.070105,0.070359,1,78,3600.000000,17,3,0,GUROBI,1,3,0,7
5,Farkas,16,13621.272263,13621.272263,13621.272263,17862.000000,17862.000000,17862.000000,0.034875,0.058660,0.058934,0.059205,1,59,3600.000000,17,3,0,GUROBI,1,14,4,0
6,Farkas,16,15358.762593,15358.762593,15358.762593,17862.000000,17862.000000,17862.000000,0.027790,0.148549,0.150209,0.150504,8,150,3600.000000,17,3,0,GUROBI,1,0,0,10
7,Farkas,16,15011.288983,15019.254824,15011.288983,17862.000000,17862.000000,17862.000000,0.038080,0.108562,0.109186,0.109256,1,140,3600.000000,17,3,0,GUROBI,1,10,0,0
8,Farkas,16,13506.037928,13506.037928,13506.037928,19514.000000,19514.000000,19514.000000,0.032691,0.061407,0.061662,0.061910,1,70,3600.000000,17,3,0,GUROBI,1,0,0,10
9,Farkas,16,13878.059896,13878.059896,13878.059896,43230.000000,43370.000000,43370.000000,0.036085,0.094859,0.145529,0.147998,107,288,3600.000000,17,3,0,GUROBI,1,10,0,0
10,Farkas,16,12099.689756,12099.689756,12099.689756,17862.000000,17862.000000,17862.000000,0.030974,0.058276,0.058743,0.058816,1,41,3600.000000,17,3,0,GUROBI,1,2,0,8
