instanceIndex,vpcGenerator,terms,lpBound,disjunctiveDualBound,lpBoundPostVpc,rootDualBound,dualBound,primalBound,vpcGenerationTime,rootDualBoundTime,bestSolutionTime,terminationTime,nodes,iterations,maxTime,actualTerms,numCuts,cutLimit,mipSolver,providePrimalBound
0,New,4,-74325169.345138,-74319901.591432,-74319931.131124,-74161096.392566,-73906695.732036,-73899701.000000,1.277840,1.465558,38.496729,43.481659,18190,247702,3600.000000,4,6,27,GUROBI,1
1,Farkas,4,-74325169.345138,-74319901.591432,-74319931.131124,-74161096.392566,-73890023.565871,-73882643.000000,0.016181,0.209931,73.666538,80.331040,43391,708046,3600.000000,4,6,0,GUROBI,1
2,Farkas,4,-74325169.345138,-74319901.591432,-74319931.131124,-74135723.325629,-73905859.777594,-73898566.000000,0.018205,0.298560,53.863183,58.189511,27649,431231,3600.000000,4,6,0,GUROBI,1
3,Farkas,4,-74278697.656480,-74273282.168850,-74273300.318277,-74114960.984880,-73890035.766111,-73882656.000000,0.015643,0.186383,28.311356,31.020963,13740,244271,3600.000000,4,6,0,GUROBI,1
4,Farkas,4,-74325169.345138,-74319901.591432,-74319931.131124,-74159807.384634,-73904346.969713,-73897074.000000,0.015386,0.226320,134.531064,134.540842,58736,1082439,3600.000000,4,6,0,GUROBI,1
5,Farkas,4,-74325096.019440,-74319812.479964,-74319857.040264,-74162778.999806,-73870156.873788,-73862776.000000,0.014680,0.218508,110.109482,137.696230,60383,1149979,3600.000000,4,6,0,GUROBI,1
6,Farkas,4,-72977647.020778,-72976441.529013,-72977646.177465,-72765425.828602,-72639854.718933,-72632739.000000,0.019671,0.234912,12.441333,22.878357,11155,219012,3600.000000,4,6,0,GUROBI,1
7,Farkas,4,-74325169.345138,-74319901.591432,-74319931.131124,-74163367.252077,-73904766.592395,-73899528.000000,0.016379,0.212469,79.985846,79.991320,30435,570588,3600.000000,4,6,0,GUROBI,1
8,Farkas,4,-74086388.055737,-74079233.100145,-74080474.821822,-73909783.887370,-73664274.023199,-73656984.000000,0.015880,0.231293,40.540002,41.323280,18911,358578,3600.000000,4,6,0,GUROBI,1
9,Farkas,4,-74325169.345138,-74319901.591432,-74319931.131124,-74161096.392566,-73904236.384283,-73899121.000000,0.015443,0.212561,75.029791,75.032158,25443,537669,3600.000000,4,6,0,GUROBI,1
10,Farkas,4,-73980706.794819,-73975043.656592,-73975154.314993,-73806868.214836,-73553137.571646,-73545811.000000,0.016443,0.219973,82.470728,83.212955,35438,618106,3600.000000,4,6,0,GUROBI,1
