instanceIndex,vpcGenerator,terms,lpBound,disjunctiveDualBound,lpBoundPostVpc,rootDualBound,dualBound,primalBound,vpcGenerationTime,rootDualBoundTime,bestSolutionTime,terminationTime,nodes,iterations,maxTime,actualTerms,numCuts,cutLimit,mipSolver,providePrimalBound
0,New,16,-74325169.345138,-74309425.687333,-74317633.241820,-74159835.257175,-73906599.678345,-73899701.000000,4.262125,4.452617,84.166487,90.420653,35150,716142,3600.000000,39,27,27,GUROBI,1
1,New,16,-176905724.032575,-176821228.307171,-176839516.888104,-176189085.894351,-175742327.687251,-175725092.000000,6.015740,6.261327,26.330918,26.660760,9592,229064,3600.000000,157,17,27,GUROBI,1
2,New,16,-77984510.437176,-77915082.591267,-77916319.571220,-77632492.470223,-77284175.188388,-77276643.000000,1.438696,1.650258,78.593199,78.596935,31647,682442,3600.000000,94,2,30,GUROBI,1
4,New,16,-79471970.371765,-79417747.749310,-79452706.447815,-79241608.907616,-78983823.417097,-78975928.000000,4.489990,4.693653,88.264511,107.256322,39552,923769,3600.000000,84,27,27,GUROBI,1
5,New,16,-75058841.472385,-74076881.347924,-74110448.582882,-73760115.811114,-73541058.804381,-73533707.000000,0.952946,1.255497,36.075024,36.225701,15620,404094,3600.000000,61,1,30,GUROBI,1
6,New,16,-97112466.087665,-97099991.096849,-97103574.517483,-96910283.385935,-96492348.534712,-96482702.000000,2.361628,2.526004,79.568355,87.756541,37652,766890,3600.000000,106,8,30,GUROBI,1
7,New,16,-85289323.957180,-85246465.413807,-85252568.167430,-85030156.101152,-84734708.142274,-84726248.000000,6.492720,6.704242,135.742629,257.118702,69981,2131695,3600.000000,112,30,32,GUROBI,1
8,New,16,-75257921.584195,-75257920.513757,-75257920.513757,-75063006.075731,-74780702.086857,-74773227.000000,0.869582,1.079874,143.220606,169.879248,72065,1272046,3600.000000,42,5,26,GUROBI,1
9,New,16,-90554634.940776,-90554634.050225,-90554634.050227,-87359791.361516,-86984604.690494,-86979658.000000,3.356770,3.563968,90.250805,90.252061,20911,588561,3600.000000,158,3,33,GUROBI,1
10,New,16,-75591603.600032,-75591602.356002,-75591602.356002,-75281387.309566,-75006976.014664,-74999477.000000,1.331899,1.511737,63.251464,64.170574,25244,481397,3600.000000,62,16,29,GUROBI,1
