instanceIndex,vpcGenerator,terms,lpBound,disjunctiveDualBound,lpBoundPostVpc,rootDualBound,dualBound,primalBound,vpcGenerationTime,rootDualBoundTime,bestSolutionTime,terminationTime,nodes,iterations,maxTime,actualTerms,numCuts,cutLimit,mipSolver,providePrimalBound
0,New,4,-74325169.345138,-74319901.591432,-74319931.131124,-74161096.392566,-73906695.732036,-73899701.000000,0.965140,1.156290,38.659232,43.677958,18190,247702,3600.000000,4,6,27,GUROBI,1
1,Farkas,4,-282194589.960032,-282194589.960032,-282194589.960032,-275665627.664621,-274613895.281268,-274589536.000000,0.089298,0.310395,28.960210,28.961006,10699,314085,3600.000000,4,6,0,GUROBI,1
2,Farkas,4,-126100929.788656,-126100929.788656,-126100929.788656,-120231158.051184,-119755327.037662,-119752559.945579,0.049747,0.239898,42.267493,42.268926,15534,437784,3600.000000,4,6,0,GUROBI,1
3,Farkas,4,-495137773.810224,-494967323.917624,-495137773.584579,-483759669.531586,-481994592.727428,-481951945.000000,0.134508,0.315793,300.151963,300.159637,55292,2083663,3600.000000,4,6,0,GUROBI,1
4,Farkas,4,-196837778.750355,-196837778.750355,-196837778.750355,-194002401.560700,-193358709.699745,-193340466.000000,0.080157,0.282794,67.864658,67.865687,16123,572499,3600.000000,4,6,0,GUROBI,1
5,Farkas,4,-115502461.413430,-115490380.373058,-115502461.413430,-114671485.705423,-114189670.329226,-114178983.000000,0.048144,0.282687,169.498189,169.506187,46988,1712110,3600.000000,4,6,0,GUROBI,1
6,Farkas,4,-477296221.458952,-477296221.570131,-477296221.458952,-468612459.188583,-467585801.492318,-467539277.036044,0.110333,0.311353,53.891372,53.891548,14467,549705,3600.000000,4,6,0,GUROBI,1
7,Farkas,4,-271934154.979744,-271934154.979744,-271934154.979743,-266529837.339367,-265900865.227280,-265874326.000000,0.085147,0.233316,89.328388,108.440020,33526,1056334,3600.000000,4,6,0,GUROBI,1
8,Farkas,4,-423926277.502412,-423772364.915361,-423926277.502412,-415089623.246565,-413844623.210942,-413803743.999809,0.114414,0.370095,116.523264,121.223312,23501,944574,3600.000000,4,6,0,GUROBI,1
9,Farkas,4,-277462749.454649,-277462749.454649,-277462749.454649,-259194247.973426,-258726636.351825,-258700796.000000,0.085201,0.245438,51.549267,53.058012,17985,527742,3600.000000,4,6,0,GUROBI,1
10,Farkas,4,-451310246.863776,-451310246.863776,-451310246.863776,-440168818.732043,-438839558.859920,-438795729.000000,0.109147,0.278382,92.788920,93.175353,19914,702911,3600.000000,4,6,0,GUROBI,1
