instanceIndex,vpcGenerator,terms,lpBound,disjunctiveDualBound,lpBoundPostVpc,rootDualBound,dualBound,primalBound,vpcGenerationTime,rootDualBoundTime,bestSolutionTime,terminationTime,nodes,iterations,maxTime,actualTerms,numCuts,mipSolver,providePrimalBound
0,None,64,95919464.000000,95919464.000000,95919464.000000,106862702.148318,106940226.000000,106940226.000000,0.003361,0.327361,0.631361,0.639361,14,401,300.000000,0,0,CBC,1
1,None,64,83358944.022304,83358944.022304,83358944.022304,90903585.281437,91570402.247619,91570402.247619,0.003329,0.371329,2.711329,2.723329,118,2014,300.000000,0,0,CBC,1
2,None,64,74001550.405586,74001550.405586,74001550.405586,81778850.457309,82431540.522727,82431540.522727,0.003308,0.447308,2.707308,2.719308,102,1610,300.000000,0,0,CBC,1
3,None,64,51810007.241899,51810007.241899,51810007.241899,51814701.255366,54917868.047082,54917868.047082,0.003353,0.051353,1.527353,1.531353,158,961,300.000000,0,0,CBC,1
4,None,64,77234163.453198,77234163.453198,77234163.453198,80607434.008939,81354314.094811,81354314.094811,0.003364,0.207364,2.023364,2.031364,118,1132,300.000000,0,0,CBC,1
5,None,64,62397494.655964,62397494.655964,62397494.655964,64567318.679523,66129681.005063,66129681.005063,0.003386,0.075386,0.607386,0.615386,52,418,300.000000,0,0,CBC,1
6,None,64,59822706.478680,59822706.478680,59822706.478680,61067573.124845,63519539.271970,63519539.271970,0.003408,0.267408,3.543408,3.551408,272,2122,300.000000,0,0,CBC,1
7,None,64,55786301.345370,55786301.345370,55786301.345370,56660035.537505,61370490.297009,61370490.297009,0.003386,0.135386,2.131386,2.143386,162,1245,300.000000,0,0,CBC,1
8,None,64,62960017.339663,62960017.339663,62960017.339663,63832260.042525,65120644.976974,65120644.976974,0.003390,0.071390,1.075390,1.083390,93,555,300.000000,0,0,CBC,1
9,None,64,66596342.056863,66596342.056863,66596342.056863,69469267.625316,71781096.486842,71781096.486842,0.003366,0.147366,1.967366,1.979366,141,1478,300.000000,0,0,CBC,1
10,None,64,46591967.370239,46591967.370239,46591967.370239,46928206.263160,47758574.940594,47758574.940594,0.003370,0.039370,0.223370,0.231370,14,118,300.000000,0,0,CBC,1
