instanceIndex,vpcGenerator,terms,lpBound,disjunctiveDualBound,lpBoundPostVpc,rootDualBound,dualBound,primalBound,vpcGenerationTime,rootDualBoundTime,bestSolutionTime,terminationTime,nodes,iterations,maxTime,actualTerms,numCuts,cutLimit,mipSolver,providePrimalBound,infeasibleTerms,feasibleToInfeasibleTerms,infeasibleToFeasibleTerms
0,None,16,95919464.000000,95919464.000000,95919464.000000,106929683.664870,106940226.000000,106940226.000000,0.000005,0.244980,0.251385,0.251507,7,361,3600.000000,0,0,0,GUROBI,1,0,0,0
1,None,16,95915876.099400,95915876.099400,95915876.099400,106931786.549534,106937135.813289,106942947.000000,0.000002,0.162416,0.169808,0.170642,7,355,3600.000000,0,0,0,GUROBI,1,0,0,0
2,None,16,95919467.541600,95919467.541600,95919467.541600,106931319.902267,106941558.000000,106941558.000000,0.000002,0.167775,0.171718,0.172537,6,321,3600.000000,0,0,0,GUROBI,1,0,0,0
3,None,16,95888731.157200,95888731.157200,95888731.157200,106894417.979199,106905918.000000,106905918.000000,0.000002,0.322587,0.332926,0.333056,7,398,3600.000000,0,0,0,GUROBI,1,0,0,0
4,None,16,95915056.639200,95915056.639200,95915056.639200,106912081.029730,106917606.455492,106925239.000000,0.000002,0.205665,0.214816,0.215661,6,350,3600.000000,0,0,0,GUROBI,1,0,0,0
5,None,16,95928865.427400,95928865.427400,95928865.427400,106940598.980805,106948034.000000,106948034.000000,0.000002,0.257914,0.265718,0.265833,7,346,3600.000000,0,0,0,GUROBI,1,0,0,0
6,None,16,95933340.272800,95933340.272800,95933340.272800,106943930.831814,106955824.000000,106955824.000000,0.000001,0.173458,0.182534,0.183381,7,393,3600.000000,0,0,0,GUROBI,1,0,0,0
7,None,16,95945032.582600,95945032.582600,95945032.582600,106954421.787493,106963783.000000,106963783.000000,0.000003,0.237879,0.243022,0.243854,5,383,3600.000000,0,0,0,GUROBI,1,0,0,0
8,None,16,95909103.951200,95909103.951200,95909103.951200,106913915.420123,106915962.510092,106921023.000000,0.000002,0.240372,0.258527,0.258642,7,352,3600.000000,0,0,0,GUROBI,1,0,0,0
9,None,16,95923211.539600,95923211.539600,95923211.539600,106930183.432884,106940574.000000,106940574.000000,0.000001,0.209793,0.215648,0.215777,7,348,3600.000000,0,0,0,GUROBI,1,0,0,0
10,None,16,95926100.194200,95926100.194200,95926100.194200,106942191.135685,106948536.000000,106948536.000000,0.000003,0.297503,0.302728,0.314057,5,394,3600.000000,0,0,0,GUROBI,1,0,0,0
