instanceIndex,vpcGenerator,terms,lpBound,disjunctiveDualBound,lpBoundPostVpc,rootDualBound,dualBound,primalBound,vpcGenerationTime,rootDualBoundTime,bestSolutionTime,terminationTime,nodes,iterations,maxTime,actualTerms,numCuts,cutLimit,mipSolver,providePrimalBound
0,New,64,95919464.000000,102291675.000000,99118571.662651,106920712.985292,106932242.082178,106940226.000000,10.066947,10.213001,10.221375,10.221488,8,369,3600.000000,64,4,19,GUROBI,1
1,New,64,95915876.099400,102286302.674000,99193682.679629,106929563.091336,106942947.000000,106942947.000000,10.037954,10.163767,10.170029,10.170855,6,358,3600.000000,64,4,19,GUROBI,1
2,New,64,95919467.541600,102305499.124400,97840802.015600,106928709.821646,106941558.000000,106941558.000000,11.327621,11.605715,11.620001,11.620848,7,363,3600.000000,64,2,19,GUROBI,1
3,New,64,95888731.157200,102266447.515600,99210420.518203,106895109.308253,106905918.000000,106905918.000000,9.679612,9.832076,9.840392,9.841231,7,418,3600.000000,64,3,19,GUROBI,1
4,New,64,95915056.639200,102288760.492800,98814860.531332,106912111.813306,106917546.308891,106925239.000000,9.332440,9.464092,9.470591,9.471521,6,347,3600.000000,64,2,19,GUROBI,1
5,New,64,95928865.427400,102297771.423200,99414470.790779,106937257.183087,106948034.000000,106948034.000000,10.406903,10.543685,10.549866,10.550817,6,368,3600.000000,64,4,19,GUROBI,1
6,New,64,95933340.272800,102311230.338200,99364974.364436,106943930.831814,106955824.000000,106955824.000000,9.696143,9.867541,9.874688,9.875550,6,431,3600.000000,64,3,19,GUROBI,1
7,New,64,95945032.582600,102305322.618200,99282945.054782,106956573.899953,106962709.851719,106963783.000000,11.252857,11.536758,11.545848,11.545967,7,384,3600.000000,64,3,19,GUROBI,1
8,New,64,95909103.951200,102283102.496600,99319814.164084,106913915.420123,106915962.510092,106921023.000000,10.648220,10.967625,10.974270,10.974394,7,354,3600.000000,64,3,19,GUROBI,1
9,New,64,95923211.539600,102293210.756600,99130355.009684,106921187.393731,106935520.562437,106940574.000000,10.749876,11.023288,11.050303,11.050420,12,402,3600.000000,64,4,19,GUROBI,1
10,New,64,95926100.194200,102290986.692600,99268680.089487,106937912.307240,106948536.000000,106948536.000000,9.988358,10.120753,10.127266,10.127380,6,381,3600.000000,64,4,19,GUROBI,1
