instanceIndex,vpcGenerator,terms,lpBound,disjunctiveDualBound,lpBoundPostVpc,rootDualBound,dualBound,primalBound,vpcGenerationTime,rootDualBoundTime,bestSolutionTime,terminationTime,nodes,iterations,maxTime,actualTerms,numCuts,mipSolver,providePrimalBound
0,None,64,95919464.000000,95919464.000000,95919464.000000,106862702.148318,106940226.000000,106940226.000000,0.003414,0.343414,0.647414,0.659414,14,401,300.000000,0,0,CBC,1
1,None,64,95915876.099400,95915876.099400,95915876.099400,106863614.556859,106942947.000000,106942947.000000,0.003253,0.219253,1.271253,1.283253,52,904,300.000000,0,0,CBC,1
2,None,64,95919467.541600,95919467.541600,95919467.541600,106834292.034656,106941558.000000,106941558.000000,0.003252,0.231252,0.603252,0.615252,22,465,300.000000,0,0,CBC,1
3,None,64,95888731.157200,95888731.157200,95888731.157200,106829566.718291,106905918.000000,106905918.000000,0.003321,0.243321,1.135321,1.147321,44,716,300.000000,0,0,CBC,1
4,None,64,95915056.639200,95915056.639200,95915056.639200,106851241.881196,106925239.000000,106925239.000000,0.003317,0.239317,0.959317,0.971317,40,756,300.000000,0,0,CBC,1
5,None,64,95928865.427400,95928865.427400,95928865.427400,106869505.264778,106948034.000000,106948034.000000,0.003287,0.271287,1.199287,1.207287,52,807,300.000000,0,0,CBC,1
6,None,64,95933340.272800,95933340.272800,95933340.272800,106878581.916675,106955824.000000,106955824.000000,0.003314,0.211314,1.031314,1.039314,40,769,300.000000,0,0,CBC,1
7,None,64,95945032.582600,95945032.582600,95945032.582600,106880584.413748,106963783.000000,106963783.000000,0.003307,0.231307,0.935307,0.947307,38,717,300.000000,0,0,CBC,1
8,None,64,95909103.951200,95909103.951200,95909103.951200,106845035.942316,106921023.000000,106921023.000000,0.003290,0.239290,1.415290,1.427290,56,999,300.000000,0,0,CBC,1
9,None,64,95923211.539600,95923211.539600,95923211.539600,106861280.513838,106940574.000000,106940574.000000,0.003297,0.247297,1.011297,1.023297,40,809,300.000000,0,0,CBC,1
10,None,64,95926100.194200,95926100.194200,95926100.194200,106870443.341228,106948536.000000,106948536.000000,0.003290,0.239290,1.283290,1.291290,50,861,300.000000,0,0,CBC,1
