instanceIndex,vpcGenerator,terms,lpBound,disjunctiveDualBound,lpBoundPostVpc,rootDualBound,dualBound,primalBound,vpcGenerationTime,rootDualBoundTime,bestSolutionTime,terminationTime,nodes,iterations,maxTime,actualTerms,numCuts,cutLimit,mipSolver,providePrimalBound
0,New,16,95919464.000000,100601267.000000,97404113.204199,106929598.956037,106939359.869194,106940226.000000,3.305294,3.442444,3.305294,3.448076,5,329,3600.000000,16,8,19,GUROBI,1
1,Farkas,16,95959231.211600,100620075.521000,97448254.468878,106968092.517387,106981812.000000,106981812.000000,0.078199,0.272054,0.279445,0.280368,7,368,3600.000000,16,8,0,GUROBI,1
2,Farkas,16,95872522.737000,100549535.548000,97359228.873552,106900068.032560,106911631.000000,106911631.000000,0.078019,0.213554,0.219813,0.220629,7,355,3600.000000,16,8,0,GUROBI,1
3,Farkas,16,95882799.529600,100574255.879600,97371259.684539,106891749.223617,106902285.000000,106902285.000000,0.078228,0.213303,0.218970,0.219851,6,351,3600.000000,16,8,0,GUROBI,1
4,Farkas,16,95955036.791600,100644881.052600,97436661.950692,106953792.442124,106956518.655705,106966928.000000,0.075526,0.204989,0.210658,0.211493,6,371,3600.000000,16,8,0,GUROBI,1
5,Farkas,16,95888092.742200,100576143.574800,97373085.001753,106883627.972165,106894855.000000,106894855.000000,0.075484,0.200150,0.205544,0.206352,6,355,3600.000000,16,8,0,GUROBI,1
6,Farkas,16,95922597.220800,100602251.862400,97405434.935477,106931700.005934,106944954.000000,106944954.000000,0.076207,0.203154,0.208293,0.209120,6,381,3600.000000,16,8,0,GUROBI,1
7,Farkas,16,95938403.640400,100601358.833800,97421688.601051,106941366.704077,106942561.896968,106952412.000000,0.078380,0.231014,0.239945,0.240058,7,388,3600.000000,16,8,0,GUROBI,1
8,Farkas,16,95923567.663200,100614374.462200,97406865.438291,106961311.449609,106963086.769442,106972583.000000,0.075839,0.215843,0.226380,0.227231,7,381,3600.000000,16,8,0,GUROBI,1
9,Farkas,16,96024941.863600,100721264.488600,97509220.822363,107008895.587368,107011833.388053,107020385.000000,0.077884,0.218590,0.227352,0.228151,7,390,3600.000000,16,8,0,GUROBI,1
10,Farkas,16,96000256.302800,100697701.025200,97487766.392526,107036611.800560,107041848.369279,107044290.000000,0.079405,0.232302,0.240783,0.241646,6,395,3600.000000,16,8,0,GUROBI,1
