instanceIndex,vpcGenerator,terms,lpBound,disjunctiveDualBound,lpBoundPostVpc,rootDualBound,dualBound,primalBound,vpcGenerationTime,rootDualBoundTime,bestSolutionTime,terminationTime,nodes,iterations,maxTime,actualTerms,numCuts,mipSolver,providePrimalBound
0,None,16,4656.363636,4656.363636,4656.363636,4656.505051,4688.555556,100000000000000007629769841091887003294964970946560.000000,0.007183,0.623183,0.007183,300.063183,12448,223575,300.000000,0,0,CBC,1
1,None,16,4642.655290,4642.655290,4642.655290,4642.655290,4705.000000,4705.000000,0.007143,0.795143,240.655143,240.659143,7302,129281,300.000000,0,0,CBC,1
2,None,16,5036.000000,5036.000000,5036.000000,5059.987179,5098.000000,5098.000000,0.007075,1.059075,126.763075,126.767075,5169,87964,300.000000,0,0,CBC,1
3,None,16,4404.697917,4404.697917,4404.697917,4415.304348,4422.156863,4467.000000,0.007087,0.835087,300.015087,300.023087,10881,248093,300.000000,0,0,CBC,1
4,None,16,4628.292929,4628.292929,4628.292929,4628.434343,4674.000000,4674.000000,0.007126,0.823126,296.539126,296.547126,8526,147399,300.000000,0,0,CBC,1
5,None,16,4743.356164,4743.356164,4743.356164,4753.748031,4769.000000,4769.000000,0.007183,0.895183,98.131183,98.135183,1924,41964,300.000000,0,0,CBC,1
6,None,16,4691.902235,4691.902235,4691.902235,4709.484350,4718.000000,4718.000000,0.007323,0.903323,29.983323,29.991323,513,12278,300.000000,0,0,CBC,1
7,None,16,4738.260000,4738.260000,4738.260000,4738.260000,4768.000000,4768.000000,0.007231,0.743231,26.155231,26.159231,763,14324,300.000000,0,0,CBC,1
8,None,16,4578.382022,4578.382022,4578.382022,4579.489362,4581.000000,4581.000000,0.007132,0.439132,0.667132,0.671132,13,109,300.000000,0,0,CBC,1
9,None,16,4288.720930,4288.720930,4288.720930,4289.743590,4289.743590,4356.000000,0.007100,0.971100,300.059100,300.067100,5929,130146,300.000000,0,0,CBC,1
10,None,16,4713.317391,4713.317391,4713.317391,4713.317391,4759.000000,4759.000000,0.007284,0.511284,54.587284,54.595284,2021,38832,300.000000,0,0,CBC,1
