instanceIndex,vpcGenerator,terms,lpBound,disjunctiveDualBound,lpBoundPostVpc,rootDualBound,dualBound,primalBound,vpcGenerationTime,rootDualBoundTime,bestSolutionTime,terminationTime,nodes,iterations,maxTime,actualTerms,numCuts,cutLimit,mipSolver,providePrimalBound
0,New,64,947.957237,977.732353,960.073280,1055.003125,1120.000000,1120.000000,0.852265,1.060825,1.304453,1.372368,494,3260,3600.000000,71,8,8,GUROBI,1
1,Farkas,64,908.343771,908.439394,908.343771,1044.722892,1063.000000,1063.000000,0.122083,0.262569,0.343896,0.344405,116,476,3600.000000,71,8,0,GUROBI,1
2,Farkas,64,898.425874,898.515304,898.425874,1097.367031,1153.000000,1153.000000,0.119923,0.264405,0.388956,0.427154,276,1561,3600.000000,71,8,0,GUROBI,1
3,Farkas,64,947.957237,976.723735,958.676307,1059.032218,1120.000000,1120.000000,0.103785,0.243426,0.366097,0.388510,331,1769,3600.000000,71,8,0,GUROBI,1
4,Farkas,64,959.746969,984.059808,962.735460,1061.012195,1120.000000,1120.000000,0.110325,0.225134,0.407177,0.411170,388,1775,3600.000000,71,8,0,GUROBI,1
5,Farkas,64,863.946971,863.963628,863.946971,1076.878226,1128.000000,1128.000000,0.118817,0.244721,0.284653,0.303559,182,1195,3600.000000,71,8,0,GUROBI,1
6,Farkas,64,868.658824,868.658824,868.658824,939.887097,965.000000,965.000000,0.103841,0.307574,0.314747,0.328557,44,530,3600.000000,71,8,0,GUROBI,1
7,Farkas,64,945.779431,977.087816,957.097820,1070.536678,1128.000000,1128.000000,0.103704,0.265186,0.565983,0.566074,545,2573,3600.000000,71,8,0,GUROBI,1
8,Farkas,64,811.310631,811.314891,811.310631,1132.333333,1136.000000,1136.000000,0.115320,0.353375,0.366525,0.366736,14,258,3600.000000,71,8,0,GUROBI,1
9,Farkas,64,945.735135,977.252458,945.735135,1069.093750,1136.000000,1136.000000,0.111792,0.226407,1.000641,1.071204,669,3198,3600.000000,71,8,0,GUROBI,1
10,Farkas,64,892.883212,892.883212,892.883212,1087.434806,1136.000000,1136.000000,0.121267,0.244982,0.392335,0.400389,375,1670,3600.000000,71,8,0,GUROBI,1
