instanceIndex,vpcGenerator,terms,lpBound,disjunctiveDualBound,lpBoundPostVpc,rootDualBound,dualBound,primalBound,vpcGenerationTime,rootDualBoundTime,bestSolutionTime,terminationTime,nodes,iterations,maxTime,actualTerms,numCuts,mipSolver,providePrimalBound
0,None,16,947.957237,947.957237,947.957237,1031.481213,1120.000000,1120.000000,0.001124,0.069124,2.909124,2.909124,1262,6058,300.000000,0,0,CBC,1
1,None,16,891.212036,891.212036,891.212036,1062.217487,1120.000000,1120.000000,0.001313,0.541313,23.765313,23.773313,13274,49006,300.000000,0,0,CBC,1
2,None,16,860.261488,860.261488,860.261488,1265.458090,1348.000000,1348.000000,0.000533,0.048533,1.872533,1.872533,1048,4631,300.000000,0,0,CBC,1
3,None,16,806.693125,806.693125,806.693125,1033.923764,1099.000000,1099.000000,0.000526,0.116526,1.688526,1.692526,786,3489,300.000000,0,0,CBC,1
4,None,16,956.928053,956.928053,956.928053,1073.335494,1128.000000,1128.000000,0.000676,0.484676,17.348676,17.356676,10519,36799,300.000000,0,0,CBC,1
5,None,16,802.529464,802.529464,802.529464,994.000000,994.000000,994.000000,0.000694,0.044694,0.048694,0.048694,0,47,300.000000,0,0,CBC,1
6,None,16,856.991590,856.991590,856.991590,1030.122018,1075.000000,1075.000000,0.000521,0.056521,0.880521,0.880521,437,1802,300.000000,0,0,CBC,1
7,None,16,711.432203,711.432203,711.432203,754.999960,755.000000,755.000000,0.001331,0.029331,0.037331,0.037331,2,30,300.000000,0,0,CBC,1
8,None,16,980.098188,980.098188,980.098188,1094.231009,1148.000000,1148.000000,0.000518,0.036518,0.308518,0.308518,147,610,300.000000,0,0,CBC,1
9,None,16,661.668778,661.668778,661.668778,851.836909,888.000000,888.000000,0.000681,0.112681,2.328681,2.328681,1590,5141,300.000000,0,0,CBC,1
10,None,16,923.769321,923.769321,923.769321,1168.490370,1193.000000,1193.000000,0.000524,0.040524,0.296524,0.296524,126,540,300.000000,0,0,CBC,1
