instanceIndex,vpcGenerator,terms,lpBound,disjunctiveDualBound,lpBoundPostVpc,rootDualBound,dualBound,primalBound,vpcGenerationTime,rootDualBoundTime,bestSolutionTime,terminationTime,nodes,iterations,maxTime,actualTerms,numCuts,cutLimit,mipSolver,providePrimalBound
0,New,4,947.957237,954.735632,954.735632,1055.003125,1120.000000,1120.000000,0.646222,0.852504,1.134159,1.191966,494,3260,3600.000000,4,8,8,GUROBI,1
1,New,4,943.431579,947.746196,947.746196,1062.742816,1120.000000,1120.000000,0.042363,0.204800,0.330893,0.330965,277,1674,3600.000000,4,7,7,GUROBI,1
2,New,4,950.277992,950.886482,950.886482,1070.476923,1121.000000,1121.000000,0.054277,0.283211,0.850350,0.864782,798,4448,3600.000000,4,8,8,GUROBI,1
3,New,4,947.957237,964.473232,956.649657,1066.166667,1120.000000,1120.000000,0.048376,0.225704,0.375341,0.383072,322,1827,3600.000000,4,8,8,GUROBI,1
4,New,4,949.699545,950.546053,950.546053,1068.200000,1121.000000,1121.000000,0.043288,0.217803,0.356027,0.359576,364,1827,3600.000000,4,9,9,GUROBI,1
5,New,4,942.761404,942.978947,942.978947,1064.050435,1117.000000,1117.000000,0.046214,0.217224,0.390053,0.390278,364,2005,3600.000000,4,9,9,GUROBI,1
6,New,4,947.957237,954.735632,954.735632,1055.003125,1120.000000,1120.000000,0.050404,0.155535,0.455759,0.455840,701,3567,3600.000000,4,8,8,GUROBI,1
7,New,4,947.957237,954.735632,954.735632,1055.003125,1120.000000,1120.000000,0.051466,0.268424,0.576066,0.704061,620,3725,3600.000000,4,8,8,GUROBI,1
8,New,4,949.940949,950.005243,950.005243,1067.187956,1120.000000,1120.000000,0.048533,0.154762,0.326710,0.326785,642,3435,3600.000000,4,8,8,GUROBI,1
9,New,4,946.510151,947.096252,947.096252,1062.761021,1119.000000,1119.000000,0.048128,0.279794,0.464547,0.475081,358,2211,3600.000000,4,9,9,GUROBI,1
10,New,4,947.957237,948.546053,948.546053,1065.669348,1121.000000,1121.000000,0.045504,0.259867,0.309631,0.367542,196,1375,3600.000000,4,9,9,GUROBI,1
