instanceIndex,vpcGenerator,terms,lpBound,disjunctiveDualBound,lpBoundPostVpc,rootDualBound,dualBound,primalBound,vpcGenerationTime,rootDualBoundTime,bestSolutionTime,terminationTime,nodes,iterations,maxTime,actualTerms,numCuts,cutLimit,mipSolver,providePrimalBound,infeasibleTerms,feasibleToInfeasibleTerms,infeasibleToFeasibleTerms
0,New,64,947.957237,977.732353,959.585173,1055.003125,1120.000000,1120.000000,0.974055,1.130759,1.414343,1.477237,494,3260,3600.000000,71,8,8,GUROBI,1,32,0,0
1,Old,64,943.431579,973.786275,947.027436,1062.742816,1120.000000,1120.000000,0.222689,0.507124,0.734337,0.734408,277,1674,3600.000000,71,7,0,GUROBI,1,32,0,0
2,Old,64,950.277992,980.732353,960.917336,1070.476923,1121.000000,1121.000000,0.201513,0.568689,1.594932,1.621440,798,4448,3600.000000,71,8,0,GUROBI,1,32,0,0
3,Old,64,947.957237,977.732353,960.308596,1066.166667,1120.000000,1120.000000,0.212691,0.503387,0.706165,0.724028,300,1730,3600.000000,71,8,0,GUROBI,1,32,0,0
4,Old,64,949.699545,979.378507,963.022614,1068.200000,1121.000000,1121.000000,0.231709,0.490430,0.562054,0.565604,364,1827,3600.000000,71,9,0,GUROBI,1,32,0,0
5,Old,64,942.761404,973.032353,956.758311,1064.050435,1117.000000,1117.000000,0.244359,0.429281,0.615833,0.616082,364,2004,3600.000000,71,9,0,GUROBI,1,32,0,0
6,Old,64,947.957237,977.732353,960.187796,1055.003125,1120.000000,1120.000000,0.202802,0.342090,1.013136,1.013209,701,3567,3600.000000,71,8,0,GUROBI,1,32,0,0
7,Old,64,947.957237,977.732353,960.187796,1055.003125,1120.000000,1120.000000,0.205026,0.412097,0.684534,0.938724,620,3725,3600.000000,71,8,0,GUROBI,1,32,0,0
8,Old,64,949.940949,979.454902,962.068607,1067.187956,1120.000000,1120.000000,0.209680,0.448772,0.927653,0.927727,642,3435,3600.000000,71,8,0,GUROBI,1,32,0,0
9,Old,64,946.510151,976.109615,957.053225,1062.761021,1119.000000,1119.000000,0.212524,0.309481,0.466277,0.488963,358,2211,3600.000000,71,9,0,GUROBI,1,32,0,0
10,Old,64,947.957237,978.676471,957.155454,1065.669348,1121.000000,1121.000000,0.226528,0.509409,0.579412,0.681523,196,1375,3600.000000,71,9,0,GUROBI,1,32,0,0
