instanceIndex,vpcGenerator,terms,lpBound,disjunctiveDualBound,lpBoundPostVpc,rootDualBound,dualBound,primalBound,vpcGenerationTime,rootDualBoundTime,bestSolutionTime,terminationTime,nodes,iterations,maxTime,actualTerms,numCuts,mipSolver,providePrimalBound
0,New,4,10482.795280,10573.334266,10550.536062,10550.536062,10783.746878,100000000000000007629769841091887003294964970946560.000000,1.932653,1.956653,1.932653,301.960653,55037,352961,300.000000,5,12,CBC,1
1,Farkas,4,0.000221,0.000221,0.000221,0.000221,0.000250,0.000250,0.056199,0.328199,0.892199,0.896199,116,823,300.000000,5,12,CBC,1
2,Farkas,4,0.000222,0.000222,0.000222,0.000222,0.000270,0.000270,0.064323,0.440323,1.312323,1.316323,217,1406,300.000000,5,12,CBC,1
3,Farkas,4,10579.395535,10586.931536,10579.395535,10662.901178,11118.101705,12369.101324,0.069144,1.169144,300.385144,300.389144,59958,401576,300.000000,5,12,CBC,1
4,Farkas,4,0.000221,0.000221,0.000221,0.000221,0.000250,0.000250,0.061142,0.301142,1.037142,1.041142,112,980,300.000000,5,12,CBC,1
5,Farkas,4,0.000221,0.000221,0.000221,0.000223,0.000240,0.000240,0.061058,0.393058,1.545058,1.549058,298,1794,300.000000,5,12,CBC,1
6,Farkas,4,0.000221,0.000221,0.000221,0.000222,0.000250,0.000250,0.064666,0.296666,1.160666,1.164666,223,1247,300.000000,5,12,CBC,1
7,Farkas,4,0.000238,0.000223,0.000238,0.000225,0.000240,0.000240,0.074182,0.414182,1.354182,1.358182,106,1056,300.000000,5,12,CBC,1
8,Farkas,4,0.000222,0.000222,0.000222,0.000223,0.000250,0.000250,0.067837,0.527837,1.431837,1.439837,183,1544,300.000000,5,12,CBC,1
9,Farkas,4,10570.775185,10632.673330,10577.442900,10676.997963,11059.959959,11929.694361,0.045517,0.553517,300.245517,300.249517,44900,277693,300.000000,5,12,CBC,1
10,Farkas,4,0.000222,0.000222,0.000222,0.000229,0.000240,0.000240,0.061213,0.409213,12.277213,12.281213,1789,11576,300.000000,5,12,CBC,1
