instanceIndex,vpcGenerator,terms,lpBound,disjunctiveDualBound,lpBoundPostVpc,rootDualBound,dualBound,primalBound,vpcGenerationTime,rootDualBoundTime,bestSolutionTime,terminationTime,nodes,iterations,maxTime,actualTerms,numCuts,cutLimit,mipSolver,providePrimalBound,infeasibleTerms,feasibleToInfeasibleTerms,infeasibleToFeasibleTerms
0,New,64,1910.000000,2141.666667,2009.360646,2387.942531,3360.000000,3360.000000,7.600088,7.884261,8.128336,8.185130,191,3272,3600.000000,90,18,18,GUROBI,1,74,0,0
1,New,64,1910.000000,2008.333333,2003.120840,2376.064297,3360.000000,3360.000000,5.262734,5.475431,6.060554,6.266860,749,8675,3600.000000,66,20,20,GUROBI,1,51,0,0
2,New,64,1910.000000,2141.666667,2009.360646,2387.942531,3360.000000,3360.000000,6.549593,6.834074,7.078287,7.135252,191,3272,3600.000000,90,18,18,GUROBI,1,74,0,0
3,New,64,1910.000000,2015.000000,1992.122496,2417.535145,3360.000000,3360.000000,5.197940,5.557035,5.848275,5.848366,147,3385,3600.000000,64,22,22,GUROBI,1,53,0,0
4,New,64,1910.000000,2001.666667,1972.574772,2315.913013,3360.000000,3360.000000,5.853775,6.143674,6.459036,6.692046,447,6591,3600.000000,64,22,22,GUROBI,1,53,0,0
5,New,64,1910.000000,2120.000000,1993.710044,2307.464124,3360.000000,3360.000000,4.908559,5.161360,5.521672,5.743625,597,7192,3600.000000,64,22,22,GUROBI,1,49,0,0
6,New,64,1910.000000,2001.666667,1974.212963,2289.850482,3360.000000,3360.000000,4.780872,5.061476,5.283725,5.667315,660,8101,3600.000000,66,20,20,GUROBI,1,56,0,0
7,New,64,1910.000000,2095.000000,2049.478451,2454.380496,3360.000000,3360.000000,5.315082,5.734851,5.889141,5.995552,131,2529,3600.000000,87,20,20,GUROBI,1,71,0,0
8,New,64,1910.000000,2001.666667,1929.285714,2294.082425,3360.000000,3360.000000,4.492707,4.910211,5.340906,5.635479,524,6040,3600.000000,66,16,16,GUROBI,1,56,0,0
9,New,64,1910.000000,2141.666667,2009.360646,2387.942531,3360.000000,3360.000000,6.546175,6.836353,7.081540,7.138712,191,3272,3600.000000,90,18,18,GUROBI,1,74,0,0
10,New,64,1910.000000,2141.666667,2009.360646,2387.942531,3360.000000,3360.000000,6.565319,7.044140,7.301250,7.358720,191,3272,3600.000000,90,18,18,GUROBI,1,74,0,0
