instanceIndex,vpcGenerator,terms,lpBound,disjunctiveDualBound,lpBoundPostVpc,rootDualBound,dualBound,primalBound,vpcGenerationTime,rootDualBoundTime,bestSolutionTime,terminationTime,nodes,iterations,maxTime,actualTerms,numCuts,cutLimit,mipSolver,providePrimalBound
0,None,64,115155.000000,115155.000000,115155.000000,115155.000000,115155.000000,115155.000000,0.000002,0.000002,0.126828,0.136972,1,2938,3600.000000,0,0,0,GUROBI,1
1,None,64,115156.066667,115156.066667,115156.066667,115163.750000,115165.000000,115165.000000,0.000003,0.163976,0.169025,0.173480,1,1904,3600.000000,0,0,0,GUROBI,1
2,None,64,115102.942280,115102.942280,115102.942280,115105.000000,115105.000000,115105.000000,0.000002,0.144334,0.149766,0.154156,1,1933,3600.000000,0,0,0,GUROBI,1
3,None,64,115156.547619,115156.547619,115156.547619,115163.611111,115164.000000,115164.000000,0.000002,0.207713,0.212697,0.216363,1,1922,3600.000000,0,0,0,GUROBI,1
4,None,64,115149.833333,115149.833333,115149.833333,115154.000000,115154.000000,115154.000000,0.000003,0.186475,0.191312,0.194892,1,1940,3600.000000,0,0,0,GUROBI,1
5,None,64,115136.550000,115136.550000,115136.550000,115142.500000,115144.000000,115144.000000,0.000003,0.206428,0.213021,0.217868,1,2052,3600.000000,0,0,0,GUROBI,1
6,None,64,115131.597222,115131.597222,115131.597222,115133.623377,115135.000000,115135.000000,0.000002,0.187955,0.192966,0.197192,1,2032,3600.000000,0,0,0,GUROBI,1
7,None,64,115134.966667,115134.966667,115134.966667,115139.000000,115139.000000,115139.000000,0.000003,0.123871,0.130442,0.135029,1,1969,3600.000000,0,0,0,GUROBI,1
8,None,64,115144.227976,115144.227976,115144.227976,115145.833333,115146.000000,115146.000000,0.000002,0.181456,0.187200,0.191076,1,1915,3600.000000,0,0,0,GUROBI,1
9,None,64,115120.309524,115120.309524,115120.309524,115123.068182,115124.000000,115124.000000,0.000003,0.198785,0.204127,0.208116,1,1968,3600.000000,0,0,0,GUROBI,1
10,None,64,115104.284127,115104.284127,115104.284127,115112.750000,115113.000000,115113.000000,0.000003,0.226560,0.231731,0.235940,1,1979,3600.000000,0,0,0,GUROBI,1
