instanceIndex,vpcGenerator,terms,lpBound,disjunctiveDualBound,lpBoundPostVpc,rootDualBound,dualBound,primalBound,vpcGenerationTime,rootDualBoundTime,bestSolutionTime,terminationTime,nodes,iterations,maxTime,actualTerms,numCuts,cutLimit,mipSolver,providePrimalBound
0,None,16,115155.000000,115155.000000,115155.000000,115155.000000,115155.000000,115155.000000,0.000003,0.000003,0.133152,0.143889,1,2938,3600.000000,0,0,0,GUROBI,1
1,None,16,115155.000000,115155.000000,115155.000000,115155.000000,115155.000000,115155.000000,0.000002,0.000002,0.111881,0.121197,1,2797,3600.000000,0,0,0,GUROBI,1
2,None,16,114270.000000,114270.000000,114270.000000,114270.000000,114270.000000,114270.000000,0.000003,0.000003,0.129951,0.139054,1,2761,3600.000000,0,0,0,GUROBI,1
3,None,16,115155.000000,115155.000000,115155.000000,115155.000000,115155.000000,115155.000000,0.000002,0.000002,0.121343,0.128876,1,2843,3600.000000,0,0,0,GUROBI,1
4,None,16,115155.000000,115155.000000,115155.000000,115155.000000,115155.000000,115155.000000,0.000002,0.000002,0.125825,0.135816,1,2938,3600.000000,0,0,0,GUROBI,1
5,None,16,114300.000000,114300.000000,114300.000000,114300.000000,114300.000000,114300.000000,0.000003,0.000003,0.111052,0.120329,1,2646,3600.000000,0,0,0,GUROBI,1
6,None,16,115170.000000,115170.000000,115170.000000,115170.000000,115170.000000,115170.000000,0.000002,0.000002,0.106923,0.116212,1,2642,3600.000000,0,0,0,GUROBI,1
7,None,16,115155.000000,115155.000000,115155.000000,115155.000000,115155.000000,115155.000000,0.000003,0.000003,0.135763,0.145804,1,2938,3600.000000,0,0,0,GUROBI,1
8,None,16,115155.000000,115155.000000,115155.000000,115155.000000,115155.000000,115155.000000,0.000002,0.000002,0.107840,0.117507,1,2677,3600.000000,0,0,0,GUROBI,1
9,None,16,115155.000000,115155.000000,115155.000000,115155.000000,115155.000000,115155.000000,0.000002,0.000002,0.111131,0.120304,1,2750,3600.000000,0,0,0,GUROBI,1
10,None,16,115905.000000,115905.000000,115905.000000,115905.000000,115905.000000,115905.000000,0.000002,0.000002,0.126198,0.135331,1,2902,3600.000000,0,0,0,GUROBI,1
