instanceIndex,vpcGenerator,terms,lpBound,disjunctiveDualBound,lpBoundPostVpc,rootDualBound,dualBound,primalBound,vpcGenerationTime,rootDualBoundTime,bestSolutionTime,terminationTime,nodes,iterations,maxTime,actualTerms,numCuts,mipSolver,providePrimalBound
0,None,64,291.089439,291.089439,291.089439,301.405022,307.000000,307.000000,0.001706,0.541706,1.269706,1.273706,142,1413,300.000000,0,0,CBC,1
1,None,64,291.089439,291.089439,291.089439,302.588154,307.000000,307.000000,0.001896,1.833896,3.825896,3.857896,414,3386,300.000000,0,0,CBC,1
2,None,64,289.336184,289.336184,289.336184,301.419024,307.000000,307.000000,0.001282,1.997282,28.561282,28.597282,6329,30433,300.000000,0,0,CBC,1
3,None,64,291.089439,291.089439,291.089439,302.130389,307.000000,307.000000,0.001664,2.113664,66.769664,66.809664,12012,59423,300.000000,0,0,CBC,1
4,None,64,291.089439,291.089439,291.089439,302.502846,307.000000,307.000000,0.001268,1.853268,12.253268,12.281268,3038,13408,300.000000,0,0,CBC,1
5,None,64,291.089439,291.089439,291.089439,302.669164,307.000000,307.000000,0.001712,2.157712,60.437712,60.473712,16403,42326,300.000000,0,0,CBC,1
6,None,64,291.089439,291.089439,291.089439,303.212200,307.000000,307.000000,0.001678,2.057678,12.165678,12.205678,3229,12449,300.000000,0,0,CBC,1
7,None,64,284.310065,284.310065,284.310065,299.536089,306.000000,306.000000,0.001707,1.853707,21.457707,21.485707,5388,24264,300.000000,0,0,CBC,1
8,None,64,287.232033,287.232033,287.232033,300.508237,307.000000,307.000000,0.001588,2.081588,5.721588,5.761588,864,6030,300.000000,0,0,CBC,1
9,None,64,290.106961,290.106961,290.106961,300.283784,307.000000,307.000000,0.001293,1.945293,11.225293,11.253293,2346,12054,300.000000,0,0,CBC,1
10,None,64,283.737576,283.737576,283.737576,297.904820,307.000000,307.000000,0.001516,1.885516,60.905516,60.937516,15184,46352,300.000000,0,0,CBC,1
