instanceIndex,vpcGenerator,terms,lpBound,disjunctiveDualBound,lpBoundPostVpc,rootDualBound,dualBound,primalBound,vpcGenerationTime,rootDualBoundTime,bestSolutionTime,terminationTime,nodes,iterations,maxTime,actualTerms,numCuts,cutLimit,mipSolver,providePrimalBound
0,New,16,291.089439,293.428211,293.241578,301.262263,307.000000,307.000000,0.912650,0.998478,1.030943,1.031035,45,378,3600.000000,16,6,6,GUROBI,1
1,Farkas,16,288.229522,290.636124,290.107416,300.392416,304.000000,304.000000,0.032369,0.160318,0.187955,0.188725,27,342,3600.000000,16,6,0,GUROBI,1
2,Farkas,16,291.723876,293.602098,292.416728,303.408031,307.000000,307.000000,0.031410,0.149960,0.175356,0.176949,29,321,3600.000000,16,6,0,GUROBI,1
3,Farkas,16,289.070441,291.512581,291.331973,301.393869,305.000000,305.000000,0.032535,0.166958,0.200596,0.200701,38,373,3600.000000,16,6,0,GUROBI,1
4,Farkas,16,288.489953,290.563636,290.560366,301.300523,304.000000,304.000000,0.031056,0.161472,0.175523,0.177193,15,284,3600.000000,16,6,0,GUROBI,1
5,Farkas,16,288.854167,290.341286,290.341286,302.602014,304.000000,304.000000,0.027798,0.130765,0.144396,0.144487,13,202,3600.000000,16,6,0,GUROBI,1
6,Farkas,16,288.786011,291.177478,291.177478,302.262918,306.000000,306.000000,0.026948,0.157398,0.180734,0.182238,42,404,3600.000000,16,6,0,GUROBI,1
7,Farkas,16,290.791679,292.336800,292.306027,302.521825,307.000000,307.000000,0.030973,0.171516,0.192741,0.192832,23,344,3600.000000,16,6,0,GUROBI,1
8,Farkas,16,288.276634,289.831892,289.670232,302.081391,305.000000,305.000000,0.033041,0.145791,0.161434,0.161539,15,267,3600.000000,16,6,0,GUROBI,1
9,Farkas,16,287.611333,290.322119,290.075879,301.868965,304.000000,304.000000,0.033656,0.169128,0.181325,0.182528,18,276,3600.000000,16,6,0,GUROBI,1
10,Farkas,16,287.262322,289.937694,289.490742,301.346780,304.000000,304.000000,0.030013,0.160292,0.181193,0.181282,19,298,3600.000000,16,6,0,GUROBI,1
