instanceIndex,vpcGenerator,terms,lpBound,disjunctiveDualBound,lpBoundPostVpc,rootDualBound,dualBound,primalBound,vpcGenerationTime,rootDualBoundTime,bestSolutionTime,terminationTime,nodes,iterations,maxTime,actualTerms,numCuts,cutLimit,mipSolver,providePrimalBound,infeasibleTerms,feasibleToInfeasibleTerms,infeasibleToFeasibleTerms
0,New,4,6532.083333,6535.666667,6534.715409,6537.500000,6548.000000,6548.000000,38.053715,38.344602,38.585450,38.594525,45,1468,3600.000000,42,41,41,GUROBI,1,40,0,0
1,Old,4,6526.166667,6530.961538,6529.590909,6534.090909,6542.000000,6542.000000,7.527708,7.909568,8.112112,8.117893,35,1341,3600.000000,42,45,0,GUROBI,1,40,0,0
2,Old,4,6530.583333,6534.600000,6532.083333,6535.500000,6546.000000,6546.000000,7.634229,7.939953,8.255097,8.255387,56,1249,3600.000000,42,37,0,GUROBI,1,40,0,0
3,Old,4,6529.000000,6532.000000,6529.333333,6534.000000,6543.000000,6543.000000,7.316593,7.633722,7.759801,7.760089,23,1144,3600.000000,42,33,0,GUROBI,1,40,0,0
4,Old,4,6532.500000,6536.000000,6533.250000,6536.071429,6548.000000,6548.000000,6.115939,6.487538,6.619155,6.620292,21,1317,3600.000000,42,36,0,GUROBI,1,40,0,0
5,Old,4,6533.083333,6537.100000,6533.083333,6536.000000,6550.000000,6550.000000,5.659007,5.936721,6.194133,6.195221,40,1421,3600.000000,42,35,0,GUROBI,1,40,0,0
6,Old,4,6527.541667,6531.666667,6528.784722,6532.281250,6543.000000,6543.000000,6.062948,6.458565,6.591277,6.592430,19,1168,3600.000000,42,39,0,GUROBI,1,40,0,0
7,Old,4,6532.083333,6535.666667,6535.666667,6540.000000,6549.000000,6549.000000,6.581342,6.921751,7.094919,7.100642,30,1238,3600.000000,42,35,0,GUROBI,1,40,0,0
8,Old,4,6532.000000,6535.000000,6534.896921,6538.250000,6547.000000,6547.000000,5.809495,6.137713,6.198020,6.200133,8,1094,3600.000000,42,34,0,GUROBI,1,40,0,0
9,Old,4,6530.500000,6533.000000,6533.000000,6538.833333,6548.000000,6548.000000,7.637158,7.965942,8.389724,8.390013,99,1693,3600.000000,42,32,0,GUROBI,1,40,0,0
10,Old,4,6529.000000,6532.583333,6532.583333,6535.750000,6545.000000,6545.000000,5.895502,6.202521,6.320485,6.320769,16,1154,3600.000000,42,36,0,GUROBI,1,40,0,0
