instanceIndex,vpcGenerator,terms,lpBound,disjunctiveDualBound,lpBoundPostVpc,rootDualBound,dualBound,primalBound,vpcGenerationTime,rootDualBoundTime,bestSolutionTime,terminationTime,nodes,iterations,maxTime,actualTerms,numCuts,cutLimit,mipSolver,providePrimalBound,infeasibleTerms,feasibleToInfeasibleTerms,infeasibleToFeasibleTerms
0,New,4,6532.083333,6535.666667,6534.715409,6537.500000,6548.000000,6548.000000,37.806825,38.099397,38.338610,38.347596,45,1468,3600.000000,42,41,41,GUROBI,1,40,0,0
1,New,4,6521.083333,6522.000000,6522.000000,6525.178571,6537.000000,6537.000000,34.879670,35.209224,35.655049,35.662390,53,1493,3600.000000,42,42,42,GUROBI,1,40,0,0
2,New,4,6524.916667,6525.416667,6525.416667,6530.000000,6542.000000,6542.000000,48.610126,48.878913,49.154825,49.155125,39,1144,3600.000000,42,27,43,GUROBI,1,40,0,0
3,New,4,6522.416667,6522.500000,6522.500000,6526.000000,6537.000000,6537.000000,48.650735,48.945738,49.405742,49.406749,67,1556,3600.000000,42,34,35,GUROBI,1,40,0,0
4,New,4,6522.916667,6528.500000,6526.778125,6530.984375,6538.000000,6538.000000,34.596253,34.958621,35.159286,35.168790,28,1143,3600.000000,42,32,32,GUROBI,1,40,0,0
5,New,4,6517.833333,6520.000000,6520.000000,6525.125000,6534.000000,6534.000000,38.761310,39.053248,39.392951,39.394002,51,1242,3600.000000,42,36,36,GUROBI,1,40,0,0
6,New,4,6516.166667,6518.000000,6516.464286,6520.000000,6534.000000,6534.000000,43.663447,44.002275,44.097668,44.098614,17,1014,3600.000000,42,30,30,GUROBI,1,40,0,0
7,New,4,6524.500000,6528.500000,6528.461905,6531.847222,6538.000000,6538.000000,38.400410,38.773858,39.014183,39.015156,31,1217,3600.000000,42,36,36,GUROBI,1,40,0,0
8,New,4,6512.500000,6516.000000,6515.833333,6518.500000,6529.000000,6529.000000,41.393645,41.705254,41.884374,41.885495,21,1022,3600.000000,42,29,30,GUROBI,1,40,0,0
9,New,4,6529.000000,6534.000000,6530.166667,6534.500000,6542.000000,6542.000000,33.318205,33.646347,33.893484,33.894937,27,1186,3600.000000,42,34,34,GUROBI,1,40,0,0
10,New,4,6521.000000,6523.416667,6523.416667,6527.500000,6534.000000,6534.000000,62.073108,62.420246,62.539547,62.539846,21,1054,3600.000000,42,36,36,GUROBI,1,40,0,0
