instanceIndex,vpcGenerator,terms,lpBound,disjunctiveDualBound,lpBoundPostVpc,rootDualBound,dualBound,primalBound,vpcGenerationTime,rootDualBoundTime,bestSolutionTime,terminationTime,nodes,iterations,maxTime,actualTerms,numCuts,cutLimit,mipSolver,providePrimalBound
0,None,16,6532.083333,6532.083333,6532.083333,6535.000000,6548.000000,6548.000000,0.000003,0.249208,0.623299,0.648424,77,1614,3600.000000,0,0,0,GUROBI,1
1,None,16,6512.000000,6512.000000,6512.000000,6516.000000,6527.000000,6527.000000,0.000002,0.214640,0.495086,0.495880,36,1187,3600.000000,0,0,0,GUROBI,1
2,None,16,6527.500000,6527.500000,6527.500000,6529.500000,6535.000000,6535.000000,0.000002,0.226510,0.250621,0.252655,4,943,3600.000000,0,0,0,GUROBI,1
3,None,16,6519.666667,6519.666667,6519.666667,6523.000000,6533.000000,6533.000000,0.000002,0.275235,0.704010,0.704947,66,1511,3600.000000,0,0,0,GUROBI,1
4,None,16,6500.166667,6500.166667,6500.166667,6505.000000,6514.000000,6514.000000,0.000002,0.230337,0.523860,0.525020,51,1128,3600.000000,0,0,0,GUROBI,1
5,None,16,6505.500000,6505.500000,6505.500000,6508.500000,6513.000000,6513.000000,0.000002,0.233811,0.353263,0.354219,22,1001,3600.000000,0,0,0,GUROBI,1
6,None,16,6523.000000,6523.000000,6523.000000,6527.000000,6538.000000,6538.000000,0.000002,0.414028,0.552141,0.553181,28,1141,3600.000000,0,0,0,GUROBI,1
7,None,16,6530.000000,6530.000000,6530.000000,6534.500000,6547.000000,6547.000000,0.000003,0.248922,0.652413,0.677474,63,1373,3600.000000,0,0,0,GUROBI,1
8,None,16,6527.500000,6527.500000,6527.500000,6532.000000,6541.000000,6541.000000,0.000002,0.268505,0.496055,0.506232,45,1382,3600.000000,0,0,0,GUROBI,1
9,None,16,6519.000000,6519.000000,6519.000000,6521.750000,6536.000000,6536.000000,0.000002,0.239712,0.523951,0.556911,63,1240,3600.000000,0,0,0,GUROBI,1
10,None,16,6514.250000,6514.250000,6514.250000,6516.000000,6530.000000,6530.000000,0.000002,0.255987,0.619088,0.620010,56,1258,3600.000000,0,0,0,GUROBI,1
