instanceIndex,vpcGenerator,terms,lpBound,disjunctiveDualBound,lpBoundPostVpc,rootDualBound,dualBound,primalBound,vpcGenerationTime,rootDualBoundTime,bestSolutionTime,terminationTime,nodes,iterations,maxTime,actualTerms,numCuts,cutLimit,mipSolver,providePrimalBound,infeasibleTerms,feasibleToInfeasibleTerms,infeasibleToFeasibleTerms
0,New,64,20430947.618854,20509302.700170,20445222.096860,20730445.651036,20738512.355446,20740496.768779,6.984448,7.135532,7.183874,7.183958,52,884,3600.000000,64,30,30,GUROBI,1,0,0,0
1,Farkas,64,10633194.822868,10633194.822868,10633194.822868,10891042.945046,10927488.817092,10928542.958738,0.396209,0.608991,3.689357,4.528647,1534,18413,3600.000000,64,30,0,GUROBI,1,0,0,0
2,Farkas,64,10467085.044739,10467085.044739,10467085.044739,10691688.429196,10742361.631064,10742903.118865,0.393147,0.751100,2.568519,2.568682,835,6921,3600.000000,64,30,0,GUROBI,1,0,0,0
3,Farkas,64,8698342.614017,8698342.614017,8698342.614017,8956829.593987,8997427.488526,8998302.480321,0.506543,0.707083,2.451603,2.453398,684,5687,3600.000000,64,30,0,GUROBI,1,0,0,0
4,Farkas,64,9873046.871292,9873046.871292,9873046.871292,10171193.278570,10198850.786029,10198850.786029,0.432238,0.581780,0.780322,0.780860,264,2081,3600.000000,64,30,0,GUROBI,1,0,0,0
5,Farkas,64,10564225.906576,10564225.906576,10564225.906576,10839218.233414,10891919.090109,10892753.154114,0.445609,0.656762,2.714161,2.925801,880,8529,3600.000000,64,30,0,GUROBI,1,0,0,0
6,Farkas,64,10788625.022527,10788625.022527,10788625.022527,11057510.256254,11092542.747667,11093648.013063,0.424927,0.735467,5.294810,5.294912,1757,25058,3600.000000,64,30,0,GUROBI,1,0,0,0
7,Farkas,64,10712088.309357,10712088.309357,10712088.309357,10940910.977524,10957106.319550,10957647.566288,0.419079,0.598557,0.679327,0.679433,129,1091,3600.000000,64,30,0,GUROBI,1,0,0,0
8,Farkas,64,10531071.092696,10531071.092696,10531071.092696,10810270.454278,10868288.874869,10869361.385983,0.434573,0.629006,3.640887,4.342908,1216,13787,3600.000000,64,30,0,GUROBI,1,0,0,0
9,Farkas,64,10878827.475769,10878827.475769,10878827.475769,11126185.855158,11138165.322648,11138716.997699,0.468741,0.791572,0.883644,0.962915,202,2448,3600.000000,64,30,0,GUROBI,1,0,0,0
10,Farkas,64,11098786.147204,11098786.147204,11098786.147204,11358836.280734,11405388.001285,11406519.005183,0.431636,0.785299,13.785230,13.882845,4168,93461,3600.000000,64,30,0,GUROBI,1,0,0,0
