instanceIndex,vpcGenerator,terms,lpBound,disjunctiveDualBound,lpBoundPostVpc,rootDualBound,dualBound,primalBound,vpcGenerationTime,rootDualBoundTime,bestSolutionTime,terminationTime,nodes,iterations,maxTime,actualTerms,numCuts,cutLimit,mipSolver,providePrimalBound,infeasibleTerms,feasibleToInfeasibleTerms,infeasibleToFeasibleTerms
0,None,64,20430947.618854,20430947.618854,20430947.618854,20733951.066193,20740487.254133,20740508.086308,0.000026,0.178758,0.194100,0.206246,23,809,3600.000000,0,0,0,GUROBI,1,0,0,0
1,None,64,10633194.822868,10633194.822868,10633194.822868,10901364.905881,10927463.818496,10928542.958738,0.000003,0.275987,1.241000,2.749977,2422,21435,3600.000000,0,0,0,GUROBI,1,0,0,0
2,None,64,10467085.044739,10467085.044739,10467085.044739,10702602.825599,10741837.718442,10742903.118887,0.000002,0.232921,1.677175,1.677339,1245,9983,3600.000000,0,0,0,GUROBI,1,0,0,0
3,None,64,8698342.614017,8698342.614017,8698342.614017,8949754.508291,8997477.617027,8998302.375991,0.000001,0.176318,1.714090,1.714197,741,6334,3600.000000,0,0,0,GUROBI,1,0,0,0
4,None,64,9873046.871292,9873046.871292,9873046.871292,10171727.622343,10197839.025629,10198850.786029,0.000002,0.180899,0.418952,0.443953,295,2239,3600.000000,0,0,0,GUROBI,1,0,0,0
5,None,64,10564225.906576,10564225.906576,10564225.906576,10845847.483199,10891837.812407,10892801.933729,0.000002,0.254695,3.079050,3.079535,1106,12382,3600.000000,0,0,0,GUROBI,1,0,0,0
6,None,64,10788625.022527,10788625.022527,10788625.022527,11051132.470077,11092588.547206,11093648.002747,0.000002,0.303323,5.975777,5.976028,1540,26344,3600.000000,0,0,0,GUROBI,1,0,0,0
7,None,64,10712088.309357,10712088.309357,10712088.309357,10938114.358448,10957647.566288,10957647.566288,0.000003,0.174396,0.300724,0.300822,208,1476,3600.000000,0,0,0,GUROBI,1,0,0,0
8,None,64,10531071.092696,10531071.092696,10531071.092696,10813707.361454,10868389.296833,10869361.385983,0.000001,0.189931,2.537901,2.989591,1152,13221,3600.000000,0,0,0,GUROBI,1,0,0,0
9,None,64,10878827.475769,10878827.475769,10878827.475769,11112983.218594,11138716.997699,11138716.997699,0.000004,0.194685,1.597350,1.605906,595,5402,3600.000000,0,0,0,GUROBI,1,0,0,0
10,None,64,11098786.147204,11098786.147204,11098786.147204,11361432.822198,11405401.626551,11406519.005183,0.000002,0.546614,13.732516,13.732651,4255,87834,3600.000000,0,0,0,GUROBI,1,0,0,0
